t_ms,tof1_mm,tof2_mm,tof3_mm,tof4_mm,roll_deg,pitch_deg,acc_z_dyn_mps2,log_vz_mps,log_height_mm,opt_height_mm,opt_vz_mps,ref_mm,valid_cnt,accept_cnt,flags
30898,110.338951,122.892143,105.906990,125.418854,0.153102,-2.414227,0.324856,-0.002908,116.553986,116.139235,0.000000,116.615547,4,4,
30908,110.343971,125.863129,107.919769,125.418854,0.160162,-2.396155,0.131525,-0.001300,116.693794,116.385867,0.000705,117.881412,4,4,
30918,109.371727,125.863129,107.919769,125.389389,0.171603,-2.385695,-0.044157,-0.000454,116.769554,116.539264,0.001123,117.380558,4,4,
30928,110.437920,124.894783,107.900597,125.354820,0.182253,-2.394490,-0.122427,0.000269,116.840988,116.669433,0.001463,117.666352,4,4,
30938,108.444374,123.870720,106.928024,124.349327,0.192987,-2.403579,-0.078068,-0.001478,116.660187,116.529707,0.001022,116.157547,4,4,
30948,109.441048,122.935066,107.900597,124.349327,0.197028,-2.410436,-0.047321,-0.002390,116.549652,116.464029,0.000805,116.188057,4,4,
30958,108.444374,122.935066,108.858284,124.349327,0.206787,-2.432000,-0.136925,-0.003102,116.451035,116.407263,0.000620,115.896675,4,4,
30968,109.441048,122.972107,109.717453,126.387932,0.226239,-2.489265,-0.283152,-0.001804,116.556320,116.552985,0.001018,116.344780,4,4,
30978,109.367355,123.060860,109.750633,126.387932,0.208198,-2.484075,-0.427006,-0.000702,116.653900,116.675536,0.001339,116.405746,4,4,
30988,112.368736,123.060860,109.717453,124.408134,0.205921,-2.477908,0.062685,0.000710,116.795181,116.829947,0.001742,117.714798,4,4,
30998,112.368736,125.004356,107.775581,122.433319,0.193710,-2.482824,-0.189923,0.000917,116.824036,116.859814,0.001778,117.401027,4,4,
31008,113.343781,125.004356,106.852242,123.484840,0.151152,-2.472581,-0.296929,0.001639,116.909019,116.943855,0.001967,118.414310,4,4,
31018,113.343781,125.858124,107.775581,123.484840,0.114707,-2.455230,0.652653,0.002989,117.067192,117.098200,0.002352,118.414310,4,4,
31028,113.283424,125.858124,107.073372,129.515182,0.072777,-2.386682,0.542476,0.006428,117.458138,117.481662,0.003380,119.570774,4,4,
31038,113.283424,125.858124,112.921997,129.515182,0.068448,-2.282251,-0.797603,0.011772,118.083481,118.084258,0.005005,119.570774,4,4,
31048,113.283424,125.724319,107.073372,129.402298,0.099496,-2.158004,-1.954176,0.013063,118.336746,118.283752,0.005432,119.503872,4,4,
31058,117.401588,124.523125,110.404556,125.228073,0.157895,-2.008417,-3.418122,0.014924,118.662819,118.559293,0.006064,120.962356,4,4,
31068,111.603485,124.450195,110.404556,125.228073,0.190902,-1.848836,-4.293389,0.013254,118.636688,118.481069,0.005668,118.026840,4,4,
31078,111.112999,124.450195,110.404556,125.477562,0.265100,-1.686563,-5.150562,0.011551,118.590431,118.403180,0.005283,117.781597,4,4,
31088,111.112999,124.178764,112.547089,128.224976,0.321668,-1.531857,-3.389625,0.012100,118.763565,118.564409,0.005593,118.362927,4,4,
31098,109.991096,127.261581,109.633202,128.224976,0.411082,-1.385991,-2.772008,0.011902,118.863747,118.650965,0.005680,118.626339,4,4,
31108,112.248337,129.136002,111.796272,129.932510,0.490521,-1.266738,-1.663636,0.015209,119.330040,119.113483,0.006840,120.692170,4,4,
31118,112.248337,129.136002,111.796272,132.682816,0.559988,-1.160996,-2.378075,0.018810,119.860191,119.624332,0.008104,120.692170,4,4,
31128,118.473480,129.136002,116.832420,137.221451,0.637672,-1.048361,-3.223187,0.028663,121.082848,120.821727,0.011293,123.804741,4,4,
31138,120.960144,134.054535,118.815536,137.461731,0.697965,-0.918451,-5.266171,0.040640,122.627113,122.293030,0.015174,127.507340,4,4,
31148,121.286400,134.110016,118.894180,138.987167,0.819911,-0.791266,-4.135723,0.050393,124.057594,123.597811,0.018469,127.698208,4,4,
31158,121.286400,137.124496,121.858833,139.385498,0.924972,-0.685775,-2.865216,0.060287,125.600410,124.987546,0.021912,129.491665,4,4,
31168,124.561203,140.089355,123.742439,141.661575,1.052659,-0.588441,-1.675759,0.071959,127.428780,126.643299,0.026016,132.325279,4,4,
31178,129.857758,144.198196,124.822601,145.771713,1.203885,-0.518612,-1.062616,0.086855,129.712463,128.735323,0.031250,137.027977,4,4,
31188,129.857758,144.198196,128.591949,146.081116,1.360959,-0.466961,-0.149089,0.099115,131.868362,130.657139,0.035848,137.027977,4,4,
31198,130.156082,144.336609,133.409866,148.471466,1.504612,-0.420007,0.165399,0.110786,134.084915,132.627234,0.040453,138.873238,4,4,
31208,137.901932,149.651611,133.409866,150.975876,1.620951,-0.385095,-0.669010,0.125509,136.738708,135.030742,0.046164,143.776771,4,4,
31218,143.039658,152.775131,136.242081,153.194962,1.705362,-0.366977,-0.598613,0.141398,139.662186,137.682912,0.052423,147.907395,4,4,
31228,143.039658,156.871399,138.991425,153.822708,1.839704,-0.335699,-2.301730,0.154804,142.483795,140.213599,0.058156,148.431183,4,4,
31238,148.261703,160.134186,140.817490,162.305740,1.967575,-0.277533,-2.632133,0.171447,145.779327,143.206392,0.065045,154.197945,4,4,
31248,151.505432,161.244843,142.683609,163.572113,2.082650,-0.235212,-2.724486,0.185237,148.941757,146.043485,0.071293,156.375137,4,4,
31258,152.713242,161.244843,142.683609,162.870926,2.190628,-0.205963,1.366790,0.193137,151.623611,148.397897,0.075982,156.979042,4,4,
31268,160.022308,171.395401,156.542435,168.072037,2.253809,-0.167180,0.785889,0.213392,155.681732,152.216423,0.084722,164.047172,4,4,
