I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24
10342.000000,-0.088516,-0.466722,0.042483,0.045411,-0.043527,-0.998135,2.426728,2.018118,0.279445,92.515839,116.677299,106.408539,108.753799,-0.002002,105.393921,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10343.000000,-0.068767,-0.419757,0.031300,0.045563,-0.043537,-0.998160,2.426803,2.018252,0.279397,92.515839,116.677299,106.408539,108.753799,-0.001843,105.393921,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10344.000000,-0.059950,-0.406899,0.036981,0.045601,-0.043509,-0.998170,2.426840,2.018322,0.279386,92.515839,116.677299,106.408539,108.753799,-0.001805,105.393921,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10345.000000,-0.053832,-0.398195,0.042893,0.045619,-0.043493,-0.998198,2.426881,2.018400,0.279376,92.515839,116.677299,106.408539,108.753799,-0.001768,105.393921,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10346.000000,-0.050841,-0.394656,0.047689,0.045626,-0.043470,-0.998217,2.426925,2.018484,0.279366,92.515839,116.677299,106.408539,108.753799,-0.001732,105.393921,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10347.000000,-0.050987,-0.395574,0.050416,0.045617,-0.043457,-0.998246,2.426968,2.018565,0.279355,92.515839,116.677299,106.408539,108.753799,-0.001697,105.393921,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10348.000000,-0.054788,-0.399445,0.051728,0.045605,-0.043451,-0.998261,2.427007,2.018642,0.279345,92.515839,116.677299,106.408539,108.753799,-0.001662,105.393921,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10351.000000,-0.061334,-0.404706,0.053681,0.045619,-0.043438,-0.998262,2.427039,2.018715,0.279334,92.515961,118.673851,101.416458,100.765686,-0.001841,104.737633,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10352.000000,-0.072409,-0.411991,0.061228,0.045663,-0.043435,-0.998207,2.427086,2.018851,0.279312,92.515961,118.673851,101.416458,100.765686,-0.002189,104.737633,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10353.000000,-0.077615,-0.414252,0.061023,0.045678,-0.043450,-0.998093,2.427120,2.018981,0.279290,92.515961,118.673851,101.416458,100.765686,-0.002524,104.737633,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
