I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12
31193.000000,-9.742651,-21.616741,5.168154,-3.416992,2.101563,-0.739746,-3.052491,7.581867,6.735928,-0.017878,-0.072887,-1.026541
31194.000000,5.745154,10.822285,5.716935,3.080078,-0.255371,-1.204590,-3.319097,6.879099,6.634128,0.013411,-0.095610,-1.022032
31195.000000,-14.376798,1.736918,4.802300,-2.833008,0.883789,-0.630859,-3.565991,6.454146,6.406771,0.042685,-0.110473,-1.014872
31196.000000,5.501252,16.736917,4.131569,1.678711,-0.827148,-0.196777,-3.707446,6.189055,6.096243,0.067531,-0.120697,-1.004600
31197.000000,-18.584114,6.432040,5.290105,-1.045898,0.148438,-1.592773,-3.786100,5.704417,5.767016,0.087290,-0.128778,-0.994633
31198.000000,9.281739,0.517406,4.253520,0.773438,0.559082,-0.337402,-3.904663,4.869648,5.484358,0.101227,-0.133154,-0.987951
31199.000000,-11.023139,-10.397228,4.741325,0.172852,-0.913086,-2.083008,-3.919126,3.810061,5.232956,0.111972,-0.134873,-0.984252
31200.000000,10.745154,-8.446009,3.521813,-1.016113,0.521973,-0.978027,-3.765765,2.848818,4.972705,0.122156,-0.138296,-0.983634
31201.000000,-5.718261,9.541797,3.521813,0.917969,-1.488281,-0.696777,-3.299384,2.243971,4.675505,0.130049,-0.144013,-0.982774
31202.000000,-2.303626,3.322284,2.790106,-1.551270,0.579102,-0.687988,-2.722707,1.961770,4.353352,0.135891,-0.151341,-0.979573
31203.000000,0.379301,22.590576,3.521813,1.651367,-2.256836,-1.232910,-2.161643,1.897661,4.051714,0.139289,-0.160789,-0.977296
31204.000000,-11.693871,-5.397228,3.826691,-1.674805,2.468262,-1.311523,-1.764935,2.013941,3.819903,0.138913,-0.169747,-0.978603
31205.000000,11.964666,4.114967,2.912057,2.003906,-1.983887,-1.254395,-1.616812,2.172904,3.649266,0.135607,-0.175017,-0.983152
31206.000000,-15.230456,-18.933815,4.558398,-1.805176,2.590820,-2.123047,-1.601458,2.369986,3.522589,0.133181,-0.177656,-0.990607
31207.000000,-17.730455,2.651552,2.729130,-1.801270,1.141602,-1.258301,-2.554984,2.267779,3.446350,0.124995,-0.171393,-1.001062
31208.000000,-17.730455,2.651552,2.729130,-1.801270,1.141602,-1.258301,-4.623834,1.824316,3.372627,0.104571,-0.152831,-1.013441
31209.000000,12.635398,12.102772,1.387667,1.231445,-1.317383,0.374023,-6.270717,1.288769,3.248931,0.078701,-0.129685,-1.024880
31210.000000,-18.767040,4.114967,4.070593,-0.794922,0.360840,-1.532715,-6.800824,0.795851,3.106959,0.052792,-0.108157,-1.033478
31211.000000,11.537837,-11.250887,1.692545,0.637695,0.796387,0.168945,-6.837792,0.310320,2.991631,0.026347,-0.086560,-1.039322
31212.000000,-9.254847,-4.482594,3.094984,-0.529297,0.148438,-2.505371,-6.505354,-0.050277,2.868222,0.001372,-0.063334,-1.043189
31213.000000,9.220764,-13.141130,2.180349,-0.386230,0.066406,-0.433105,-5.691386,-0.232443,2.731515,-0.020755,-0.042207,-1.046639
31214.000000,-3.401187,16.919844,1.753520,-0.146973,-1.166016,-0.818359,-4.283804,-0.333296,2.595173,-0.039762,-0.026741,-1.048084
31215.000000,-4.864602,2.102772,2.424252,-0.192871,1.460938,-0.748535,-2.842711,-0.221832,2.477957,-0.055535,-0.013915,-1.047902
31216.000000,8.732959,13.871065,1.814496,0.369141,-2.084961,-0.878906,-1.703308,-0.070922,2.394168,-0.070457,-0.000965,-1.048423
31217.000000,15.318325,3.810089,2.241325,0.415527,-1.260742,-1.563477,-0.136045,0.414646,2.311391,-0.084369,0.004071,-1.050398
31218.000000,15.318325,3.810089,2.241325,0.415527,-1.260742,-1.563477,2.020843,1.686357,2.230294,-0.094593,-0.003349,-1.054780
31219.000000,-14.620700,-21.494791,4.558398,-0.964355,1.950684,-0.463867,3.704898,2.887915,2.220492,-0.101554,-0.015336,-1.058597
31220.000000,15.257350,14.541797,0.838886,0.151367,-1.352051,-0.674316,4.473079,3.224864,2.283818,-0.106827,-0.025613,-1.058516
