I0,I1,I2,I3,I4,I5,I6
21862.000000,-85.651588,-11.092527,4.386503,-1.013672,2.516113,-1.767578
21863.000000,-60.224766,-12.494967,2.984064,0.683594,-2.478027,-0.750488
21864.000000,-90.163788,6.956253,1.032845,-1.586914,3.372070,-1.105957
21865.000000,-57.115009,2.505033,1.825528,1.488770,-2.536133,0.208984
21866.000000,-88.700371,3.297716,2.130406,-1.458008,3.257813,-0.782715
21867.000000,-52.541836,-8.104723,3.959674,2.139648,-3.135254,-0.661621
21868.000000,-53.151592,-15.421796,4.752357,1.026855,-2.608887,-1.358398
21869.000000,-86.993057,-3.653503,1.154796,-1.053223,1.874512,-1.144531
21870.000000,-52.358910,6.834302,1.764552,0.180176,-1.857422,-0.398438
21871.000000,-84.371101,1.346497,3.532845,0.068359,1.552246,-0.646484
21872.000000,-51.566227,-1.702284,3.227967,0.121094,-1.731445,-1.553711
21873.000000,-78.883301,-14.751064,5.910893,1.134766,0.511230,-2.416016
21874.000000,-55.407692,-20.909601,2.130406,-1.545410,0.151367,-1.604004
21875.000000,-75.773544,-8.775455,6.215772,1.710938,-0.149902,-2.037109
21876.000000,-55.651592,2.748936,0.118210,-3.114258,0.326172,-0.399902
21877.000000,-71.017441,13.846498,4.813333,3.345215,-0.877441,-1.228027
21879.000000,-67.297928,-9.507162,5.910893,3.191895,-0.800781,-1.709961
21879.000000,-67.297928,-9.507162,5.910893,3.191895,-0.800781,-1.709961
21880.000000,-61.810131,-30.726675,4.081625,-3.208496,1.264648,-1.358887
21881.000000,-66.261345,-7.007162,5.362113,2.596191,-0.100098,-2.589355
21882.000000,-55.834522,-1.092528,2.984064,-2.936035,-0.666016,-1.357422
21883.000000,-66.444275,16.712351,4.874309,2.553711,0.432129,-0.039551
21884.000000,-50.468666,-8.653503,2.435284,-1.610840,-1.354980,-0.155273
21885.000000,-69.127197,-10.848625,6.215772,1.828125,1.141113,-0.789063
21886.000000,-55.163788,-31.580334,3.166991,-1.312500,-1.096680,-1.487793
21887.000000,-66.261345,-14.690088,6.947479,0.953613,1.598145,-3.650391
21888.000000,-50.712570,-2.494967,3.654796,-1.563477,-1.407715,-0.935547
21889.000000,-63.639400,21.163570,4.935284,1.468262,1.655273,-0.733398
21890.000000,-52.115009,-13.958382,3.410893,-1.161621,-1.394043,2.687988
21891.000000,-63.944279,-7.677894,2.496259,1.525879,0.905273,-1.943848
21892.000000,-55.285740,-31.031553,4.996260,-1.500488,-0.558105,-1.060059
21893.000000,-60.651592,-8.104723,4.935284,1.951172,0.937012,-4.349121
21894.000000,-54.432083,-14.202284,6.276747,-2.709473,-0.594238,-0.960938
21895.000000,-61.078423,18.236740,3.715771,2.571777,0.664551,-0.334473
21896.000000,-50.834522,-0.421796,5.118211,-2.273438,-1.003906,1.087402
21897.000000,-62.054031,-11.946186,1.642601,2.980957,0.217773,-1.682129
21899.000000,-59.736961,-14.446186,4.142601,3.749023,0.313965,-3.580078
21899.000000,-59.736961,-14.446186,4.142601,3.749023,0.313965,-3.580078
21900.000000,-47.480862,-20.360821,3.349918,-4.929688,0.749512,-0.956055
21901.000000,-64.797935,13.907473,5.179186,4.271484,0.043945,-0.910645
21902.000000,-41.749153,7.748937,3.776747,-3.740723,-0.893555,0.740234
21903.000000,-69.919884,-12.738869,3.106015,4.526367,0.072266,-1.679688
21904.000000,-45.041836,-14.933991,0.606015,-4.532715,-0.563965,-0.759277
21905.000000,-68.090614,-11.275455,4.386503,4.484375,1.612305,-3.407227
21906.000000,-35.407692,-20.726675,3.288942,-4.916016,-1.596191,-1.324219
