I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12
24007.000000,-59.742653,15.456430,-3.856236,-1.658691,0.986816,-1.418457,-44.687405,11.180507,-1.669887,-0.157717,-0.175957,-1.093329
24008.000000,-29.254847,24.846674,-1.600138,0.791504,-1.308594,-0.719727,-44.708378,11.166553,-1.702152,-0.155471,-0.166763,-1.083312
24009.000000,-57.242653,21.188137,-0.014772,-0.677734,0.745605,0.089355,-44.639503,11.422984,-1.642830,-0.151630,-0.158860,-1.072307
24010.000000,-29.254847,10.151552,2.302301,1.043945,-1.108887,-0.472168,-44.454994,11.456864,-1.522567,-0.146556,-0.152709,-1.060863
24011.000000,-56.876801,7.712528,0.960837,-0.639160,0.232422,-2.188965,-44.314373,11.352472,-1.322446,-0.142190,-0.147310,-1.052769
24012.000000,-33.218262,-2.714302,-0.746480,0.638184,-0.406738,-1.984375,-44.295826,11.528295,-1.061284,-0.139597,-0.143973,-1.050723
24013.000000,-52.608505,18.444235,-2.087943,-0.798340,0.000488,-2.714844,-44.142925,12.010331,-0.790362,-0.136151,-0.142784,-1.053990
24014.000000,-32.913383,22.895454,-1.722090,0.093750,-0.005859,-0.986816,-43.813351,12.720839,-0.536033,-0.130356,-0.140991,-1.061299
24015.000000,-49.803627,28.993015,1.387667,-0.665527,-0.197266,-0.931641,-43.448711,13.510542,-0.312703,-0.124412,-0.138321,-1.071006
24016.000000,-33.645092,16.675941,2.912057,0.888184,-0.092773,-0.368652,-43.044350,14.166989,-0.107983,-0.118901,-0.136297,-1.082469
24017.000000,-49.620701,3.932040,4.497423,-0.680664,0.528809,-0.071777,-42.728699,14.458030,0.150520,-0.114352,-0.132110,-1.092729
24018.000000,-46.449970,14.114967,-0.258675,-1.340332,-0.537109,-1.408691,-42.835945,14.797068,0.465478,-0.115842,-0.126325,-1.098079
24019.000000,-46.449970,14.114967,-0.258675,-1.340332,-0.537109,-1.408691,-43.260162,15.722136,0.734385,-0.125611,-0.123697,-1.099004
24020.000000,-39.925579,19.846674,0.777910,0.263184,1.004883,-1.200684,-43.564083,16.600590,0.994118,-0.137865,-0.121346,-1.097138
24021.000000,-41.084118,30.273502,0.716935,-0.976074,-1.046875,0.238281,-43.608936,16.982327,1.256730,-0.149207,-0.116962,-1.092700
24022.000000,-43.706066,15.517406,5.594984,0.896484,1.152344,0.013184,-43.485237,17.007385,1.469698,-0.160119,-0.112575,-1.085185
24023.000000,-40.413383,12.102772,3.948642,-0.367676,-0.909180,-0.621582,-43.364105,16.710924,1.684779,-0.169955,-0.106728,-1.075996
24024.000000,-44.681679,-4.421618,4.375472,0.796875,1.034668,-2.128418,-43.231281,16.196915,1.941488,-0.177980,-0.099669,-1.068250
24025.000000,-35.962166,12.285699,0.107179,-1.047852,-1.690430,-1.757813,-42.841316,15.582844,2.220213,-0.183217,-0.094411,-1.063212
24026.000000,-46.693871,19.480820,1.997423,0.505371,2.031738,-2.115234,-42.261341,15.109306,2.480620,-0.185132,-0.089458,-1.060684
24027.000000,-33.218262,28.200333,1.448642,-1.317383,-1.894531,0.266602,-41.779346,14.870225,2.701670,-0.185615,-0.082978,-1.059406
24028.000000,-30.596310,16.493015,4.741325,-0.532715,-2.455078,-0.211914,-40.961544,14.648969,2.839962,-0.189337,-0.085193,-1.056924
24029.000000,-30.596310,16.493015,4.741325,-0.532715,-2.455078,-0.211914,-39.544983,14.425928,2.892786,-0.198160,-0.103899,-1.053204
24030.000000,-48.157288,1.919845,4.985228,1.110352,1.415527,-3.129395,-38.291683,14.452487,2.940702,-0.207883,-0.130562,-1.052218
24031.000000,-29.681675,4.236918,2.729130,-1.440430,-1.320313,-0.098633,-37.521549,14.575551,3.060567,-0.215658,-0.156374,-1.053570
24032.000000,-50.657288,22.834478,0.168154,0.518555,1.914063,-2.815918,-37.073219,14.658467,3.203628,-0.221868,-0.178501,-1.053302
24033.000000,-28.706064,21.736917,3.034008,-1.279297,-1.571777,0.803711,-37.035275,14.770445,3.298377,-0.226834,-0.196211,-1.051635
24034.000000,-48.888996,29.419846,2.485228,1.259766,1.537598,-1.677246,-37.329681,14.904699,3.324310,-0.229833,-0.209796,-1.050272
24035.000000,-25.962162,16.127161,6.570593,-0.545410,-1.747070,0.280273,-37.770889,15.240697,3.279241,-0.229584,-0.217924,-1.051315
24036.000000,-51.023140,6.310089,3.765716,0.975586,1.315918,-1.809082,-38.196854,15.713634,3.233043,-0.227482,-0.221985,-1.053354
24037.000000,-26.571918,-1.372838,3.155959,-0.767578,-0.854004,-0.849609,-38.445274,15.965173,3.212574,-0.224376,-0.224133,-1.053571
24038.000000,-27.364601,19.968624,0.960837,-0.233887,-0.576172,-0.411621,-37.844780,15.906202,3.220457,-0.220392,-0.227817,-1.048712
24039.000000,-27.364601,19.968624,0.960837,-0.233887,-0.576172,-0.411621,-36.307747,15.692481,3.224895,-0.215706,-0.235546,-1.037321
24040.000000,-52.303627,29.175941,5.168154,-0.639648,0.521973,-0.169434,-35.150349,15.439409,3.225120,-0.211147,-0.243484,-1.023462
24041.000000,-27.181675,19.846674,4.619374,0.721191,-0.411621,0.125977,-34.995678,15.384753,3.255294,-0.207138,-0.247243,-1.009311
24042.000000,-50.413383,4.236918,6.387667,-0.198730,0.037109,-0.061523,-35.370010,15.476820,3.300767,-0.202818,-0.247202,-0.992569
24043.000000,-32.364601,-3.994789,2.119374,0.565430,0.780273,-1.735352,-35.995777,15.314535,3.356625,-0.198006,-0.244645,-0.972715
24044.000000,-47.730457,11.553991,0.960837,-0.914063,-0.127441,-1.747070,-36.784370,14.817932,3.370578,-0.191924,-0.238890,-0.953980
24045.000000,-35.596310,18.749113,2.241325,0.226074,0.894043,-1.383789,-37.783165,14.175846,3.363234,-0.184962,-0.229552,-0.939548
24046.000000,-42.181679,33.322285,1.631569,-1.291016,-1.511230,-0.173828,-38.741505,13.771952,3.345362,-0.179038,-0.219445,-0.929011
24047.000000,-41.206066,13.383260,5.777910,0.948730,1.716797,0.401855,-39.492195,13.701782,3.268522,-0.174615,-0.208793,-0.919465
24048.000000,-42.425579,-10.641130,3.765716,0.688477,2.041016,-2.135254,-40.191002,13.091717,3.161414,-0.168429,-0.188262,-0.911772
24049.000000,-42.425579,-10.641130,3.765716,0.688477,2.041016,-2.135254,-40.736153,11.519283,3.049683,-0.158647,-0.153814,-0.910513
24050.000000,-33.949970,19.846674,-0.502577,-0.916992,-2.954590,-3.327148,-40.909416,10.191811,2.935247,-0.147254,-0.117632,-0.917629
24051.000000,-46.267044,15.944236,2.363276,0.230469,2.834473,-2.316895,-40.878979,9.915473,2.843276,-0.135849,-0.086457,-0.934035
24052.000000,-30.596310,38.200336,1.753520,-0.835938,-2.860840,-0.517578,-40.794998,10.396048,2.813888,-0.124809,-0.057319,-0.957022
24053.000000,-49.803627,12.346675,5.107179,1.121582,2.184082,-0.938477,-40.609398,11.218382,2.817539,-0.113287,-0.031107,-0.982808
24054.000000,-31.145090,21.188137,3.887667,-0.511230,-3.161133,-0.606445,-40.458065,12.167763,2.803781,-0.101605,-0.010148,-1.010120
24055.000000,-24.925577,15.578382,1.143764,-1.233398,-3.321777,-1.255859,-39.654125,13.916406,2.697618,-0.095739,-0.007927,-1.035447
24056.000000,-57.730457,19.602772,2.302301,0.091309,2.909180,-2.657715,-38.592999,16.575743,2.535769,-0.096575,-0.021164,-1.057956
24057.000000,-57.730457,19.602772,2.302301,0.091309,2.909180,-2.657715,-39.102112,18.951078,2.509485,-0.097007,-0.022866,-1.082011
24058.000000,-60.779240,26.310089,6.631569,0.831055,2.561523,-2.214355,-41.407726,20.169947,2.742263,-0.092845,-0.003729,-1.111571
24059.000000,-22.242651,16.249113,2.912057,0.513672,-2.776855,0.602539,-43.664490,20.128202,3.117818,-0.083367,0.022863,-1.144299
24060.000000,-66.754845,-2.104546,7.302301,0.250977,2.583008,-2.128906,-45.001621,18.850843,3.422871,-0.071307,0.047423,-1.176719
24061.000000,-22.730455,2.956430,-0.441602,-0.321289,-1.757324,-0.113770,-45.965866,16.843626,3.547441,-0.060643,0.073028,-1.207840
24062.000000,-67.730461,14.541797,4.497423,-1.427246,2.732910,-1.250977,-46.604649,15.306410,3.506887,-0.054352,0.100589,-1.232071
24063.000000,-20.108503,28.383259,2.607179,0.982422,-1.993652,0.100586,-46.705097,14.908181,3.518216,-0.050847,0.126361,-1.244087
24064.000000,-66.571922,24.602772,5.716935,-1.337402,2.097656,-0.173828,-46.197674,15.249787,3.686749,-0.047707,0.145835,-1.243134
24065.000000,-21.754845,13.871065,5.107179,2.457520,-2.444824,0.322266,-45.494720,15.346266,3.929787,-0.043306,0.159451,-1.233065
24066.000000,-68.096313,-2.043570,5.046203,-1.727051,1.553711,-1.136230,-45.017227,14.541772,4.116083,-0.037142,0.169546,-1.220480
24067.000000,-25.962162,3.688138,1.997423,1.625000,-1.050781,-1.575684,-44.966904,13.270094,4.119322,-0.032220,0.178763,-1.210028
24068.000000,-67.669479,11.980821,3.034008,-2.546875,1.387695,-1.319336,-45.268326,12.530513,3.987046,-0.029423,0.188324,-1.201591
24069.000000,-22.974358,26.858870,1.265715,1.758301,-1.109375,-0.885742,-45.528343,12.729251,3.835025,-0.027809,0.195664,-1.191316
24070.000000,-65.779236,25.151552,6.326691,-2.040039,0.379883,0.094727,-45.478809,13.495508,3.764066,-0.026656,0.196754,-1.175907
24071.000000,-25.840212,15.517406,3.277911,2.830566,-0.945313,-1.002441,-45.320484,14.059587,3.796363,-0.024726,0.191878,-1.157535
24072.000000,-63.340214,5.212528,5.777910,-2.247559,-0.419922,-1.853027,-45.243790,13.978572,3.814605,-0.022031,0.183787,-1.143971
24073.000000,-33.035336,-0.702106,0.412057,2.160156,-0.139160,-1.702148,-45.394192,13.497152,3.708589,-0.020612,0.173480,-1.138359
24074.000000,-59.132896,14.480821,0.412057,-2.824219,-0.254395,-1.822266,-45.727955,13.228188,3.423593,-0.020631,0.161792,-1.137489
24075.000000,-36.206066,23.932039,0.229130,1.264648,0.384277,-0.977539,-46.054012,13.607647,3.037388,-0.022493,0.148922,-1.137523
24076.000000,-51.815823,30.700333,2.485228,-1.609863,-1.116211,-0.369629,-46.152950,14.468041,2.688153,-0.025642,0.132954,-1.135057
24077.000000,-41.754848,12.712528,2.912057,1.654785,0.851074,-0.123535,-46.076653,15.120263,2.422227,-0.028976,0.114216,-1.129254
24078.000000,-49.315823,-4.604545,0.351081,1.379395,1.789551,-2.053223,-46.068111,14.696156,2.138946,-0.027847,0.102423,-1.124463
24079.000000,-49.315823,-4.604545,0.351081,1.379395,1.789551,-2.053223,-46.247955,13.228689,1.729144,-0.018169,0.104870,-1.125717
24080.000000,-40.840214,22.651552,-2.514772,-1.252930,-2.366699,-2.499512,-46.472111,12.168028,1.244903,-0.004545,0.112617,-1.133392
24081.000000,-54.376801,13.383260,0.168154,0.036133,2.347656,-0.897461,-46.596848,12.239517,0.810363,0.008214,0.117928,-1.143958
24082.000000,-34.071922,32.895458,-0.807455,-0.596191,-3.059082,-0.560547,-46.570324,12.746840,0.499551,0.019467,0.120196,-1.152585
24083.000000,-59.986557,9.297894,2.912057,0.244629,2.295898,-0.390625,-46.429264,13.073101,0.309860,0.028734,0.118119,-1.158265
24084.000000,-32.059723,13.871065,-0.990382,0.525879,-2.306152,-0.999512,-46.374672,13.025530,0.176967,0.035614,0.114072,-1.163197
24085.000000,-63.462166,-2.165521,0.899862,-0.055664,2.022461,-2.467285,-46.406349,12.927523,0.016284,0.039869,0.108380,-1.169912
24086.000000,-26.693871,17.712528,-3.490382,-0.297363,-2.901855,-1.232910,-46.420494,13.191070,-0.173465,0.041393,0.099545,-1.178531
24087.000000,-68.340218,14.358870,0.594984,-0.582520,2.828125,-1.611816,-46.423641,13.804729,-0.316196,0.041976,0.089498,-1.186225
24088.000000,-74.803627,12.468626,5.046203,-0.341309,2.375488,-0.540527,-47.772141,13.967171,-0.185128,0.042053,0.089840,-1.192077
24089.000000,-74.803627,12.468626,5.046203,-0.341309,2.375488,-0.540527,-51.118427,13.096890,0.327278,0.040375,0.107962,-1.196466
24090.000000,-22.303625,17.590576,-2.148919,1.539551,-2.037598,-1.163574,-54.165997,12.023488,0.841471,0.038409,0.133100,-1.200932
24091.000000,-76.328018,-2.348448,5.473032,-0.767578,2.219238,-1.281738,-55.584557,11.494886,1.133379,0.036554,0.156273,-1.205953
24092.000000,-24.742651,12.468626,-4.770870,0.254395,-1.520996,-0.844727,-56.081284,11.435348,1.297080,0.032505,0.178802,-1.208092
