I0,I1,I2,I3,I4,I5,I6
20553.000000,-26.627201,22.626984,2.984064,3.206055,0.074219,-1.977051
20554.000000,-26.627201,22.626984,2.984064,3.206055,0.074219,-1.977051
20555.000000,-9.005249,10.492839,0.240162,-3.021484,0.334473,-0.444824
20556.000000,-9.554029,10.126986,4.752357,-2.718262,-0.480469,-1.232910
20557.000000,-23.700371,31.773327,5.118211,1.694336,0.203613,-0.640625
20558.000000,-11.078420,23.175764,0.910893,-1.722168,0.266602,0.315918
20559.000000,-24.615005,24.822107,1.520650,1.416992,0.210938,-0.556641
20560.000000,-11.139396,7.870888,-0.003741,-0.809570,-0.041504,-0.980469
20561.000000,-22.297932,26.102594,3.288942,0.252441,-0.161133,-2.132324
20562.000000,-15.529639,10.309912,3.837723,-0.117188,0.097168,-1.708496
20563.000000,-18.639397,29.822107,5.910893,-0.890137,-0.069824,-1.326172
20564.000000,-16.627201,27.139179,4.630405,0.928223,-0.668945,-0.563965
20565.000000,-15.285737,28.053814,1.459674,-0.821289,-0.167480,-0.088379
20566.000000,-20.712566,13.175766,1.520650,2.092285,0.394531,-1.986816
20567.000000,-13.151590,24.090399,0.727967,-2.538574,0.285156,-0.744141
20569.000000,-13.517445,18.663570,3.715771,-3.020020,0.298340,0.173340
20569.000000,-13.517445,18.663570,3.715771,-3.020020,0.298340,0.173340
20570.000000,-24.249151,33.663570,6.642601,2.214844,0.540039,-1.217773
20571.000000,-13.151590,23.236740,3.106015,-1.862793,-0.642090,-0.069336
20572.000000,-22.724762,23.846497,2.984064,2.625977,0.149414,-1.660645
20573.000000,-12.785737,12.444058,1.581625,-2.262695,-0.411621,-0.397461
20574.000000,-24.188177,25.553814,3.532845,1.642578,0.903320,-2.197754
20575.000000,-15.346713,18.541618,5.971869,-1.087891,-1.173340,-2.026367
20576.000000,-21.322323,33.053814,5.484064,0.740234,0.749512,-1.306641
20577.000000,-16.444275,19.700155,5.849918,-0.644531,-0.378906,0.480957
20578.000000,-16.627201,6.834302,1.764552,-0.194824,-0.623535,-0.152344
20579.000000,-16.627201,6.834302,1.764552,-0.194824,-0.623535,-0.152344
20580.000000,-19.736958,34.212349,1.581625,-0.147461,0.804688,-2.529785
20581.000000,-17.297932,12.992839,3.898698,0.149414,-0.466797,-0.805176
20582.000000,-20.224762,26.895277,5.788942,-0.827637,0.305176,-0.708496
20583.000000,-19.675982,23.053814,5.301137,0.805176,-0.380859,-0.414551
20584.000000,-16.444275,23.053814,1.337723,-0.762695,0.437012,0.175293
20585.000000,-20.163786,19.456253,1.703576,1.372559,-0.416504,-2.094238
20586.000000,-14.188176,18.297716,-0.857399,-1.510742,0.179199,-0.478516
20587.000000,-23.090616,19.883081,2.069430,0.989258,0.306641,-1.737793
20589.000000,-20.407688,29.273327,4.386503,0.955566,0.661621,-1.375977
20589.000000,-14.919884,18.297716,3.471869,-0.313965,-0.641602,-0.225098
20590.000000,-14.919884,18.297716,3.471869,-0.313965,-0.641602,-0.225098
20591.000000,-17.846712,21.773325,-0.613497,0.337891,0.416504,-0.648926
20592.000000,-19.066225,12.078205,1.276747,-0.475586,-0.447266,-0.207520
20593.000000,-15.468664,29.212351,0.362113,0.480957,0.142090,-2.381836
20594.000000,-22.115005,12.687961,3.715771,-0.666016,-0.157227,-0.927246
20595.000000,-12.236957,26.590399,3.593820,0.314453,0.410645,-0.774902
20596.000000,-21.078421,15.675765,3.837723,0.049316,0.031738,-0.437988
20597.000000,-10.407688,24.639179,1.703576,0.032715,0.358398,-0.540039
20598.000000,-13.639396,18.602594,-0.064716,-0.532227,0.824219,-0.779297
20599.000000,-13.639396,18.602594,-0.064716,-0.532227,0.824219,-0.779297
20600.000000,-22.541836,13.968449,4.020650,0.348633,-0.118164,-1.109375
20601.000000,-11.383298,13.907473,1.642601,-0.062500,-0.271484,-1.192871
20602.000000,-18.944273,19.395277,4.630405,-0.603516,0.155762,-0.783691
20603.000000,-13.944274,21.285521,5.301137,0.517090,-0.186523,-0.938965
20604.000000,-17.663786,18.663570,2.435284,-0.422852,0.233887,-0.479492
20605.000000,-16.749153,10.187961,2.008454,0.502441,-0.231445,-0.602051
20606.000000,-13.273542,21.773325,1.825528,-0.267578,-0.387207,-2.202637
20607.000000,-20.712566,11.468449,3.593820,0.112305,0.356445,-1.046875
20609.000000,-6.200371,21.773325,2.374308,-0.293945,-0.176758,-0.517090
20609.000000,-6.200371,21.773325,2.374308,-0.293945,-0.176758,-0.517090
20610.000000,-6.200371,21.773325,2.374308,-0.293945,-0.176758,-0.517090
20611.000000,-24.736958,10.919668,3.410893,0.621094,-0.239746,-1.320801
20612.000000,-8.639396,13.724546,-0.552521,-0.682129,0.315430,-0.925781
