I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12
36038.000000,-13.584114,-6.311862,0.534008,-0.812988,-1.301758,-2.097168,-11.150924,-16.414854,1.472117,0.172244,-0.318301,-1.098754
36039.000000,-11.937773,-16.006985,1.814496,0.537109,1.729492,-2.262695,-10.915960,-16.461136,1.668476,0.169997,-0.314913,-1.102920
36040.000000,-4.925578,4.907650,0.168154,-0.177734,-2.296875,-0.532227,-10.785000,-16.087606,1.836875,0.167578,-0.310342,-1.112604
36041.000000,-15.840212,-26.433815,6.265715,0.497559,1.846680,-0.851563,-10.675364,-15.408221,1.998845,0.166152,-0.306316,-1.123311
36042.000000,-1.023139,-9.360643,1.082788,-0.329590,-1.099609,0.061035,-10.528444,-14.912600,2.163519,0.164675,-0.299765,-1.131434
36043.000000,-22.730455,-34.909424,8.277911,0.829590,1.131348,-2.859863,-10.358671,-14.796947,2.335768,0.163136,-0.290330,-1.137862
36044.000000,3.854911,-10.458204,-0.868431,-0.988770,-2.083984,-0.349609,-10.211970,-15.007194,2.587312,0.160352,-0.280923,-1.144421
36045.000000,-28.401188,-19.848450,5.168154,0.103027,2.210449,-1.777344,-10.120419,-15.408383,2.857854,0.154250,-0.271209,-1.149046
36046.000000,6.659788,-3.750887,-0.319651,-0.785645,-1.483887,0.858887,-10.218744,-15.885075,3.084384,0.145299,-0.259204,-1.149509
36047.000000,4.586617,-14.055765,3.034008,0.660645,-1.309082,0.145996,-9.587640,-16.100571,3.159181,0.135225,-0.250903,-1.143044
36048.000000,4.586617,-14.055765,3.034008,0.660645,-1.309082,0.145996,-7.815558,-15.907577,3.059734,0.127401,-0.251885,-1.129646
36049.000000,-22.669479,-32.226498,5.534008,0.048340,1.458984,-1.641602,-6.196546,-15.802747,2.934459,0.122713,-0.255916,-1.112977
36050.000000,-1.084114,-28.872839,2.180349,-0.253418,-0.851074,-0.648438,-5.538177,-16.320396,2.886221,0.117715,-0.256204,-1.094695
36051.000000,-21.267040,-12.409424,0.655959,-0.410645,0.361328,-2.604980,-5.555463,-17.257614,2.866983,0.110776,-0.254303,-1.077277
36052.000000,-4.010943,-14.360643,3.277911,-0.263184,-0.517578,0.534668,-6.065893,-18.086239,2.842796,0.102523,-0.253004,-1.062312
36053.000000,-16.754845,-4.726497,1.265715,0.146484,0.166504,-1.703613,-7.050376,-18.483046,2.841686,0.093945,-0.250987,-1.049196
36054.000000,-7.120700,-26.433815,5.716935,0.340332,-0.286133,0.515625,-8.404562,-18.476768,2.846960,0.085901,-0.246466,-1.038537
