I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12
32299.000000,-4.132895,2.895455,3.826691,0.664063,0.187500,-1.574219,-4.772880,-0.403084,2.730262,-0.135379,0.172989,-0.880242
32300.000000,-8.218261,2.041796,6.021813,-0.637695,-0.917969,-0.816895,-4.591127,-0.993756,2.942985,-0.137301,0.169822,-0.884497
32301.000000,-3.888992,10.578382,-2.575748,0.054199,0.607910,-0.833008,-4.537951,-1.061365,3.167308,-0.139295,0.163297,-0.892564
32302.000000,-5.230456,0.456430,2.729130,0.009766,-0.371094,-0.262695,-4.612985,-0.401619,3.167701,-0.141491,0.155341,-0.900989
32303.000000,1.171983,-3.202106,-0.380626,-0.029297,0.595215,-1.109863,-4.648582,0.456414,2.961316,-0.142507,0.147768,-0.906544
32304.000000,1.354910,-5.824058,2.851081,0.141602,-0.060059,-1.570801,-4.311340,0.891055,2.612206,-0.141990,0.142088,-0.910398
32305.000000,-8.523139,-3.202106,3.826691,-0.829590,0.329102,-1.066406,-3.795990,0.747756,2.271875,-0.141060,0.137652,-0.914886
32306.000000,3.550032,4.907650,3.460837,0.674316,-0.784668,-1.342773,-3.327994,0.278992,2.110709,-0.140326,0.132215,-0.921182
32307.000000,2.208569,8.688138,-2.575748,-0.235352,0.862305,0.089355,-2.543038,0.055702,2.004656,-0.138076,0.126006,-0.928850
32308.000000,2.208569,8.688138,-2.575748,-0.235352,0.862305,0.089355,-1.511149,0.494008,1.724815,-0.135534,0.122693,-0.933633
32309.000000,-8.767041,-1.982594,1.509618,-0.035156,-0.424316,-0.160156,-0.882676,1.366842,1.324889,-0.134029,0.122391,-0.932143
32310.000000,6.354910,-0.214301,-0.929407,0.343750,0.741211,-1.837891,-0.733577,2.128942,0.943507,-0.131677,0.122965,-0.926703
32311.000000,-0.901187,-10.214301,5.594984,-0.223633,-1.176758,-1.001465,-0.501537,2.340172,0.664966,-0.127421,0.122617,-0.921500
32312.000000,-0.169480,1.736918,1.265715,0.341309,0.708984,-2.322266,-0.134574,1.822234,0.599429,-0.121727,0.119990,-0.919803
32313.000000,-1.815821,6.553991,6.631569,0.162598,-1.105957,-0.835938,0.097665,1.094617,0.820220,-0.114625,0.115860,-0.924275
32314.000000,-10.108504,7.346674,-0.136724,-0.252441,0.109863,-0.743164,-0.134943,0.772571,1.328433,-0.106957,0.108143,-0.933174
32315.000000,4.708569,10.639358,-1.539163,-0.583496,0.836914,0.562500,-0.741546,1.153600,1.761785,-0.101072,0.099128,-0.940577
32316.000000,-8.949968,-1.677716,0.716935,0.333984,0.187988,-0.367676,-1.307386,2.077937,1.850303,-0.097109,0.093748,-0.941074
32317.000000,-5.474358,-6.311862,5.899862,-0.062988,-0.832031,-1.870605,-2.053544,2.765642,1.836838,-0.092770,0.088999,-0.936777
