I0,I1,I2,I3,I4,I5,I6
18425.000000,-11.993054,-6.458382,-0.247643,2.406738,-0.373535,-2.057617
18426.000000,-3.151591,-1.763259,-2.442765,-2.065430,0.101563,-1.052734
18427.000000,-14.493054,5.370887,-2.381789,2.090332,0.036133,-1.365234
18428.000000,-7.236957,-0.055942,1.642601,1.713867,0.230957,-0.902344
18429.000000,0.933775,-9.994967,-0.491546,-1.239258,-0.044922,-1.083008
18430.000000,-5.224761,-5.848625,2.557235,1.102051,0.132813,-1.238770
18431.000000,-3.883298,-7.677894,-2.991546,-0.647949,-0.936035,-0.850098
18432.000000,-9.188176,6.468449,-1.345204,-0.033203,0.402832,-1.178711
18433.000000,-7.054029,0.492838,-3.357399,0.327637,-0.036621,-0.276855
18434.000000,0.019141,4.700155,-0.857399,-0.914063,0.764648,-0.646484
18435.000000,-5.529639,-11.641308,1.703576,0.831055,-0.002441,-0.688965
18436.000000,5.872800,-4.507162,-1.162277,-1.189453,-0.119141,-1.368652
18437.000000,-9.493054,-7.068137,0.484064,1.417969,-0.232422,-1.943359
18438.000000,-0.956469,-0.360820,-3.479350,-1.437012,0.277832,-0.645508
18439.000000,-11.322323,3.236741,-0.247643,1.625488,-0.421875,-1.333496
18440.000000,0.933775,2.139180,-2.564716,-1.684082,0.197266,-0.568848
18441.000000,-4.797932,-2.921796,0.301137,1.580078,0.334473,-0.966797
18442.000000,6.848410,-10.116918,2.069430,-1.200195,0.020508,-1.385254
18443.000000,-3.334518,-6.275455,-1.101302,0.730469,-0.153320,-0.855957
18444.000000,1.604507,-4.141308,-1.833009,-0.631348,-0.755859,-1.247070
18445.000000,-5.956469,6.163570,-1.345204,0.160645,-0.239746,-1.103027
18446.000000,-2.785737,2.566009,-1.284229,-0.003418,0.154785,-0.976563
18447.000000,0.933775,3.358692,1.764552,-0.260254,0.111816,-0.986816
18449.000000,7.763043,-4.080333,1.398698,-0.327148,-0.598145,-1.532227
18449.000000,7.763043,-4.080333,1.398698,-0.327148,-0.598145,-1.532227
18450.000000,-5.041834,-7.190088,-0.125692,0.869629,0.235840,-1.558594
18451.000000,3.616702,-1.031552,-2.381789,-1.308105,-0.278809,-0.261719
18452.000000,-10.651590,5.248936,0.727967,0.992676,-0.222656,-1.261230
18453.000000,6.360605,-2.555942,-1.162277,-1.313477,0.315430,0.421875
18454.000000,-4.675981,-2.555942,3.166991,1.475586,0.426270,-1.362793
18455.000000,13.128898,-13.470576,0.240162,-1.109375,0.095215,-0.522949
18456.000000,-4.066225,-3.897406,1.520650,0.444336,-0.179199,-1.081055
18457.000000,5.567922,-5.238869,-1.711058,-0.351563,-0.221680,-1.426270
18459.000000,5.263044,-0.238869,0.423089,0.354004,-0.434570,-1.463867
18459.000000,-0.651591,-0.848625,-0.186668,-0.531250,0.708984,-0.970215
18460.000000,-0.651591,-0.848625,-0.186668,-0.531250,0.708984,-0.970215
18461.000000,10.080117,-12.068137,0.423089,0.537109,-0.557617,-1.481934
18462.000000,2.945970,-4.202284,0.118210,-0.458984,-0.177246,-1.763184
18463.000000,1.177678,-10.299845,-1.711058,0.885742,0.001953,-1.107422
18464.000000,1.665483,1.956253,-1.711058,-0.850586,-0.444336,-0.674805
18465.000000,-5.041834,-1.641308,-3.784229,0.687988,0.345703,-1.164063
18466.000000,11.238653,2.078204,-2.137887,-1.210449,-0.612793,0.045410
18467.000000,-0.529639,-9.324235,0.971869,1.248535,0.417480,-1.543945
18469.000000,-7.115005,-4.812039,0.118210,1.251465,-0.185059,-1.748047
18469.000000,10.019141,-4.873015,-4.759838,-0.666504,0.115723,-1.104004
18470.000000,10.019141,-4.873015,-4.759838,-0.666504,0.115723,-1.104004
18471.000000,-9.797933,1.285521,-2.320814,0.520020,0.241211,-0.510742
18472.000000,12.702068,-5.909601,-4.698863,-0.361816,-0.125488,-0.822266
18473.000000,-1.749152,-1.580333,-2.259838,-0.048828,0.972168,-1.092285
18474.000000,14.897190,-14.568137,-1.040326,0.437988,-0.645020,-1.254395
18475.000000,-2.297932,-6.092527,-1.954960,-0.749023,0.322754,-0.948730
18476.000000,5.689873,-9.568137,-3.723253,1.020508,-0.851563,-0.609375
18477.000000,-2.175981,2.687960,-3.540326,-0.849121,0.124512,-0.540527
18479.000000,3.860605,-10.299845,0.057235,1.732422,0.303711,-1.904785
18479.000000,3.860605,-10.299845,0.057235,1.732422,0.303711,-1.904785
18480.000000,3.860605,-10.299845,0.057235,1.732422,0.303711,-1.904785
18481.000000,9.836215,-6.824235,-0.735448,-1.555176,-0.458008,-0.915527
18482.000000,-5.102810,-5.482772,-0.735448,2.393555,0.136230,-2.544922
18483.000000,9.043531,-7.007162,-3.357399,-2.014160,-0.190918,-0.029297
18484.000000,-9.371103,1.346497,-0.796424,1.790039,0.373535,-1.991699
18485.000000,15.384995,-7.860821,-3.418375,-2.189453,-0.190430,0.300781
18486.000000,-7.115005,-2.129113,3.166991,1.707031,0.868164,-1.217285
18487.000000,17.580116,-14.263259,-2.137887,-1.523926,-0.978516,-0.520508
18489.000000,-6.932078,1.346497,-1.772033,0.020508,0.523926,-1.003906
18489.000000,-6.932078,1.346497,-1.772033,0.020508,0.523926,-1.003906
18490.000000,-6.932078,1.346497,-1.772033,0.020508,0.523926,-1.003906
18491.000000,9.409386,-6.641308,-0.674472,0.388184,-0.542480,-0.779785
18492.000000,10.506947,-13.714478,2.252357,0.770996,-0.790039,-0.834473
18493.000000,-1.810127,-3.470576,2.069430,-1.108398,0.323242,-1.385254
18494.000000,2.763043,-11.580333,-1.284229,1.401367,-0.172363,-0.927734
