t_end_ms,gyro_norm_median,gyro_target_norm_median,flow_norm_median,roll_mean,pitch_mean,roll_target_mean,pitch_target_mean,roll_err_mean,pitch_err_mean,roll_std,pitch_std,quiet_score
58849.0,0.10295558765797999,0.0,5.0990195135927845,2.3825979715,2.1455797635000002,-3.0,3.5,-5.3825979715,1.3544202365000002,0.002058979573526439,0.0028056567237076317,0.21466525052430382
58850.0,0.10295558765797999,0.0,5.0990195135927845,2.3825945149999996,2.145583119,-3.0,3.5,-5.382594515,1.354416881,0.0020603290855624717,0.0028062753550597364,0.21466918681108013
58851.0,0.10295558765797999,0.0,5.0990195135927845,2.382591074,2.145586475,-3.0,3.5,-5.382591074,1.354413525,0.0020616968020164897,0.0028068857411817573,0.2146731430162322
58852.0,0.10295558765797999,0.0,5.0990195135927845,2.38258765,2.1455898295,-3.0,3.5,-5.38258765,1.3544101705,0.002063086032029952,0.0028074899177274446,0.2146771298293505
58853.0,0.10295558765797999,0.0,5.0990195135927845,2.3825842434999998,2.1455931790000005,-3.0,3.5,-5.382584243499999,1.354406821,0.0020644970897033925,0.0028080926439489006,0.2146811573971403
58856.0,0.10295558765797999,0.0,5.0990195135927845,2.3825808535,2.1455965200000002,-3.0,3.5,-5.3825808535,1.35440348,0.002065931715966096,0.002808696276189072,0.21468523391414604
58857.0,0.10295558765797999,0.0,5.0990195135927845,2.3825774695,2.1455998575,-3.0,3.5,-5.3825774695,1.3544001425,0.0020673998428446813,0.002809310035137262,0.2146893976857996
59037.0,0.10295558765797999,0.0,5.0990195135927845,2.3821387210000005,2.1459680975,-3.0,3.5,-5.382138721,1.3540319024999998,0.002117911118055519,0.0027590189661748613,0.21468983809829648
59036.0,0.10295558765797999,0.0,5.0990195135927845,2.3821410249999997,2.145966285,-3.0,3.5,-5.382141025,1.3540337150000001,0.0021175890628653037,0.002759354605262759,0.21468986526609182
59038.0,0.10295558765797999,0.0,5.0990195135927845,2.3821364515,2.1459698444999997,-3.0,3.5,-5.3821364515,1.3540301554999998,0.0021182832002775835,0.002758713614461284,0.21468997155931344
59033.0,0.10295558765797999,0.0,5.0990195135927845,2.382143317,2.145964429,-3.0,3.5,-5.382143317,1.3540355709999998,0.002117308386840625,0.002759688612229331,0.21468997192797562
59059.0,0.10295558765797999,0.0,5.0990195135927845,2.3820972855,2.1459966169999998,-3.0,3.5,-5.3820972855,1.354003383,0.002124202894271211,0.0027528343803731995,0.2146900524791245
59058.0,0.10295558765797999,0.0,5.0990195135927845,2.382099514,2.1459951409999998,-3.0,3.5,-5.382099514,1.354004859,0.002123883889779534,0.002753174399242835,0.21469009450788043
59032.0,0.10295558765797999,0.0,5.0990195135927845,2.3821456115,2.1459625509999998,-3.0,3.5,-5.3821456115,1.354037449,0.0021170492789410037,0.0027600300315716885,0.21469013655086108
59039.0,0.10295558765797999,0.0,5.0990195135927845,2.3821341835,2.145971557,-3.0,3.5,-5.382134183500001,1.354028443,0.0021186744973480057,0.002758408527111819,0.21469014397875535
59057.0,0.10295558765797999,0.0,5.0990195135927845,2.3821017880000004,2.145993652,-3.0,3.5,-5.382101788,1.354006348,0.0021235864448669877,0.0027535246837242576,0.21469020018701818
59040.0,0.10295558765797999,0.0,5.0990195135927845,2.3821319135,2.145973233,-3.0,3.5,-5.382131913499999,1.3540267670000001,0.002119080783446768,0.002758101280036219,0.21469034205680168
59056.0,0.10295558765797999,0.0,5.0990195135927845,2.3821041005000003,2.145992147,-3.0,3.5,-5.3821041005,1.354007853,0.0021233037603935966,0.002753882789352261,0.21469035102932743
59031.0,0.10295558765797999,0.0,5.0990195135927845,2.3821479045,2.145960649,-3.0,3.5,-5.3821479045,1.3540393510000002,0.0021168154591971466,0.0027603786044146,0.21469036605705918
59053.0,0.10295558765797999,0.0,5.0990195135927845,2.382106453,2.145990592,-3.0,3.5,-5.3821064530000005,1.3540094079999998,0.0021230290827274198,0.002754255833074311,0.21469054776143917
