axis,raw_mean,raw_rms,raw_mae,raw_p95_abs,dec_mean,dec_rms,dec_mae,dec_p95_abs,rms_ratio,mae_ratio,judgement
x,-0.012031,5.460048,2.591678,13.000000,-0.017838,1.140178,0.692697,2.540738,0.208822,0.267278,解耦后已接近 0
y,0.011759,7.037137,3.331524,17.000000,0.005269,1.361812,0.807598,2.909702,0.193518,0.242411,解耦后已接近 0
