axis,raw_mean,raw_rms,raw_mae,raw_p95_abs,dec_mean,dec_rms,dec_mae,dec_p95_abs,rms_ratio,mae_ratio,judgement
x,0.000408,4.360529,2.278445,10.000000,-0.003815,1.079276,0.685252,2.289584,0.247510,0.300754,解耦后已接近 0
y,0.000245,3.290367,1.796700,7.000000,0.003653,0.899557,0.630068,1.870190,0.273391,0.350681,解耦后已接近 0
