flight,flight_name,axis,state,samples,duration_s,angle_err_mean_deg,angle_err_rms_deg,angle_abs_err_p95_deg,angle_abs_err_p99_deg,angle_target_min_deg,angle_target_max_deg,angle_meas_min_deg,angle_meas_max_deg,angle_lag_ms,angle_corr,angle_output_rms_dps,angle_p_rms_dps,angle_i_rms_dps,angle_d_rms_dps,angle_ff_residual_rms_dps,angle_output_help_pct,angle_p_help_pct,angle_ff_with_sp_rate_pct,gyro_err_mean_dps,gyro_err_rms_dps,gyro_abs_err_p95_dps,gyro_abs_err_p99_dps,gyro_lag_ms,gyro_corr,gyro_output_rms,gyro_p_rms,gyro_i_rms,gyro_d_rms,gyro_output_help_pct,gyro_p_help_pct,gyro_i_help_pct,gyro_d_damping_pct,gyro_d_opposes_p_pct,gyro_ff_residual_rms,start_active_s,end_active_s
4,fourth_small_gyro_d,pitch,example_quiet_center,13567,17.923000000000002,0.16816933544630358,0.9111009632007387,1.81655,2.449225,-0.5,5.86,0.123014,5.480592,91.0,0.8993765709974282,6.142268365723255,6.10437629482831,0.0,0.0,0.9920340157197054,97.3063188945816,100.0,22.991071428571427,1.318448064863271,6.688070717205738,13.1602323,17.480904800000005,32.0,0.672380705122511,34.27753224966759,32.102740752429085,5.586123547297082,1.308258986582037,96.17874132418311,100.0,57.53723777587149,60.55889313671946,30.006633743642663,1.3129414075828202e-06,22.049,39.972
4,fourth_small_gyro_d,pitch,example_stable_hold,25599,33.335,0.019381040079690628,0.8465271050489918,1.875895,3.2724031600000005,-1.399217,14.514991,-1.394451,12.802325,63.0,0.9362182522272472,5.714247621522736,5.671731443668929,0.0,0.0,0.6902938560044617,98.27868508333684,100.0,28.007889546351084,0.04514675803742341,6.458306865324969,12.659983799999996,16.658025440000014,24.0,0.5744709084206101,32.4179071055128,30.99987420380657,7.450612352717622,1.3314676704413606,93.67981632227092,100.0,50.74097265706533,59.1483919859802,26.69244892378608,1.237871350917742e-06,57.836,91.171
4,fourth_small_gyro_d,pitch,example_large_angle,1613,2.097,-1.247446291382517,2.140324810510869,4.290070399999987,6.31297,-15.74,-8.82,-14.41232,-2.13493,0.0,0.6583357720760488,14.821857935658592,14.34017586388576,0.0,0.0,1.9870631133255934,97.01397712833545,100.0,51.06382978723404,-5.700258794792314,14.071422222930144,23.928529799999982,38.19263963999999,36.0,0.7393513615961335,65.95674639550462,67.54282931779501,5.7471684457364605,1.539547416197047,99.49937421777221,100.0,26.032540675844807,57.05474171164225,38.18970861748296,2.277548850536797e-06,136.084,138.181
4,fourth_small_gyro_d,pitch,example_rapid_step_1,879,1.1,0.35464167349260517,4.147367193910557,11.221099500000001,12.56885562,-12.339999,3.5,-12.623837,0.953125,89.0,0.8688499501876406,26.987474202052173,27.78735964062137,0.0,0.0,4.722243874787285,95.5813953488372,100.0,2.631578947368421,9.652131753128556,19.029110869006274,37.54851219999987,75.56664734000002,19.0,0.8360569514237074,94.47308612792784,91.33973604360072,5.886939566227989,0.9705273976942845,98.03012746234067,100.0,71.9582850521437,58.240223463687144,37.42889647326507,2.9739100639272412e-06,149.933,151.03300000000002
4,fourth_small_gyro_d,pitch,example_rapid_step_2,733,1.1,0.5713114952251024,2.572621773048001,6.014316999999998,7.953043239999995,-6.059999,3.82,-5.739053,4.684846,64.0,0.8835075479370323,17.270221982087126,17.236565567957815,0.0,0.0,2.6383651339193435,98.77216916780355,100.0,8.333333333333332,-4.333396934515688,9.767492224632727,17.706681199999995,25.096432839999935,31.0,0.9418585031605399,46.39337331647814,46.88396458662093,1.9519362561906575,1.3227364350529323,100.0,100.0,23.74821173104435,60.03159557661928,34.106412005457024,1.6121130835595888e-06,7.979,9.079
4,fourth_small_gyro_d,pitch,example_rapid_step_3,817,1.1,1.4573771958384334,1.6870696312208069,2.628774199999998,3.95643724,-6.46,3.5,-7.214874,-0.079887,12.0,0.9286965460389819,10.71936615167583,11.30336447206139,0.0,0.0,1.838001306014115,99.0159901599016,100.0,13.333333333333334,7.523801783353734,27.16393511221359,56.22608899999999,104.75019,11.0,0.5903116299658324,151.52399161345713,146.15855678754122,6.696332895326789,1.7638972711142926,95.95588235294117,95.95588235294117,88.97058823529412,52.662721893491124,9.66952264381885,9.249764299893921e-06,152.023,153.123
5,fifth_strong_self_level,roll,example_quiet_center,7881,10.313,-3.097745400329909,3.0978033243973306,3.09839,3.09839,-1.8,-0.36,1.205913,2.568337,3.0,0.01312368681137098,23.561604615729053,23.543301274213743,0.0,0.0,0.18470099057396078,100.0,100.0,50.0,-23.595209880979574,23.635121525683218,23.693747000000002,27.443736799999996,0.0,0.4144489732070387,48.8904612573919,53.836066237618255,2.7856101382776357,2.1756784556612843,100.0,100.0,0.0,48.743718592964825,99.92386752950134,1.0238248024956596e-06,130.598,140.911
5,fifth_strong_self_level,roll,example_stable_hold,12090,15.901,0.010296479735318394,1.1580515251482844,2.1207282999999992,3.455515,-1.24,15.28,-2.405175,14.752974,64.0,0.9856412652455103,8.875556383444792,8.801191483466484,0.0,0.0,0.9287513305130475,98.67634500426985,100.0,43.43891402714932,-0.261198676757651,10.145356090637305,19.5697494,25.955805780000002,57.0,0.4347808375769491,42.74628360043619,42.61049360011153,1.393126286175972,0.6729628579419368,99.90595075239398,100.0,55.77120383036935,60.235266981893666,33.225806451612904,1.5333351314984853e-06,1.0,16.901
5,fifth_strong_self_level,roll,example_large_angle,1779,2.316,0.6487757020798202,0.9664459217141211,1.912381,2.1591631000000002,10.2,15.28,8.317439,14.752974,0.0,0.877996078984267,7.314450669676643,7.344988835217673,0.0,0.0,1.0894640547857284,97.32650739476678,100.0,56.09756097560976,3.8696872737492978,11.317713559580241,22.453647799999995,27.830391400000007,52.0,0.07682586381980232,47.04165600243805,47.53439489925664,2.3308853985614513,0.7932351832551999,99.42229924898902,100.0,33.96880415944541,59.561602418745274,33.277121978639684,1.6355727956741776e-06,13.939,16.255
5,fifth_strong_self_level,roll,example_rapid_step_1,880,1.1,0.5572915454545457,5.477101009553597,16.030732449999995,17.319855,-20.0,-1.04,-20.004765,1.738984,82.0,0.8949816831136373,41.86261335364952,41.62596716306791,0.0,0.0,8.312917701619975,98.3926521239954,100.0,45.45454545454545,-13.198738969318182,34.64134484402328,74.16595619999997,111.65966040000005,51.0,1.028320298963174,144.65351193756754,145.49364190755702,1.9068248819248157,0.5984239561114345,100.0,100.0,9.51834862385321,63.27503974562798,43.86363636363637,4.6059497092847e-06,38.266,39.366
