I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13
44055.000000,-0.420512,-4.519484,0.476866,0.000000,2.000000,1.424891,1.128141,-0.104469,-1.645214,-0.466140,10.696897,-2.663510,-1.638910
44058.000000,-0.148626,-4.918201,0.476981,0.000000,2.000000,1.357484,1.023834,-0.099836,-1.642024,-0.461141,10.696846,-2.663510,-1.638910
44059.000000,-0.057869,-5.057652,0.476981,0.000000,2.000000,1.323014,0.984743,-0.096529,-1.641026,-0.459521,10.696831,-2.663510,-1.638910
44060.000000,0.039824,-5.193376,0.476981,0.000000,2.000000,1.284254,0.945320,-0.094181,-1.640063,-0.457931,10.696815,-2.663510,-1.638910
44061.000000,0.142830,-5.322580,0.476981,0.000000,2.000000,1.241480,0.899980,-0.091761,-1.639138,-0.456376,10.696798,-2.663510,-1.638910
44062.000000,0.250206,-5.441043,0.476981,0.000000,2.000000,1.197262,0.847871,-0.086544,-1.638260,-0.454859,10.696783,-2.663510,-1.638910
44063.000000,0.364968,-5.547916,0.476981,0.000000,2.000000,1.153937,0.794042,-0.079121,-1.637429,-0.453379,10.696766,-2.663510,-1.638910
44064.000000,0.486520,-5.649395,0.476981,0.000000,2.000000,1.110272,0.740114,-0.071452,-1.636645,-0.451937,10.696752,-2.663510,-1.638910
44065.000000,0.611636,-5.747344,0.476981,0.000000,2.000000,1.065940,0.684518,-0.062482,-1.635910,-0.450534,10.696735,-2.663510,-1.638910
44069.000000,1.082038,-6.056706,0.477033,2.000000,5.000000,0.860427,0.451543,0.002709,-1.633481,-0.445362,10.696679,-1.755211,0.724174
44070.000000,1.191767,-6.111002,0.477033,2.000000,5.000000,0.798068,0.396379,0.019989,-1.633002,-0.444207,10.696668,-1.755211,0.724174
44071.000000,1.301637,-6.154628,0.477033,2.000000,5.000000,0.734563,0.342891,0.031293,-1.632569,-0.443112,10.696652,-1.755211,0.724174
44072.000000,1.414393,-6.187524,0.477033,2.000000,5.000000,0.674696,0.289458,0.035998,-1.632184,-0.442076,10.696642,-1.755211,0.724174
44073.000000,1.535972,-6.215493,0.477033,2.000000,5.000000,0.622538,0.236557,0.033889,-1.631844,-0.441090,10.696630,-1.755211,0.724174
44074.000000,1.665020,-6.239955,0.477033,2.000000,5.000000,0.577867,0.184545,0.025351,-1.631549,-0.440148,10.696618,-1.755211,0.724174
44075.000000,1.795123,-6.257083,0.477033,2.000000,5.000000,0.537588,0.131304,0.011670,-1.631300,-0.439245,10.696608,-1.755211,0.724174
44078.000000,2.187087,-6.252396,0.477078,2.000000,5.000000,0.410520,-0.073798,-0.044975,-1.630904,-0.436787,10.696577,-1.755211,0.724174
44079.000000,2.321540,-6.242029,0.477078,2.000000,5.000000,0.362790,-0.148270,-0.061986,-1.630906,-0.436061,10.696568,-1.755211,0.724174
44080.000000,2.461064,-6.228665,0.477078,2.000000,5.000000,0.317376,-0.218931,-0.077879,-1.630970,-0.435382,10.696559,-1.755211,0.724174
44081.000000,2.608677,-6.210914,0.477078,2.000000,5.000000,0.276366,-0.289192,-0.094408,-1.631096,-0.434745,10.696551,-1.755211,0.724174
44082.000000,2.761765,-6.188663,0.477078,2.000000,5.000000,0.238991,-0.359935,-0.112855,-1.631285,-0.434147,10.696544,-1.755211,0.724174
44083.000000,2.916558,-6.159977,0.477078,2.000000,5.000000,0.204418,-0.428859,-0.132524,-1.631534,-0.433586,10.696537,-1.755211,0.724174
44084.000000,3.076001,-6.122169,0.477078,2.000000,5.000000,0.172175,-0.495539,-0.149727,-1.631841,-0.433060,10.696531,-1.755211,0.724174
44085.000000,3.237367,-6.073392,0.477078,2.000000,5.000000,0.140542,-0.561661,-0.162231,-1.632205,-0.432568,10.696527,-1.755211,0.724174
44089.000000,3.965053,-5.824162,0.476835,6.000000,9.000000,-0.016507,-0.847083,-0.225292,-1.634275,-0.431008,10.696073,2.458714,5.336102
44090.000000,4.166580,-5.754506,0.476835,6.000000,9.000000,-0.051045,-0.913697,-0.247481,-1.634942,-0.430720,10.695819,2.458714,5.336102
44091.000000,4.367833,-5.683532,0.476835,6.000000,9.000000,-0.080717,-0.977466,-0.269043,-1.635662,-0.430466,10.695545,2.458714,5.336102
44092.000000,4.568851,-5.620114,0.476835,6.000000,9.000000,-0.110597,-1.038144,-0.291913,-1.636432,-0.430245,10.695249,2.458714,5.336102
44093.000000,4.764865,-5.562485,0.476835,6.000000,9.000000,-0.144042,-1.091690,-0.315683,-1.637245,-0.430060,10.694929,2.458714,5.336102
44094.000000,4.950904,-5.504747,0.476835,6.000000,9.000000,-0.180641,-1.136933,-0.335271,-1.638092,-0.429914,10.694590,2.458714,5.336102
44095.000000,5.129492,-5.448661,0.476835,6.000000,9.000000,-0.219253,-1.177483,-0.347561,-1.638971,-0.429811,10.694239,2.458714,5.336102
44098.000000,5.623939,-5.309056,0.476508,6.000000,9.000000,-0.354258,-1.310374,-0.371404,-1.641810,-0.429777,10.693136,2.458714,5.336102
44099.000000,5.770691,-5.264484,0.476508,6.000000,9.000000,-0.405189,-1.358803,-0.374038,-1.642835,-0.429869,10.692759,2.458714,5.336102
44100.000000,5.901671,-5.220045,0.476508,6.000000,9.000000,-0.456086,-1.405350,-0.374554,-1.643899,-0.430015,10.692381,2.458714,5.336102
44101.000000,6.014128,-5.181479,0.476508,6.000000,9.000000,-0.505699,-1.449943,-0.376996,-1.645002,-0.430212,10.692005,2.458714,5.336102
44102.000000,6.113787,-5.147782,0.476508,6.000000,9.000000,-0.554067,-1.491971,-0.382189,-1.646141,-0.430460,10.691622,2.458714,5.336102
44103.000000,6.205268,-5.113212,0.476508,6.000000,9.000000,-0.600690,-1.530382,-0.387961,-1.647314,-0.430756,10.691233,2.458714,5.336102
44104.000000,6.288471,-5.079494,0.476508,6.000000,9.000000,-0.643492,-1.565457,-0.394423,-1.648517,-0.431097,10.690838,2.458714,5.336102
44105.000000,6.361090,-5.048847,0.476508,6.000000,9.000000,-0.681008,-1.598001,-0.402694,-1.649749,-0.431477,10.690435,2.458714,5.336102
44109.000000,6.564091,-4.911865,0.476461,14.000000,13.000000,-0.799824,-1.702686,-0.416200,-1.654926,-0.433318,10.688783,11.745050,11.310350
44110.000000,6.590002,-4.867810,0.476461,14.000000,13.000000,-0.828796,-1.722519,-0.421071,-1.656269,-0.433855,10.688361,11.745050,11.310350
44111.000000,6.606029,-4.816783,0.476461,14.000000,13.000000,-0.857097,-1.746203,-0.426322,-1.657636,-0.434423,10.687937,11.745050,11.310350
44112.000000,6.612881,-4.760979,0.476461,14.000000,13.000000,-0.885982,-1.772759,-0.427441,-1.659029,-0.435024,10.687510,11.745050,11.310350
44113.000000,6.612284,-4.702126,0.476461,14.000000,13.000000,-0.916322,-1.796837,-0.423186,-1.660445,-0.435658,10.687090,11.745050,11.310350
44114.000000,6.605633,-4.641471,0.476461,14.000000,13.000000,-0.945506,-1.816420,-0.416821,-1.661882,-0.436324,10.686672,11.745050,11.310350
44115.000000,6.591284,-4.579526,0.476461,14.000000,13.000000,-0.971440,-1.833483,-0.412438,-1.663336,-0.437021,10.686265,11.745050,11.310350
44118.000000,6.507767,-4.389585,0.476401,14.000000,13.000000,-1.049649,-1.865356,-0.413002,-1.667780,-0.439281,10.685036,11.745050,11.310350
44119.000000,6.461699,-4.327868,0.476401,14.000000,13.000000,-1.081213,-1.869932,-0.413468,-1.669277,-0.440101,10.684624,11.745050,11.310350
44120.000000,6.401964,-4.267033,0.476401,14.000000,13.000000,-1.111464,-1.877056,-0.409225,-1.670784,-0.440954,10.684217,11.745050,11.310350
44121.000000,6.332977,-4.207392,0.476401,14.000000,13.000000,-1.137298,-1.886811,-0.395264,-1.672306,-0.441837,10.683829,11.745050,11.310350
44122.000000,6.255522,-4.146217,0.476401,14.000000,13.000000,-1.157778,-1.897826,-0.369752,-1.673842,-0.442745,10.683460,11.745050,11.310350
44123.000000,6.167680,-4.081385,0.476401,14.000000,13.000000,-1.172915,-1.909292,-0.334801,-1.675394,-0.443672,10.683130,11.745050,11.310350
44124.000000,6.070377,-4.012398,0.476401,14.000000,13.000000,-1.183417,-1.919183,-0.295540,-1.676961,-0.444614,10.682837,11.745050,11.310350
44125.000000,5.967808,-3.935196,0.476401,14.000000,13.000000,-1.191662,-1.926934,-0.257075,-1.678541,-0.445570,10.682585,11.745050,11.310350
44128.000000,5.661495,-3.699656,0.476425,11.000000,12.000000,-1.214777,-1.944473,-0.151408,-1.683351,-0.448531,10.682386,10.556403,12.876798
