I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11
-11.446219,-14.737488,-14.370066,0.000000,1.724408,0.289345,2.013753,-0.586247,-0.447159,15.214442,0.000000,-4.859937
-7.252995,-12.852249,-13.803600,0.000000,1.656432,0.294867,1.951299,-0.648701,-0.527478,15.490339,0.000000,-0.578499
22.481281,-4.150212,-10.200850,0.000000,1.224102,0.298947,1.523049,-1.076951,-0.507503,15.660364,0.000000,-1.263530
0.257808,-8.242811,-9.470088,0.000000,1.136411,0.302735,1.439146,-1.160854,-0.441887,15.784294,-3.000000,-1.417090
-0.507877,-6.168482,-8.237892,0.000000,0.988547,0.306030,1.294577,-1.305422,-0.496853,15.928407,-3.000000,-1.052935
-2.581882,-6.392809,-7.549287,0.000000,0.905914,0.309050,1.214965,-1.385035,-0.568470,16.054020,-3.000000,-3.361588
-29.428286,-13.084361,-9.615038,0.000000,1.153805,0.312896,1.466701,-1.133299,-0.619443,16.248791,-3.000000,-3.255955
-3.808288,-7.471537,-8.815060,0.000000,1.057807,0.316422,1.374229,-1.225771,-0.703192,16.454350,-2.000000,-2.283638
13.905366,-1.949224,-6.252654,0.000000,0.750318,0.318923,1.069242,-1.530758,-0.756713,16.548557,-2.000000,0.022229
6.883214,-2.144103,-4.719297,0.000000,0.566316,0.320811,0.887127,-1.712873,-0.801422,16.589491,-3.000000,-2.554230
14.258039,1.781546,-2.293111,0.000000,0.275173,0.321728,0.596902,-2.003098,-0.852885,16.593117,-4.000000,-2.970965
-4.492743,-3.165080,-2.618540,0.000000,0.314225,0.322776,0.637000,-1.962999,-0.928215,16.606953,-5.000000,-2.469331
-3.910157,-2.627383,-2.621840,0.000000,0.314621,0.323824,0.638445,-1.961555,-0.977882,16.664877,-5.000000,-1.220106
5.931458,0.738767,-1.367625,0.000000,0.164115,0.324371,0.488486,-2.111514,-0.991013,16.683764,-4.000000,-1.377816
2.804635,0.656929,-0.612039,0.000000,0.073445,0.324616,0.398061,-2.201939,-1.047478,16.669807,-5.000000,-5.241001
4.196573,1.296161,0.100122,0.000000,-0.012015,0.324576,0.312562,-2.287438,-1.155184,16.650276,-5.000000,-7.881801
13.444841,3.083153,1.213422,0.000000,-0.145611,0.324091,0.178480,-2.421520,-1.394095,16.606483,-4.000000,-10.957556
8.533004,2.486474,1.688539,0.000000,-0.202625,0.323415,0.120791,-2.479209,-1.577280,16.550787,-4.000000,-11.837105
-18.298750,-5.494606,-0.992290,0.000000,0.119075,0.323812,0.442887,-2.157113,-1.819800,16.580868,-3.000000,-5.037312
-16.222502,-7.796947,-3.531862,0.000000,0.423823,0.325225,0.749049,-1.850951,-1.981917,16.713783,0.000000,-3.770003
-0.077449,-4.333596,-3.831078,0.000000,0.459729,0.326758,0.786487,-1.813513,-2.025258,16.835089,0.000000,0.080404
-1.310226,-4.276405,-3.997279,0.000000,0.479673,0.328356,0.808030,-1.791970,-1.995739,16.921188,0.000000,2.548347
2.512523,-2.681536,-3.506229,0.000000,0.420748,0.329759,0.750506,-1.849494,-1.918963,16.990768,0.000000,2.668402
22.423777,2.837203,-1.138791,0.000000,0.136655,0.330214,0.466869,-2.133131,-1.848532,16.989212,0.000000,3.222542
4.125964,-0.179777,-0.780876,0.000000,0.093705,0.330527,0.424232,-2.175768,-1.792205,16.962637,-1.000000,1.083762
-4.562644,-1.513859,-1.054433,0.000000,0.126532,0.330949,0.457481,-2.142519,-1.718880,16.979574,-2.000000,3.327411
3.947715,0.348040,-0.531015,0.000000,0.063722,0.331161,0.394883,-2.205117,-1.704081,16.991232,-2.000000,1.666715
1.744214,0.073808,-0.305288,0.000000,0.036635,0.331283,0.367918,-2.232082,-1.711056,16.987013,-2.000000,-0.348116
-2.983919,-0.927734,-0.537592,0.000000,0.064511,0.331498,0.396009,-2.203991,-1.719145,16.995552,-2.000000,-3.309237
-5.351816,-1.990586,-1.079865,0.000000,0.129584,0.331930,0.461514,-2.138486,-1.776307,17.024734,-2.000000,-6.743655
9.868011,2.774439,0.358604,0.000000,-0.043032,0.331787,0.288754,-2.311246,-1.895121,17.016895,-1.000000,-8.349586
18.833212,6.411991,2.617794,0.000000,-0.314135,0.330740,0.016604,-2.583396,-1.975423,16.925032,-1.000000,-3.162246
-1.841566,1.769067,2.301040,0.000000,-0.276125,0.329819,0.053694,-2.546305,-1.925991,16.843222,-3.000000,2.288906
0.572170,2.309513,2.304202,0.000000,-0.276504,0.328897,0.052393,-2.547607,-1.837125,16.802435,-3.000000,-0.429104
-1.179067,2.644509,2.431208,0.000000,-0.291745,0.327925,0.036180,-2.563820,-1.720004,16.752895,-4.000000,4.138531
5.867591,3.541324,2.845516,0.000000,-0.341462,0.326787,-0.014675,-2.614675,-1.739864,16.691036,-4.000000,-5.273205
3.292609,3.354755,3.035569,0.000000,-0.364268,0.325573,-0.038696,-2.638696,-1.857971,16.622076,-3.000000,-8.804197
7.347263,2.612443,2.877654,0.000000,-0.345318,0.324421,-0.020897,-2.620897,-2.033645,16.562405,-3.000000,-4.069254
-15.809003,-5.567022,-0.273992,0.000000,0.032879,0.324531,0.357410,-2.242590,-2.255705,16.591951,-1.000000,-7.094404
-1.419321,-0.528358,-0.368924,0.000000,0.044271,0.324679,0.368950,-2.231050,-2.398346,16.652905,0.000000,-7.374568
-4.534760,-2.145289,-1.031883,0.000000,0.123826,0.325091,0.448917,-2.151083,-2.463575,16.679642,1.000000,-1.586505
0.910611,-1.002870,-1.021055,0.000000,0.122527,0.325500,0.448026,-2.151973,-2.381010,16.711123,1.000000,5.794485
7.625828,-0.054147,-0.660194,0.000000,0.079223,0.325764,0.404987,-2.195013,-2.239891,16.721693,0.000000,7.677232
11.269524,1.851130,0.277059,0.000000,-0.033247,0.325653,0.292406,-2.307594,-2.155593,16.703724,0.000000,5.928919
4.982173,0.891205,0.506266,0.000000,-0.060752,0.325451,0.264699,-2.335301,-2.023266,16.676300,-1.000000,3.169371
5.415901,0.504301,0.505532,0.000000,-0.060664,0.325248,0.264584,-2.335415,-1.981886,16.662346,-1.000000,2.041297
-9.247690,-3.089612,-0.836215,0.000000,0.100346,0.325583,0.425929,-2.174071,-1.979163,16.688198,-1.000000,1.920427
-0.199453,-3.020587,-1.651447,0.000000,0.198174,0.326243,0.524417,-2.075583,-1.964550,16.749300,-1.000000,-0.138405
-0.258194,-1.691607,-1.666435,0.000000,0.199972,0.326910,0.526882,-2.073118,-1.926744,16.796421,0.000000,-0.358151
-11.689321,-5.812111,-3.213647,0.000000,0.385638,0.328195,0.713833,-1.886167,-1.954023,16.871458,0.000000,0.492614
-2.284664,-3.281878,-3.239111,0.000000,0.388693,0.329491,0.718184,-1.881815,-2.094050,16.962399,0.000000,-0.116625
-1.624270,-4.077847,-3.552137,0.000000,0.426256,0.330912,0.757168,-1.842832,-2.082858,17.035995,0.000000,2.783647
9.274759,-0.169954,-2.289869,0.000000,0.274784,0.331828,0.606612,-1.993388,-2.071131,17.078474,1.000000,1.118906
1.766594,1.481201,-0.882464,0.000000,0.105896,0.332181,0.438077,-2.161923,-2.074038,17.065361,0.000000,-6.570636
-10.228354,-3.484878,-1.853714,0.000000,0.222446,0.332922,0.555368,-2.044632,-2.178931,17.085398,0.000000,-4.764276
-7.791282,-4.550482,-2.860177,0.000000,0.343221,0.334066,0.677288,-1.922712,-2.260325,17.165751,0.000000,-3.239776
3.176830,-1.946510,-2.519186,0.000000,0.302302,0.335074,0.637376,-1.962623,-2.311753,17.230721,1.000000,1.701584
-0.452759,-4.470659,-3.247498,0.000000,0.389700,0.336373,0.726073,-1.873927,-2.270121,17.294891,1.000000,1.127327
0.784552,-5.411067,-4.054965,0.000000,0.486596,0.337995,0.824591,-1.775409,-2.219378,17.393709,1.000000,7.800814
6.514615,-1.670957,-3.165227,0.000000,0.379827,0.339261,0.719088,-1.880911,-2.135692,17.464529,1.000000,6.657382
9.439036,-0.333268,-2.108309,0.000000,0.252997,0.340105,0.593102,-2.006898,-2.000826,17.484571,0.000000,2.856280
7.158187,0.327162,-1.199364,0.000000,0.143924,0.340584,0.484508,-2.115492,-1.907601,17.484632,0.000000,3.074462
-14.274081,-6.469957,-3.166408,0.000000,0.379969,0.341851,0.721820,-1.878180,-1.837272,17.546061,-1.000000,2.110276
-13.550931,-8.164863,-5.031886,0.000000,0.603826,0.343864,0.947690,-1.652310,-1.855916,17.692410,0.000000,1.447355
19.866802,3.833422,-1.723255,0.000000,0.206791,0.344553,0.551344,-2.048656,-1.812205,17.735723,0.000000,-5.368135
10.291296,0.513349,-0.888530,0.000000,0.106624,0.344908,0.451532,-2.148468,-1.857277,17.692255,-1.000000,-4.609943
5.731295,0.675651,-0.304761,0.000000,0.036571,0.345030,0.381601,-2.218398,-1.884603,17.680365,-1.000000,-0.411263
-8.014517,-3.180119,-1.377876,0.000000,0.165345,0.345581,0.510926,-2.089073,-1.884378,17.705410,-1.000000,4.654160
5.423769,-3.648953,-2.225467,0.000000,0.267056,0.346472,0.613528,-1.986472,-1.841802,17.773701,-1.000000,5.174181
-0.589924,-2.373600,-2.280752,0.000000,0.273690,0.347384,0.621074,-1.978926,-1.833895,17.833927,0.000000,3.645256
-8.529911,-2.938839,-2.526357,0.000000,0.303163,0.348394,0.651557,-1.948443,-1.883719,17.887051,0.000000,-3.091373
-3.092559,-1.305338,-2.070659,0.000000,0.248479,0.349223,0.597702,-2.002298,-1.931468,17.929493,0.000000,-6.294006
2.429326,-0.772168,-1.586048,0.000000,0.190326,0.349857,0.540183,-2.059817,-2.000154,17.950268,0.000000,-6.015705
3.449182,0.541732,-0.791937,0.000000,0.095032,0.350174,0.445206,-2.154794,-2.077224,17.952572,0.000000,-3.097622
