I0,I1,I2,I3,I4,I5,I6,I7,I8
-8.941845,-2.414213,-2.180390,0.000000,0.261647,0.928019,1.189665,-1.410335,-1.999491
-3.976283,-2.112631,-2.150965,0.000000,0.258116,0.929739,1.187855,-1.412145,-1.994204
-0.264653,-5.688323,-3.687093,0.000000,0.442451,0.932689,1.375140,-1.224860,-2.040529
-12.734656,-8.745967,-5.883952,0.000000,0.706074,0.937396,1.643470,-0.956530,-2.070615
-1.489303,-5.556377,-5.741700,0.000000,0.689004,0.941989,1.630993,-0.969006,-2.087162
-13.105435,-7.296557,-6.416910,0.000000,0.770029,0.947123,1.717152,-0.882848,-2.043768
-6.816942,-8.111265,-7.152699,0.000000,0.858324,0.952845,1.811169,-0.788831,-1.977536
-19.611023,-11.085783,-8.860674,0.000000,1.063281,0.959934,2.023215,-0.576785,-1.876547
-10.177073,-9.866070,-9.297276,0.000000,1.115673,0.967372,2.083045,-0.516955,-1.724277
1.273519,-7.641556,-8.578265,0.000000,1.029392,0.974234,2.003626,-0.596374,-1.591453
-6.010669,-9.081192,-8.796665,0.000000,1.055600,0.981272,2.036871,-0.563128,-1.453455
-7.883654,-10.281909,-9.441645,0.000000,1.132997,0.988825,2.121822,-0.478178,-1.333290
-28.711111,-16.471268,-12.494318,0.000000,1.499318,0.998820,2.498138,-0.101861,-1.231798
-4.258595,-12.195377,-12.364500,0.000000,1.483740,1.008712,2.492452,-0.107548,-1.259155
-17.018101,-14.988969,-13.504198,0.000000,1.620504,1.019515,2.640019,0.040019,-1.369686
-6.904048,-16.156986,-14.656194,0.000000,1.758743,1.031240,2.789983,0.189983,-1.428381
-7.799970,-14.032819,-14.385488,0.000000,1.726259,1.042749,2.769007,0.169007,-1.422842
1.111171,-12.856033,-13.721309,0.000000,1.646557,1.053726,2.700283,0.100283,-1.391489
-8.636563,-11.234253,-12.641283,0.000000,1.516954,1.063839,2.580792,-0.019207,-1.328297
-8.879251,-11.041688,-11.946645,0.000000,1.433597,1.073396,2.506993,-0.093007,-1.229444
-15.747171,-10.337900,-11.248034,0.000000,1.349764,1.082394,2.432158,-0.167841,-1.131137
-1.177880,-7.629931,-9.676842,0.000000,1.161221,1.090136,2.251357,-0.348643,-1.141444
-9.764873,-9.216724,-9.477032,0.000000,1.137244,1.097717,2.234961,-0.365039,-1.161236
-7.532664,-7.984737,-8.828990,0.000000,1.059479,1.104781,2.164259,-0.435740,-1.258331
-7.512761,-7.004932,-8.036878,0.000000,0.964425,1.111210,2.075635,-0.524364,-1.468063
-6.132330,-6.919952,-7.551843,0.000000,0.906221,1.117252,2.023473,-0.576527,-1.586898
-4.944337,-6.340131,-7.025647,0.000000,0.843078,1.122872,1.965950,-0.634050,-1.620073
1.764386,-3.650998,-5.560176,0.000000,0.667221,1.127320,1.794541,-0.805459,-1.600168
-3.806464,-4.659829,-5.169193,0.000000,0.620303,1.131456,1.751759,-0.848241,-1.576418
-12.617643,-9.820551,-7.189085,0.000000,0.862690,1.137207,1.999897,-0.600103,-1.667283
-3.412122,-7.863132,-7.481796,0.000000,0.897815,1.143192,2.041008,-0.558992,-1.713510
-4.821040,-5.834147,-6.766290,0.000000,0.811955,1.148605,1.960560,-0.639440,-1.791839
-2.748229,-6.650590,-6.716046,0.000000,0.805926,1.153978,1.959904,-0.640096,-1.827568
-3.872759,-4.906376,-5.930182,0.000000,0.711622,1.158722,1.870344,-0.729656,-1.726474
-1.384619,-4.540396,-5.326655,0.000000,0.639199,1.162984,1.802182,-0.797817,-1.673892
2.190180,-6.059083,-5.644718,0.000000,0.677366,1.167500,1.844866,-0.755134,-1.644452
-12.891679,-9.724293,-7.416308,0.000000,0.889957,1.173433,2.063390,-0.536610,-1.537617
-2.378065,-7.437049,-7.425315,0.000000,0.891038,1.179373,2.070411,-0.529589,-1.543202
-1.707279,-6.138160,-6.866357,0.000000,0.823963,1.184866,2.008829,-0.591171,-1.573414
-4.831579,-5.294844,-6.183914,0.000000,0.742070,1.189813,1.931883,-0.668117,-1.586536
-1.898250,-4.465656,-5.437746,0.000000,0.652530,1.194163,1.846693,-0.753307,-1.670194
-5.464880,-7.199486,-6.202796,0.000000,0.744336,1.199125,1.943461,-0.656539,-1.783651
-3.879997,-6.856408,-6.486633,0.000000,0.778396,1.204315,1.982711,-0.617289,-1.832337
-7.814183,-6.899038,-6.665723,0.000000,0.799887,1.209647,2.009534,-0.590466,-1.838969
-3.979525,-5.563632,-6.187131,0.000000,0.742456,1.214597,1.957053,-0.642947,-1.925193
1.068209,-4.617379,-5.505453,0.000000,0.660654,1.219001,1.879656,-0.720344,-2.047189
-4.055683,-7.055909,-6.178751,0.000000,0.741450,1.223944,1.965394,-0.634605,-2.099236
-6.577145,-8.621637,-7.239595,0.000000,0.868751,1.229736,2.098487,-0.501513,-2.139016
-1.366584,-6.208395,-6.791788,0.000000,0.815014,1.235169,2.050184,-0.549816,-2.135078
-0.879553,-2.477199,-4.918140,0.000000,0.590177,1.239104,1.829281,-0.770719,-2.172117
-1.962546,-0.745007,-3.105922,0.000000,0.372711,1.241589,1.614299,-0.985701,-2.259224
3.384410,-0.480186,-1.965674,0.000000,0.235881,1.243161,1.479042,-1.120958,-2.274713
0.799551,-1.099905,-1.589706,0.000000,0.190765,1.244433,1.435198,-1.164802,-2.254312
1.080596,-0.874886,-1.279289,0.000000,0.153515,1.245456,1.398971,-1.201029,-2.242497
