log,candidate,steady_rows,target_mm,h_std_mm,h_p1p99_mm,h_jump_p99_mm,h_jump_max_mm,h_jumps_gt30,h_rmse_to_offline_ref_mm,h_err_abs_p95_to_target_mm,v_std_mps,v_abs_p99_mps,v_dv_p99_mps,v_rmse_to_offline_ref_mps,v_best_corr_ref,v_best_lag_ms,vel_error_p99_if_pos_out_mps,approx_pterm_p99_kp500
flight_090m_pure_tof,logged_current,11470,901.800049,31.247081271470446,159.40971019000006,5.184374359999931,17.077210000000036,0,17.549723816012374,61.606168049999944,0.09910918035221161,0.33930815999999986,0.0323555999999999,0.09428830135447024,0.8577373532873557,190.0,0.38663791999999975,193.31895999999986
flight_090m_pure_tof,tof_health_lpf_fc2.2,11470,901.800049,34.094269968433075,161.83978471866328,3.759220667178924,9.6071661369391,0,7.989747000469442,66.55290993323148,0.09849716347538412,0.3422915051973634,0.045059401740903,0.05995771143690946,0.9111063781219272,110.0,0.35592549190424977,177.9627459521249
flight_090m_pure_tof,ab_tof_health_a0p10_b0p014,11470,901.800049,36.26893536888452,175.05841563187687,4.231470349653727,6.355866346889684,0,9.600261829272942,70.14638422006509,0.09564054890887783,0.32897179110221286,0.021296310161841105,0.06450280021375047,0.9210229793671766,130.0,0.34650141150675806,173.25070575337904
flight_090m_pure_tof,ab_acc_health_a0p10_b0p014,11470,901.800049,35.12895809731397,167.328700044735,4.160001525052312,7.7316598990418015,0,8.834477598920046,68.3293431442798,0.09381449780890082,0.32887962647262586,0.025526239467430083,0.06150029134740726,0.8461020097747626,80.0,0.3434089556941823,171.70447784709114
flight_090m_pure_tof,safe_acc_height_a0p07_b0p010,11470,901.800049,35.07780407818372,168.2123942115045,4.143555413205452,6.743012999335747,0,10.510420131287134,68.48715511729431,0.09174174699296768,0.3226552739900544,0.023314968170505324,0.06571313329996085,0.8583815222771247,110.0,0.34616535381385966,173.08267690692983
flight_120m_new_vz,logged_current,8181,1200.0,30.285076986068333,142.04101500000002,6.353857199999947,93.30334500000004,1,22.669803205293416,61.012451000000056,0.06624917318498869,0.22494759999999994,0.033826399999999986,0.06381415540203897,0.43367145620305236,160.0,0.22238019999999972,111.19009999999986
flight_120m_new_vz,tof_health_lpf_fc2.2,8181,1200.0,28.32806806363488,139.23745505388024,2.8785984674554097,11.172374251651945,0,7.480318080998224,56.96722083511577,0.04999772291877436,0.15068488528547247,0.06814637643476638,0.04449369108674971,0.6787778895241011,180.0,0.16745941125612113,83.72970562806056
flight_120m_new_vz,ab_tof_health_a0p10_b0p014,8181,1200.0,30.72397130548354,159.9132443849919,2.3335525791309464,4.5518556973438535,0,6.21987403477509,64.94005665301825,0.05541427281520362,0.17604042745583626,0.01589864745635455,0.042714848584551254,0.7562414446016102,130.0,0.19469075672698768,97.34537836349384
flight_120m_new_vz,ab_acc_health_a0p10_b0p014,8181,1200.0,30.765036988919825,155.55611302637476,2.591991135130183,5.127779484532766,0,7.682366482777973,63.55713452783834,0.06650168937686411,0.2320828383779915,0.024748359568264912,0.05731190502077698,0.5804775261993603,120.0,0.24349896628920287,121.74948314460143
flight_120m_new_vz,safe_acc_height_a0p07_b0p010,8181,1200.0,30.457302300829085,154.02194562388127,2.485569776365673,4.056775791218342,0,8.208097037423356,63.44430353119901,0.062313685053499906,0.22636787397076563,0.020573656682881077,0.055411647100560166,0.6185804397021992,160.0,0.2351916094090211,117.59580470451054
