tick,t_s,target_mm,logged_h_mm,logged_v_mps,ref_h_mm,ref_v_mps,tof_health,tof_valid_count,tof_spread_mm,steady_mask,rec_h_mm,rec_v_mps,pos_out_mps,tof1,tof2,tof3,tof4
17551.0,17.551000000000002,0.0,126.413177,-0.000623,121.18125786448954,0.006214345648346835,1.0,4,75.381494,False,120.22185725000003,0.0,0.0,119.784821,121.364792,120.614655,138.193161
17562.0,17.562,0.0,126.412796,-0.000573,121.24961566662134,0.0067823747228148434,1.0,4,74.380662,False,120.24289826930652,0.00030058599009282296,0.0,119.784821,121.364792,123.613579,142.192917
17571.0,17.571,0.0,126.379166,-0.000813,121.31483979867505,0.006528509536620319,1.0,4,77.380113,False,120.27667816265995,0.0007336090227806208,0.0,119.784821,122.365204,123.613579,139.193466
17582.0,17.582,0.0,126.391296,-0.000639,121.37699200736652,0.006156825647201103,1.0,4,76.38026500000001,False,120.3275875111448,0.0013399615216982145,0.0,122.784355,122.365204,122.613731,139.193466
17591.0,17.591,0.0,126.403015,-0.000483,121.43613403941156,0.005913064469049267,1.0,4,76.38026500000001,False,120.39338371296931,0.0020590356822921493,0.0,122.784904,122.365204,122.613731,139.193466
17602.0,17.602,0.0,126.549683,0.000822,121.49232764152599,0.005556474221274144,1.0,4,76.380502,False,120.48990712334249,0.003098541900404474,0.0,122.784904,126.365669,123.613037,140.192535
17611.0,17.611,0.0,126.664474,0.00174,121.54563456042561,0.005508615476265355,1.0,4,75.380135,False,120.61006000337309,0.004304265721755407,0.0,120.78479,126.365669,123.613037,141.192902
17621.0,17.621,0.0,126.680618,0.001729,121.59611654282625,0.00491003875090712,1.0,4,73.37993699999998,False,120.73815012382121,0.0054246340855649555,0.0,120.78479,124.366234,121.612839,141.192902
17631.0,17.631,0.0,126.584396,0.000751,121.64383533544373,0.00463680710837977,1.0,4,74.37934199999998,False,120.85691677450001,0.0062271349223011665,0.0,120.78479,120.366623,121.612839,140.193497
17641.0,17.641000000000002,0.0,126.470444,-0.000295,121.68885268499388,0.004369750137437123,1.0,4,75.37974599999998,False,120.9629003418608,0.0067147406431693375,0.0,118.784569,120.366096,122.613243,140.193497
