tick,target_mm,tof1,tof2,tof3,tof4,fused_mm,pos_out,vz_log,accx,accy,accz,pitch,roll,yaw,tof_bias_corr_height_mm,tof_corr_spread_mm,acc_up_mps2,v_ref_savgol_mps,logged_current_vz,robust_diff_lpf_fc1p5,robust_diff_lpf_fc2p5,ab_a0.18_b0.022,ab_a0.24_b0.032,ab_a0.3_b0.032,abacc_a0.14_b0.022_tau0.35_db0.22,abacc_a0.18_b0.032_tau0.35_db0.22,abacc_a0.14_b0.022_tau0.5_db0.22,abacc_a0.18_b0.032_tau0.5_db0.16
17551.0,0.0,119.784821,121.364792,120.614655,138.193161,126.413177,0.0,-0.000623,-0.011122,0.004697,-1.016243,-0.692336,-0.280168,-0.763279,120.22129843750002,75.38343900000007,0.1599858471254642,0.006214345648344312,-0.000623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17562.0,0.0,119.784821,121.364792,123.613579,142.192917,126.412796,0.0,-0.000573,-0.011011,0.004868,-1.016097,-0.692579,-0.280104,-0.763275,121.97096843750003,74.38260700000009,0.15854919241824436,0.0067823747228148434,-0.000573,0.015737014770638054,0.02543390313615634,0.0034993400000002616,0.005089949090909472,0.005089949090909472,0.0034993400000002616,0.005089949090909472,0.0034993400000002616,0.005089949090909472
17571.0,0.0,119.784821,122.365204,123.613579,139.193466,126.379166,0.0,-0.000813,-0.010989,0.004994,-1.01577,-0.692429,-0.280228,-0.763273,121.47120868750004,77.38205800000009,0.15534615653365036,0.006528509536621208,-0.000813,0.00982660714723875,0.01447202154691761,0.005707835886666865,0.007878144320000321,0.007504881386666977,0.005790078774118367,0.008122191315889333,0.005816490118084003,0.008160607816202984
17582.0,0.0,122.784355,122.365204,122.613731,139.193466,126.391296,0.0,-0.000639,-0.011175,0.005074,-1.015631,-0.69237,-0.279823,-0.763269,121.97113018750004,76.38221000000007,0.154009031514794,0.006156825647201103,-0.000639,0.013439206901161462,0.019635369529448728,0.008063806464760365,0.010814111280577096,0.010102139860773176,0.00815775131378437,0.0111863501086855,0.008236160188489905,0.011297263570773222
17591.0,0.0,122.784904,122.365204,122.613731,139.193466,126.403015,0.0,-0.000483,-0.011164,0.004817,-1.015801,-0.692492,-0.279698,-0.763266,121.97126743750003,76.38221000000007,0.15566238889182282,0.005913064469048379,-0.000483,0.012231682013716862,0.01678308877745491,0.0102479442908024,0.013195734807422956,0.01200145830196348,0.010448506822402236,0.013867718424306024,0.010584752024447863,0.014056301232302643
17602.0,0.0,122.784904,126.365669,123.613037,140.192535,126.549683,0.0,0.000822,-0.011069,0.004541,-1.015744,-0.692773,-0.279839,-0.763264,123.47097743750004,76.3824470000001,0.15507891748795813,0.005556474221274144,0.000822,0.024620336340805682,0.03614381641718814,0.014487267439695167,0.018617200832097378,0.01706799583443739,0.014652364294856899,0.0193471599360668,0.014876921870757677,0.019649703286947495
17611.0,0.0,120.78479,126.365669,123.613037,141.192902,126.664474,0.0,0.00174,-0.011031,0.004691,-1.015846,-0.692825,-0.279753,-0.763263,123.22104068750002,75.38208000000009,0.1560817818259915,0.005508615476265355,0.00174,0.02015791525968246,0.027256626063050564,0.01780633492302279,0.022168725957278368,0.01996786030107364,0.018105602934165847,0.0232698666928099,0.018426925292887947,0.023694091701425404
17621.0,0.0,120.78479,124.366234,121.612839,141.192902,126.680618,0.0,0.001729,-0.011109,0.004706,-1.015927,-0.692939,-0.279838,-0.763261,122.22113243750003,73.38188200000008,0.15688599365771236,0.004910038750905343,0.001729,0.009351406031427121,0.008759427478972539,0.01766426920741224,0.020688863512269236,0.01795609698541999,0.017958211841641977,0.02192751037398224,0.018409970897661165,0.022510450017160545
17631.0,0.0,120.78479,120.366623,121.612839,140.193497,126.584396,0.0,0.000751,-0.011134,0.004678,-1.016004,-0.692892,-0.280058,-0.763259,120.97137843750002,74.38128700000007,0.1576426639664714,0.00463680710837977,0.000751,-0.0027303175542159226,-0.010680802095923154,0.014409702598048985,0.014902911621670713,0.011974054760930067,0.014619670035614629,0.016045715235001007,0.015190164818061843,0.01675930291010642
17641.0,0.0,118.784569,120.366096,122.613243,140.193497,126.470444,0.0,-0.000295,-0.011105,0.004706,-1.016119,-0.692881,-0.279943,-0.763258,120.72129243750004,75.38169100000007,0.15876824302786435,0.004369750137437123,-0.000295,-0.0047340877503884585,-0.012763548122583419,0.010873755321214141,0.009228419812922585,0.0066031802514375,0.01089992289830783,0.009963404105741114,0.01154947933693814,0.010740437112462212
