label,file,updates,duration_s,steady_rows,steady_duration_s,steady_start_s,steady_end_s,target_mm,height_mean_mm,height_std_mm,height_p1p99_mm,height_p5p95_mm,height_err_mean_mm,height_err_abs_p50_mm,height_err_abs_p95_mm,height_err_abs_p99_mm,height_jump_p99_mm,height_jump_max_mm,height_jumps_gt10,height_jumps_gt30,vz_mean_mps,vz_std_mps,vz_abs_p95_mps,vz_abs_p99_mps,vz_abs_max_mps,vz_dv_p99_mps,vz_dv_max_mps,pos_out_std_mps,pos_out_abs_p95_mps,pos_out_abs_p99_mps,pos_out_dv_p99_mps,tof_valid_count_median,tof_corr_spread_median_mm,tof_corr_spread_p95_mm,tof_corr_spread_p99_mm,vz_vs_hderiv_corr0,vz_vs_hderiv_best_corr,vz_vs_hderiv_best_lag_ms
first_pure_tof,第一次对照组飞行数据纯TOF强低通.csv,44825,452.178,22060,220.56599999999997,178.062,398.628,901.800049,889.5561790308251,28.267157852043837,139.31855224999993,84.75844135,-12.25141071418852,19.82962049999992,56.914990449999955,82.83568046999994,4.180815839999996,315.69360300000005,27,1,-0.0010744634632819585,0.08620047064271065,0.18122039999999998,0.27797558,0.423446,0.02676207999999996,0.307737,0.028162229796620104,0.057079,0.08221568999999997,0.006573099999999991,4.0,17.949901999999952,84.80192855,204.33325174999987,0.6741738042327254,0.8383484608468695,-80
third_old_accfused,第三次修改算法过后的实际飞行数据.csv,45281,457.002,24276,242.735,112.93900000000001,355.67400000000004,711.0,703.5243147419261,23.516381776379053,115.90812675000006,72.88768000000005,-7.363795858296259,14.618316500000049,47.24656674999997,69.17399574999999,2.5593684799999576,164.62719700000002,9,1,-0.00040431290163124063,0.054768294459487415,0.1125675,0.18443025000000002,0.467519,0.02516051999999992,0.058135000000000006,0.02391925811600084,0.0479915,0.070392,0.003897779999999993,4.0,29.037026500000024,94.84353700000005,137.65546774999987,0.6334070804072656,0.6434856126626328,20
fourth_deployed,第四次飞行新算法感觉确实稳定很多.csv,38379,387.611,23477,234.73400000000004,103.76,338.494,766.800049,760.0615834784682,23.5070649455755,112.46605936000003,72.80850780000003,-6.778576811176842,16.412597000000005,44.74941439999998,66.23660628000003,1.3559420000000557,5.101440000000025,0,0,-0.0015229645610597608,0.05140837443629021,0.10336820000000004,0.17628172000000003,0.465264,0.026078500000000004,0.133909,0.023875376875018096,0.04543,0.06715720000000006,0.00219075,4.0,19.525857000000087,51.151015799999946,102.76044844000037,0.6948556594843377,0.7201169023960767,40
