tick,t_s,target_mm,fused_mm,height_err_mm,pos_out_mps,vz_mps,vel_error_mps,acc_up_mps2,tof_codebias_height_mm,tof_ownbias_height_mm,tof_codebias_spread_mm,steady_mask,fused_deriv_ref_mps,tof_deriv_ref_mps,tof1,tof2,tof3,tof4
17551.0,17.551000000000002,0.0,126.413177,126.413177,0.0,-0.000623,0.000623,0.1599858471254642,120.22185725,120.01918825000001,75.381494,False,0.0014144312269028568,0.006214345648345574,119.784821,121.364792,120.614655,138.193161
17562.0,17.562,0.0,126.412796,126.412796,0.0,-0.000573,0.000573,0.15854919241824436,121.97152725000001,121.76885825,74.380662,False,0.0015422130649636046,0.006782374722815732,119.784821,121.364792,123.613579,142.192917
17571.0,17.571,0.0,126.379166,126.379166,0.0,-0.000813,0.000813,0.15534615653365036,121.4717675,121.2690985,77.380113,False,0.0014823952226867831,0.006528509536622096,119.784821,122.365204,123.613579,139.193466
17582.0,17.582,0.0,126.391296,126.391296,0.0,-0.000639,0.000639,0.154009031514794,121.97168900000001,121.76902,76.38026500000001,False,0.0013946950289431825,0.006156825647201103,122.784355,122.365204,122.613731,139.193466
17591.0,17.591,0.0,126.403015,126.403015,0.0,-0.000483,0.000483,0.15566238889182282,121.97182625,121.76915724999999,76.38026500000001,False,0.001337096082903777,0.005913064469048379,122.784904,122.365204,122.613731,139.193466
17602.0,17.602,0.0,126.549683,126.549683,0.0,0.000822,-0.000822,0.15507891748795813,123.47153624999999,123.26886725,76.380502,False,0.0012527105366242353,0.005556474221273255,122.784904,126.365669,123.613037,140.192535
17611.0,17.611,0.0,126.664474,126.664474,0.0,0.00174,-0.00174,0.1560817818259915,123.2215995,123.01893050000001,75.380135,False,0.0012389539729742438,0.005508615476266243,120.78479,126.365669,123.613037,141.192902
17621.0,17.621,0.0,126.680618,126.680618,0.0,0.001729,-0.001729,0.15688599365771236,122.22169125,122.01902225,73.37993699999998,False,0.001100655708971665,0.00491003875090712,120.78479,124.366234,121.612839,141.192902
17631.0,17.631,0.0,126.584396,126.584396,0.0,0.000751,-0.000751,0.1576426639664714,120.97193725,120.76926825000001,74.37934199999998,False,0.0010356809657228183,0.00463680710837977,120.78479,120.366623,121.612839,140.193497
17641.0,17.641000000000002,0.0,126.470444,126.470444,0.0,-0.000295,0.000295,0.15876824302786435,120.72185125000001,120.51918225,75.37974599999998,False,0.0009720622146227598,0.004369750137437123,118.784569,120.366096,122.613243,140.193497
17651.0,17.651,0.0,126.361061,126.361061,0.0,-0.001211,0.001211,0.1601994205042657,120.72185125000001,120.51918225,75.37974599999998,False,0.0008732135052502699,0.003942712724382957,118.784569,120.366096,122.613243,140.193497
17662.0,17.662,0.0,126.183777,126.183777,0.0,-0.002634,0.002634,0.16044130145000202,119.97191025000001,119.76924125,73.37993,False,0.0008599583218869,0.003906605841615729,118.784698,119.366417,120.613228,140.193298
17671.0,17.671,0.0,126.177254,126.177254,0.0,-0.002463,0.002463,0.15930011139741385,121.72161650000001,121.5189475,73.37993,False,0.0008387729699679269,0.0038301185168734264,121.78392,123.36602,120.613228,140.193298
17681.0,17.681,0.0,126.126114,126.126114,0.0,-0.002692,0.002692,0.15794023092105855,121.22154425,121.01887525000001,72.380121,False,0.000731147131665999,0.0033632689694806928,121.78392,122.36554,119.613419,140.193298
