t_s,target_mm,h_log,dh_log,v_log,meas_valid,meas_mm,dmeas,health,valid_count,spread_mm,acc_up,acc_corr,res_v_m,w_v,dv_acc,dv_corr
147.035,766.800049,770.696777,5.101440000000025,0.464972,True,883.8337419999999,9.114471500000036,1.0,4,32.69707800000015,-0.4608185925269217,-0.2408185925269217,0.004793125456883263,1.0,-0.018434425537744437,0.010544876005143176
147.025,767.100037,765.595337,5.0888669999999365,0.451932,True,874.7192704999999,0.5339352499998995,1.0,4,24.389962999999966,-0.16313643722033655,0.0,0.0016044311975350611,1.0,-0.016458274791840033,0.003529748634577134
147.04500000000002,766.800049,775.783264,5.086487000000034,0.465264,True,879.8371904999999,3.9965515000000096,1.0,4,32.72954800000002,-1.2701162655442186,-1.0501162655442187,-0.005456260101100563,1.0,-0.02607717450309499,-0.012003772222421237
147.055,766.800049,780.867737,5.084473000000003,0.462573,True,887.79434375,7.957153250000147,1.0,4,21.326716000000147,-0.6864696645417826,-0.4664696645417826,-0.0019653997937614243,1.0,-0.01933238147131522,-0.004323879546275133
147.01500000000001,768.600037,760.50647,5.084168000000091,0.438453,True,874.18533525,6.749465999999984,1.0,4,27.02863500000001,-0.5159882405205446,-0.2959882405205446,0.008038347688059444,1.0,-0.019382617073017916,0.017684364913730776
147.005,768.600037,755.422302,5.065306999999962,0.421705,True,867.43586925,2.6478422499999397,1.0,4,20.221872000000076,0.29009990534620717,0.07009990534620716,0.008294823095142179,1.0,-0.015754606544913008,0.018248610809312792
147.065,766.800049,785.929871,5.062134000000015,0.452887,True,887.04634275,0.7480010000000448,1.0,4,25.313227000000097,-0.77080711556712,-0.55080711556712,-0.007427634696722807,1.0,-0.019485601248749207,-0.01634079633279017
147.07500000000002,766.800049,790.977417,5.0475459999998975,0.438332,True,892.7171495,5.670806749999997,1.0,4,23.117501999999945,-1.3380368580168807,-1.1180368580168807,-0.005319723500331719,1.0,-0.02398888043492675,-0.01170339170072978
146.995,768.600037,750.356995,5.045043999999962,0.402907,True,864.788027,4.70440700000006,1.0,4,14.30451400000004,-0.059922914664427174,0.0,0.013354664399481853,1.0,-0.01606064484894021,0.029380261678860074
146.985,768.600037,745.311951,5.013184000000024,0.383465,True,860.08362,5.490845000000036,1.0,4,17.228341999999998,-0.4722525961269629,-0.25225259612696294,0.01668789159805517,1.0,-0.018179116979184506,0.03
