ref,corr0,best_corr,best_lag_ms
raw_meas_deriv,0.012428285015621649,0.02814422159153689,-90
smooth_meas_deriv,0.10951209986420248,0.16872962567545133,-80
raw_h_deriv,0.7028495299096436,0.7170555425744174,40
smooth_h_deriv,0.6948556594843377,0.7201169023960767,40
acc_up,0.05883591272723017,0.32809981674284155,-40
acc_corr,0.061799117891791,0.33188093436949584,-40
