t_s,target_mm,h_log,v_log,dv_log,dh_log,meas_valid,meas_mm,dmeas,health,valid_count,spread_mm,acc_up,acc_corr,res_v_m,w_v,dv_acc,dv_corr,pos_out
146.655,766.800049,679.983765,0.0,0.133909,0.015381000000047607,False,627.5907374999999,2.9912969999999177,0.0,4,281.56486499999994,0.1303771015032783,0.0,,0.0,-0.0045650662644204365,0.0,0.0
105.571,766.800049,786.119385,-0.035126,0.048722999999999995,0.04241899999999532,True,777.934496,0.015685999999959677,1.0,4,84.59433599999988,-3.522292146097743,-3.302292146097743,-0.014552269778958848,1.0,-0.030799483211835836,-0.03,-0.020373
112.309,766.800049,757.008606,0.130715,0.04534099999999999,0.7087400000000343,True,772.02891725,1.363159249999967,1.0,4,18.130776999999966,4.4697686951308215,3.78,0.0057379918700355415,1.0,0.03220508328476107,0.012623582114078189,0.010244
212.299,766.800049,728.718994,-0.074152,0.044598,1.2760010000000648,True,711.6959855,1.9149777499999345,1.0,4,48.418003,1.3984679809461282,1.1784679809461283,0.013143808421514303,1.0,0.012607526343050061,0.028916378527331463,0.038818
112.299,766.800049,756.299866,0.085374,0.04455900000000001,0.6829229999999598,True,770.665758,0.18769850000001043,1.0,4,18.130776999999966,4.796391050152811,3.78,0.007176695976207292,1.0,0.03359625844148724,0.01578873114765604,0.011655
212.29,766.800049,729.994995,-0.11875,0.044455999999999996,1.4113159999999425,True,709.7810077500001,3.3740845000000945,1.0,4,47.493075999999974,2.1603438341257357,1.9403438341257357,0.012648612763434208,1.0,0.02139834083574957,0.027826948079555255,0.036075
149.346,766.800049,741.843567,0.0,0.043622,0.0028079999999590655,False,747.3142799999999,0.0,0.0,4,338.955044,0.8202149148250097,0.6002149148250098,,0.0,0.003472222545301773,0.0,0.0
112.319,766.800049,757.743408,0.173877,0.043162000000000006,0.7348020000000588,True,773.2828235,1.25390625,1.0,4,14.322244000000069,3.9347561005505627,3.7147561005505625,0.003946428879711972,1.0,0.03030819999245629,0.008682143535366336,0.010244
213.868,766.800049,756.142883,-0.043216,0.04267100000000001,0.9827880000000278,True,744.13871975,5.434036249999963,1.0,4,42.84982600000001,2.6762223150677413,2.456222315067741,0.00959415577463718,1.0,0.02432259238571042,0.021107142704201796,0.009674
213.87800000000001,766.800049,755.290283,-0.001093,0.042123,0.8525999999999385,True,746.11166575,1.9729460000000927,1.0,4,35.84067100000004,2.2640027250241235,2.0440027250241233,0.00982797876628927,1.0,0.0190367631063067,0.02162155328583639,0.011511
214.15800000000002,766.800049,760.108582,0.030009,0.041883,0.30432199999995646,True,762.476549,2.740310999999906,1.0,4,15.838608000000022,-2.911426029814613,-2.691426029814613,-0.011301275399158817,1.0,-0.026780600546062884,-0.024862805878149395,0.006666
213.848,766.800049,758.232727,-0.126416,0.04144500000000001,1.1582030000000714,True,740.1550770000001,0.4362945000000309,1.0,4,52.16763700000013,3.599734869265163,3.379734869265163,0.006785847615891405,1.0,0.03580209246056741,0.014928864754961088,0.007409
