name,rmse,mae,corr0,best_corr,lag_ms,p99abs,maxabs,spikes_gt_0p6
ab_a0.3_b0.032,0.04610051277004378,0.03292619143216191,0.8535324927617224,0.9191921159478029,80,0.28951306708969254,0.5096354984764999,0
robust_diff_lpf_fc1p5,0.04731156795601592,0.034523507382549744,0.8275786525862874,0.9043639724058852,80,0.26857515922756575,0.45945614792919337,0
ab_a0.24_b0.032,0.04734046595372417,0.033420083085275686,0.8630954780498821,0.9059740817334,60,0.3069046440413257,0.5524598309048228,0
ab_a0.18_b0.022,0.048193362343969044,0.033965761903785814,0.8588040226510593,0.9154548744838626,70,0.3055674090805128,0.5642990589190723,0
abacc_a0.14_b0.022_tau0.35_db0.22,0.04947294093818542,0.03551696073988614,0.8174331704575555,0.8231641496146068,20,0.28176665329502076,0.516831492613976,0
abacc_a0.18_b0.032_tau0.35_db0.22,0.050437732501036114,0.036074149107549754,0.818031776983554,0.8217041299752158,20,0.2894582463653729,0.5330072180345516,0
abacc_a0.14_b0.022_tau0.5_db0.22,0.05150114010511128,0.03685712461993798,0.8183467401770517,0.8240932521256181,20,0.29667532529802115,0.5440518505949037,0
abacc_a0.18_b0.032_tau0.5_db0.16,0.053017134043841736,0.03797697135827119,0.8147868514318991,0.8179958589780193,20,0.30225174896413143,0.5583684125185625,0
robust_diff_lpf_fc2p5,0.054989995305938115,0.03946181767688278,0.8191962935136949,0.8472762179328993,50,0.3164601149751907,0.5346125892896986,0
logged_current_vz,0.0828618137480747,0.06034689512045611,0.49146310266081,0.8120700274404189,180,0.29133683,0.431057,0
