log,rows,duration_s,used_rows,height_std_mm,vz_mean,vz_std,vz_p99abs,vz_maxabs,dv_p99,pterm_p99abs,velout_p99abs
05020313_old_kf_flight,19055,190.568,17124,119.33402716503694,0.005679191135248774,0.09124568437352469,0.27539908000000024,0.515034,0.028377340000000015,268.15480546000003,370.57330441000045
05021313_after_gain_reduction,80912,485.57,76150,156.0735680697994,0.00018655089954038078,0.09027996575507169,0.25145850999999997,0.432783,0.023697059999999968,304.28623175999917,383.84467863999976
