log,candidate,steady_rows,target_mm,h_std_mm,h_p1p99_mm,h_jump_p99_mm,h_jump_max_mm,h_err_abs_p95_to_target_mm,v_std_mps,v_abs_p99_mps,v_dv_p99_mps,v_abs_max_mps,hard_relock_count,tof_reject_count
flight_090m_pure_tof,old_kf_632_sigma2p5_rawtof,11470,901.800049,32.743784518965505,157.84194252494638,5.1663110823009495,23.185545495814154,63.17992477468142,0.10215014388960576,0.3416277860872451,0.038826499793421544,0.48871210987971425,0.0,2.0
flight_090m_pure_tof,old_kf_431_379_9ff_sigma3p2_rawtof,11470,901.800049,32.958631506030585,157.556366503576,5.221851607947644,19.181902639924147,62.98393260995405,0.10686562793986473,0.3516823224829618,0.040444571659552675,0.5252354789232632,0.0,2.0
flight_090m_pure_tof,old_kf_sigma3p2_with_biascorr_diag,11470,901.800049,35.62906360634804,166.52113657851214,4.299061514092922,8.804433745747474,68.79397945353823,0.10877023590770514,0.3750292822703875,0.03702013596080046,0.5357808227853416,0.0,2.0
flight_090m_pure_tof,logged_current,11470,901.800049,31.247081271470446,159.40971019000006,5.172409599999956,17.077210000000036,61.606168049999944,0.09910918035221161,0.33930815999999986,0.03226956000000002,0.431057,,
flight_090m_pure_tof,recommended_ab_tof_health_a0p10_b0p014,11470,901.800049,35.07780407818372,168.2123942115045,4.1436107884699895,6.743012999335747,68.48715511729431,0.09174174699296765,0.3226552739900544,0.023315031336895158,0.4196021487144319,,
flight_120m_new_vz,old_kf_632_sigma2p5_rawtof,8181,1200.0,29.31816381806279,134.45465405366826,6.547623711383268,38.4481433893377,57.08513570526884,0.08903420819359166,0.2862172081911343,0.044954697459269825,0.48978587389567074,0.0,335.0
flight_120m_new_vz,old_kf_431_379_9ff_sigma3p2_rawtof,8181,1200.0,29.03772942028303,133.93938696957684,6.773421996894327,42.23782127275558,56.53310919973228,0.08792152147875644,0.2764969439731024,0.04800785630038324,0.4860646426706994,0.0,332.0
flight_120m_new_vz,old_kf_sigma3p2_with_biascorr_diag,8181,1200.0,29.676744526439023,149.92321978495215,4.018792853930782,22.587283242740114,63.42779783764263,0.07756845426222393,0.25590064540519253,0.0431213740727466,0.42562197759236525,0.0,290.0
flight_120m_new_vz,logged_current,8181,1200.0,30.285076986068333,142.04101500000002,6.353904809999947,93.30334500000004,61.012451000000056,0.06624917318498869,0.22494759999999994,0.03382732000000001,0.352539,,
flight_120m_new_vz,recommended_ab_tof_health_a0p10_b0p014,8181,1200.0,30.457302300829088,154.02194562388127,2.4856017080947073,4.056775791218342,63.44430353119901,0.06231368505349988,0.2263678739707656,0.02057385529318596,0.3142592857575966,,
