tick,t_s,target_mm,logged_h_mm,logged_v_mps,ref_h_mm,ref_v_mps,tof_health,tof_valid_count,tof_spread_mm,steady_mask,rec_h_mm,rec_v_mps,pos_out_mps,tof1,tof2,tof3,tof4
9232.0,9.232,0.0,127.946808,-0.000516,122.88020551433478,0.0031795265287446256,1.0,4,74.360513,False,123.718527,0.0,0.0,126.906464,125.507309,121.465424,140.064911
9241.0,9.241,0.0,128.008209,-1.1e-05,122.90882125309348,0.002886556970717713,1.0,4,75.361245,False,123.72153039634888,4.290566212697331e-05,0.0,126.906464,125.507553,122.465164,140.063919
9252.0,9.252,0.0,127.982475,-0.000113,122.93663456682457,0.002492514209137653,1.0,4,77.360772,False,123.71518477674518,-5.481837000899926e-05,0.0,124.906395,125.507309,122.465164,138.064392
9263.0,9.263,0.0,127.911072,-0.000947,122.9636565656945,0.0027091106079142335,1.0,4,76.361131,False,123.69446310527468,-0.0003418063021353876,0.0,124.906395,124.507179,121.465523,138.064392
9272.0,9.272,0.0,127.851418,-0.002075,122.98989835986976,0.0028730274345702966,1.0,4,77.360917,False,123.66099800725713,-0.0007635377385363734,0.0,127.90448,124.507179,120.465797,136.06488
9281.0,9.281,0.0,127.889626,-0.002153,123.01537105951678,0.0025677215128263597,1.0,4,71.36094699999998,False,123.63143903822566,-0.0010599515386666759,0.0,127.90448,123.506729,120.465797,142.06485
9292.0,9.292,0.0,127.913429,-0.001888,123.04008577480205,0.002325359437408636,1.0,4,75.35912400000001,False,123.60273360443217,-0.0012953128257815556,0.0,127.90403,124.506165,121.466095,139.066971
9302.0,9.302,0.0,127.888496,-0.001887,123.06405361589204,0.002359995907558421,1.0,4,75.35894100000002,False,123.56911285570982,-0.0015620972915590336,0.0,126.903519,123.506729,121.466095,139.067154
9312.0,9.312,0.0,127.821236,-0.002434,123.08728569295322,0.002191265646876772,1.0,4,73.36024600000002,False,123.52542953394156,-0.0019286575780861604,0.0,126.903336,123.505661,119.4674,139.067154
9323.0,9.323,0.0,127.733971,-0.003407,123.10979311615203,0.0024387168089603506,1.0,4,73.36019999999999,False,123.47015859872883,-0.0024003335021572747,0.0,126.903336,122.504997,119.4674,139.0672
9331.0,9.331,0.0,127.694534,-0.004047,123.13158699565497,0.0024508614531946193,1.0,4,75.36102399999999,False,123.41107864671535,-0.0028486755951565054,0.0,126.903336,122.504776,121.468224,139.0672
9341.0,9.341000000000001,0.0,127.700218,-0.003991,123.1526784416285,0.001987912218116783,1.0,4,74.36168,False,123.35525097208506,-0.0031766544409048835,0.0,127.903778,122.504776,121.468224,140.066544
9352.0,9.352,0.0,127.70153,-0.003548,123.17307856423908,0.0019160698269109488,1.0,4,75.36064300000001,False,123.30300189774046,-0.0033994482716927957,0.0,124.903587,124.504692,122.467705,140.067062
9362.0,9.362,0.0,127.818748,-0.001821,123.19279847365317,0.0020481832169290115,1.0,4,74.36149,False,123.26962136868883,-0.003315967396896772,0.0,128.903107,124.504692,122.467957,141.066467
9371.0,9.371,0.0,127.840027,-0.000435,123.21184928003726,0.0019853207798661288,1.0,4,75.360895,False,123.24164269047444,-0.003169077733512806,0.0,126.902954,123.504456,122.467957,140.067062
9381.0,9.381,0.0,127.879692,0.000889,123.23024209355779,0.001806937217199156,1.0,4,74.36137500000001,False,123.22189016463676,-0.002928884058093673,0.0,126.902954,123.504059,122.468315,141.06694
9391.0,9.391,0.0,127.830185,0.001197,123.24798802438124,0.0017428044558158717,1.0,4,74.361894,False,123.19779433583858,-0.002790329717060251,0.0,125.903496,122.505135,121.468834,140.06694
9401.0,9.401,0.0,127.8237,0.001388,123.2650981826741,0.0016099042191797253,1.0,4,74.360917,False,123.17608898184758,-0.0026404642396355726,0.0,125.903496,122.505135,122.467461,141.066544
9412.0,9.412,0.0,127.84343,0.001708,123.2815836786028,0.001545045361179831,1.0,4,75.360521,False,123.1598212832486,-0.0024376209375214903,0.0,125.90387,124.505173,122.467461,140.06694
9422.0,9.422,0.0,127.885582,0.002268,123.29745562233383,0.0016447822293548242,1.0,4,75.361314,False,123.151674827224,-0.002152195412048951,0.0,126.904266,124.505173,122.467461,140.066147
9431.0,9.431000000000001,0.0,127.924835,0.00288,123.31272512403365,0.0015882350448084281,1.0,4,75.36097099999998,False,123.1509734280107,-0.0018074598403659656,0.0,126.904686,124.505905,122.466675,140.065704
9441.0,9.441,0.0,127.873596,0.00257,123.32740329386873,0.0013791573003141266,1.0,4,73.36097799999999,False,123.14499676969878,-0.001594909349378983,0.0,126.904686,122.505898,120.466682,140.065704
9452.0,9.452,0.0,127.86599,0.002228,123.34150124200553,0.0012557629428098238,1.0,4,75.36097099999998,False,123.14036481409283,-0.0013981844248343715,0.0,124.905235,124.505913,122.466675,140.065704
9463.0,9.463000000000001,0.0,127.767159,0.001005,123.35503007861053,0.001346114560103473,1.0,4,74.36118400000001,False,123.1249915274556,-0.0013873340958523983,0.0,121.904915,124.505524,121.467224,140.06604
9472.0,9.472,0.0,127.741562,7.6e-05,123.3680009138502,0.0014108210711354374,1.0,4,74.36184,False,123.10913376547434,-0.00138519334927475,0.0,124.905235,124.505524,121.467224,140.065384
9481.0,9.481,0.0,127.691414,-0.000846,123.38042485789097,0.0012455749659672222,1.0,4,73.362908,False,123.09002336635336,-0.0014298717159502653,0.0,124.906067,122.50573,121.467224,141.064316
9492.0,9.492,0.0,127.64212,-0.001683,123.39231302089937,0.0011807695721790523,1.0,4,73.36293900000001,False,123.06820560067612,-0.0015058622217430672,0.0,124.906067,122.50573,121.467255,141.064316
9501.0,9.501,0.0,127.711823,-0.001305,123.4036765130418,0.001138296462684707,1.0,4,74.36194700000001,False,123.0592324907716,-0.0013858318054906216,0.0,126.905991,124.506142,122.466263,141.064316
9512.0,9.512,0.0,127.797348,-0.000113,123.41452644448478,0.0010762068873670927,1.0,4,73.36245,False,123.06496847257853,-0.0010754566337318867,0.0,126.906013,124.506142,122.466476,142.064026
9521.0,9.521,0.0,127.902237,0.001613,123.42487392539475,0.0010355518051143875,1.0,4,73.362237,False,123.08693331110354,-0.0005844011166932347,0.0,126.906143,125.506241,122.466263,142.064026
9532.0,9.532,0.0,127.891319,0.002367,123.4347300659382,0.0009761780482664406,1.0,4,71.36248899999998,False,123.10827975692094,-0.0001831225590554692,0.0,126.906143,122.506561,120.466515,142.064026
9541.0,9.541,0.0,128.067917,0.004283,123.44410597628156,0.0009373409932518229,1.0,4,71.363054,False,123.15288862191194,0.000484331814226749,0.0,127.906197,129.505203,120.466515,142.063461
9552.0,9.552,0.0,128.037125,0.004632,123.45301276659134,0.0007888895796561712,1.0,4,77.36289299999999,False,123.1909431950167,0.0009481340916497283,0.0,124.907082,125.505844,122.466675,138.063782
9563.0,9.563,0.0,128.131393,0.005418,123.46146154703398,0.0008346357503175028,1.0,4,73.36324400000001,False,123.2407012251276,0.0015026781020214587,0.0,125.906975,126.505714,122.466705,142.063461
9572.0,9.572000000000001,0.0,128.119003,0.005219,123.46946342777595,0.0008648873305414639,1.0,4,77.362619,False,123.28543010298104,0.0018939692228048953,0.0,125.906975,125.505844,122.466675,138.064056
9581.0,9.581,0.0,128.127563,0.004702,123.47702951898373,0.000754520906659728,1.0,4,76.36251100000001,False,123.32812215667481,0.0021916646691954307,0.0,127.906471,123.506348,122.466705,139.064194
9592.0,9.592,0.0,128.160049,0.004234,123.48417093082378,0.000703294605219007,1.0,4,77.36142000000001,False,123.37148985868396,0.002449941822677914,0.0,127.906471,123.506348,123.465614,139.064194
9601.0,9.601,0.0,128.117477,0.003135,123.49089877346256,0.0006699116319266452,1.0,4,77.36142000000001,False,123.40594541700509,0.002538329711612007,0.0,124.905579,123.506981,123.465614,139.064194
9612.0,9.612,0.0,128.191666,0.002858,123.49722415706654,0.0006214011489591442,1.0,4,76.36123699999999,False,123.44698481234184,0.002706203061872915,0.0,124.905579,127.506058,123.465614,140.064377
9621.0,9.621,0.0,128.181641,0.002121,123.5031581918022,0.000589836202905758,1.0,4,78.36040599999998,False,123.48146103964615,0.0027526455876077742,0.0,126.904999,127.506058,121.466248,136.065842
9632.0,9.632,0.0,128.251862,0.002059,123.50871198783601,0.0005440415384070363,1.0,4,77.36078700000002,False,123.52163001631025,0.0028727577843531407,0.0,126.904999,124.506226,124.466003,140.065216
9641.0,9.641,0.0,128.141022,0.000584,123.5138966553344,0.0005318276779702202,1.0,4,80.35948199999999,False,123.54241221971762,0.002696117471117484,0.0,122.904732,123.506569,124.465919,137.066437
9651.0,9.651,0.0,128.095963,-0.000842,123.51872330446389,0.0004653195028243573,1.0,4,77.35934499999999,False,123.554464027633,0.0024238735994326554,0.0,122.904732,123.506569,124.465919,140.066574
9661.0,9.661,0.0,128.21727,-0.000598,123.5232030453909,0.0004311841909014902,1.0,4,75.35976500000001,False,123.57951563009811,0.002382216198410645,0.0,129.903229,125.506149,122.466339,140.066574
9671.0,9.671,0.0,128.347855,0.000695,123.52734698828193,0.0003981598956279697,1.0,4,70.36059700000001,False,123.61899556411204,0.0025535443868178282,0.0,129.903229,125.506149,120.466896,143.066299
9681.0,9.681000000000001,0.0,128.399704,0.001753,123.53116624330345,0.00036624661699757866,1.0,4,70.36059700000001,False,123.66200559880858,0.0027470618280460994,0.0,126.903435,125.504883,120.466896,143.066299
9691.0,9.691,0.0,128.387558,0.001939,123.53467192062189,0.0003354443550147579,1.0,4,72.361016,False,123.69868346251347,0.0028182213774503237,0.0,126.902802,124.505653,120.467911,141.066895
9701.0,9.701,0.0,128.313126,0.000997,123.53787513040375,0.0003057531096795074,1.0,4,74.360162,False,123.72019545274009,0.002660996059044518,0.0,126.902802,123.504951,120.467911,139.067749
