tick,t_s,target_mm,fused_mm,height_err_mm,pos_out_mps,vz_mps,vel_error_mps,acc_up_mps2,tof_codebias_height_mm,tof_ownbias_height_mm,tof_codebias_spread_mm,steady_mask,fused_deriv_ref_mps,tof_deriv_ref_mps,tof1,tof2,tof3,tof4
9232.0,9.232,0.0,127.946808,127.946808,0.0,-0.000516,0.000516,0.15717508867412852,123.718527,111.17230624999998,74.360513,False,0.0009205963299791221,0.0031795265287446256,126.906464,125.507309,121.465424,140.064911
9241.0,9.241,0.0,128.008209,128.008209,0.0,-1.1e-05,1.1e-05,0.15636034757705572,123.968275,111.42205424999999,75.361245,False,0.0008436432253295933,0.002886556970717713,126.906464,125.507553,122.465164,140.063919
9252.0,9.252,0.0,127.982475,127.982475,0.0,-0.000113,0.000113,0.15346208639379155,122.968315,110.42209424999999,77.360772,False,0.0007477039651062611,0.002492514209137653,124.906395,125.507309,122.465164,138.064392
9263.0,9.263,0.0,127.911072,127.911072,0.0,-0.000947,0.000947,0.1530923748133502,122.46837225,109.92215149999998,76.361131,False,0.0008343415947891231,0.0027091106079142335,124.906395,124.507179,121.465523,138.064392
9272.0,9.272,0.0,127.851418,127.851418,0.0,-0.002075,0.002075,0.15403775367502023,122.468084,109.92186324999997,77.360917,False,0.0009042876779901121,0.0028730274345702966,127.90448,124.507179,120.465797,136.06488
9281.0,9.281,0.0,127.889626,127.889626,0.0,-0.002153,0.002153,0.15449046913632594,123.717964,111.17174324999999,71.36094699999998,False,0.0008261287491970748,0.0025677215128263597,127.90448,123.506729,120.465797,142.06485
9292.0,9.292,0.0,127.913429,127.913429,0.0,-0.001888,0.001888,0.15629952007376458,123.46831525000002,110.92209449999999,75.35912400000001,False,0.0007695557001792253,0.002325359437408636,127.90403,124.506165,121.466095,139.066971
9302.0,9.302,0.0,127.888496,127.888496,0.0,-0.001887,0.001887,0.15499058627922274,122.96837425000001,110.42215349999998,75.35894100000002,False,0.0007997379734225873,0.002359995907558421,126.903519,123.506729,121.466095,139.067154
9312.0,9.312,0.0,127.821236,127.821236,0.0,-0.002434,0.002434,0.15477709176220988,122.46838775,109.92216699999997,73.36024600000002,False,0.0007605405941779608,0.002191265646876772,126.903336,123.505661,119.4674,139.067154
9323.0,9.323,0.0,127.733971,127.733971,0.0,-0.003407,0.003407,0.15817264876149636,122.21823325,109.67201249999998,73.36019999999999,False,0.0008726802637113451,0.0024387168089603506,126.903336,122.504997,119.4674,139.0672
9331.0,9.331,0.0,127.694534,127.694534,0.0,-0.004047,0.004047,0.15984279953454322,122.71838400000001,110.17216325,75.36102399999999,False,0.0008937717801522638,0.0024508614531946193,126.903336,122.504776,121.468224,139.0672
9341.0,9.341000000000001,0.0,127.700218,127.700218,0.0,-0.003991,0.003991,0.15995631885274694,123.21833050000001,110.67210975,74.36168,False,0.0007452192771246757,0.001987912218116783,127.903778,122.504776,121.468224,140.066544
9352.0,9.352,0.0,127.70153,127.70153,0.0,-0.003548,0.003548,0.15495108504849486,123.21826150000001,110.67204074999998,75.36064300000001,False,0.0007392843197111532,0.0019160698269109488,124.903587,124.504692,122.467705,140.067062
9362.0,9.362,0.0,127.818748,127.818748,0.0,-0.001821,0.001821,0.1541298867956114,124.46805575,111.92183499999999,74.36149,False,0.0008117206952720224,0.0020481832169290115,128.903107,124.504692,122.467957,141.066467
9371.0,9.371,0.0,127.840027,127.840027,0.0,-0.000435,0.000435,0.1544447147602535,123.46810725,110.92188649999997,75.360895,False,0.0008060510844609681,0.0019853207798661288,126.902954,123.504456,122.467957,140.067062
9381.0,9.381,0.0,127.879692,127.879692,0.0,0.000889,-0.000889,0.15173727485636426,123.71806699999999,111.17184624999999,74.36137500000001,False,0.0007550552855732917,0.001806937217199156,126.902954,123.504059,122.468315,141.06694
9391.0,9.391,0.0,127.830185,127.830185,0.0,0.001197,-0.001197,0.1507392969828123,122.71860124999999,110.17238049999999,74.361894,False,0.0007487512938144647,0.0017428044558158717,125.903496,122.505135,121.468834,140.06694
9401.0,9.401,0.0,127.8237,127.8237,0.0,0.001388,-0.001388,0.14863026566465198,123.21815899999999,110.67193824999998,74.360917,False,0.0007104513722087091,0.0016099042191797253,125.903496,122.505135,122.467461,141.066544
9412.0,9.412,0.0,127.84343,127.84343,0.0,0.001708,-0.001708,0.1501514052729636,123.46836099999999,110.92214024999998,75.360521,False,0.0007035125781555962,0.001545045361179831,125.90387,124.505173,122.467461,140.06694
