ha,relock,beta,dvlim,db,score,rows,h_std,h_p1p99,h_err_p95,h_jump_p99,h_jump_max,v_std,v_p95,v_p99,v_max,dv_p99,dv_max,invalid
0.05,10.0,0.018,0.025,0.26,31.181149408880415,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.06198802120037383,0.12980048689331725,0.19925160278768927,0.33770139321847364,0.026834098179959246,0.07400600640446774,29
0.05,12.0,0.018,0.025,0.26,31.181149408880415,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.06198802120037383,0.12980048689331725,0.19925160278768927,0.33770139321847364,0.026834098179959246,0.07400600640446774,29
0.05,16.0,0.018,0.025,0.26,31.181149408880415,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.06198802120037383,0.12980048689331725,0.19925160278768927,0.33770139321847364,0.026834098179959246,0.07400600640446774,29
0.05,20.0,0.018,0.025,0.26,31.181149408880415,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.06198802120037383,0.12980048689331725,0.19925160278768927,0.33770139321847364,0.026834098179959246,0.07400600640446774,29
0.05,16.0,0.018,0.025,0.22,31.196993068861286,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.062395061687611636,0.13033513419087392,0.1994863202972351,0.3400437108205661,0.027119118815451374,0.07571442694730199,29
0.05,10.0,0.018,0.025,0.22,31.196993068861286,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.062395061687611636,0.13033513419087392,0.1994863202972351,0.3400437108205661,0.027119118815451374,0.07571442694730199,29
0.05,20.0,0.018,0.025,0.22,31.196993068861286,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.062395061687611636,0.13033513419087392,0.1994863202972351,0.3400437108205661,0.027119118815451374,0.07571442694730199,29
0.05,12.0,0.018,0.025,0.22,31.196993068861286,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.062395061687611636,0.13033513419087392,0.1994863202972351,0.3400437108205661,0.027119118815451374,0.07571442694730199,29
0.05,16.0,0.018,0.03,0.26,31.22558882572815,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.062209230879514736,0.13006302373777037,0.20068570049593046,0.34768410203337635,0.02707944029829366,0.0721396340925611,29
0.05,20.0,0.018,0.03,0.26,31.22558882572815,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.062209230879514736,0.13006302373777037,0.20068570049593046,0.34768410203337635,0.02707944029829366,0.0721396340925611,29
0.05,10.0,0.018,0.03,0.26,31.22558882572815,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.062209230879514736,0.13006302373777037,0.20068570049593046,0.34768410203337635,0.02707944029829366,0.0721396340925611,29
0.05,12.0,0.018,0.03,0.26,31.22558882572815,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.062209230879514736,0.13006302373777037,0.20068570049593046,0.34768410203337635,0.02707944029829366,0.0721396340925611,29
0.05,20.0,0.018,0.03,0.22,31.244757360847043,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.06261252784058376,0.13050271666927155,0.2010219670769775,0.3497873743962402,0.027386922315228504,0.07379075743411376,29
0.05,16.0,0.018,0.03,0.22,31.244757360847043,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.06261252784058376,0.13050271666927155,0.2010219670769775,0.3497873743962402,0.027386922315228504,0.07379075743411376,29
0.05,12.0,0.018,0.03,0.22,31.244757360847043,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.06261252784058376,0.13050271666927155,0.2010219670769775,0.3497873743962402,0.027386922315228504,0.07379075743411376,29
0.05,10.0,0.018,0.03,0.22,31.244757360847043,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.06261252784058376,0.13050271666927155,0.2010219670769775,0.3497873743962402,0.027386922315228504,0.07379075743411376,29
0.05,10.0,0.02,0.025,0.26,31.34412528492717,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.06354200683482861,0.13308628731568517,0.20480863492575452,0.348525840369501,0.027521243111248487,0.07337333216623095,29
0.05,12.0,0.02,0.025,0.26,31.34412528492717,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.06354200683482861,0.13308628731568517,0.20480863492575452,0.348525840369501,0.027521243111248487,0.07337333216623095,29
0.05,16.0,0.02,0.025,0.26,31.34412528492717,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.06354200683482861,0.13308628731568517,0.20480863492575452,0.348525840369501,0.027521243111248487,0.07337333216623095,29
0.05,20.0,0.02,0.025,0.26,31.34412528492717,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.06354200683482861,0.13308628731568517,0.20480863492575452,0.348525840369501,0.027521243111248487,0.07337333216623095,29
0.05,16.0,0.02,0.025,0.22,31.356577560968802,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.06392065457887527,0.1336033843711072,0.20486080881558616,0.35107814329174103,0.027839755362558158,0.07505157152207853,29
0.05,12.0,0.02,0.025,0.22,31.356577560968802,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.06392065457887527,0.1336033843711072,0.20486080881558616,0.35107814329174103,0.027839755362558158,0.07505157152207853,29
0.05,20.0,0.02,0.025,0.22,31.356577560968802,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.06392065457887527,0.1336033843711072,0.20486080881558616,0.35107814329174103,0.027839755362558158,0.07505157152207853,29
0.05,10.0,0.02,0.025,0.22,31.356577560968802,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.06392065457887527,0.1336033843711072,0.20486080881558616,0.35107814329174103,0.027839755362558158,0.07505157152207853,29
0.05,10.0,0.02,0.03,0.26,31.378382214132085,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.06386509515326434,0.13364511613826732,0.20574334012128667,0.3622713307670315,0.0278323659488659,0.07080246563131817,29
0.05,20.0,0.02,0.03,0.26,31.378382214132085,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.06386509515326434,0.13364511613826732,0.20574334012128667,0.3622713307670315,0.0278323659488659,0.07080246563131817,29
0.05,16.0,0.02,0.03,0.26,31.378382214132085,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.06386509515326434,0.13364511613826732,0.20574334012128667,0.3622713307670315,0.0278323659488659,0.07080246563131817,29
0.05,12.0,0.02,0.03,0.26,31.378382214132085,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.06386509515326434,0.13364511613826732,0.20574334012128667,0.3622713307670315,0.0278323659488659,0.07080246563131817,29
0.05,20.0,0.02,0.03,0.22,31.402031350239692,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.06424063738040675,0.13419554670115982,0.20612397399702598,0.36442968873744636,0.028236174212126645,0.0724807052619718,29
0.05,10.0,0.02,0.03,0.22,31.402031350239692,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.06424063738040675,0.13419554670115982,0.20612397399702598,0.36442968873744636,0.028236174212126645,0.0724807052619718,29
0.05,12.0,0.02,0.03,0.22,31.402031350239692,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.06424063738040675,0.13419554670115982,0.20612397399702598,0.36442968873744636,0.028236174212126645,0.0724807052619718,29
0.05,16.0,0.02,0.03,0.22,31.402031350239692,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.06424063738040675,0.13419554670115982,0.20612397399702598,0.36442968873744636,0.028236174212126645,0.0724807052619718,29
0.05,20.0,0.022,0.025,0.26,31.484953064628062,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.0648869094267733,0.1365205218187894,0.20972417278885624,0.35744305133557464,0.028033795486201284,0.07320508836565275,29
0.05,16.0,0.022,0.025,0.26,31.484953064628062,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.0648869094267733,0.1365205218187894,0.20972417278885624,0.35744305133557464,0.028033795486201284,0.07320508836565275,29
0.05,10.0,0.022,0.025,0.26,31.484953064628062,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.0648869094267733,0.1365205218187894,0.20972417278885624,0.35744305133557464,0.028033795486201284,0.07320508836565275,29
0.05,12.0,0.022,0.025,0.26,31.484953064628062,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.0648869094267733,0.1365205218187894,0.20972417278885624,0.35744305133557464,0.028033795486201284,0.07320508836565275,29
0.05,12.0,0.022,0.025,0.22,31.52130848193633,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.06524591480844256,0.1367685755689055,0.21066428986368732,0.3602283850482571,0.02840100949870104,0.07485668537108275,29
0.05,10.0,0.022,0.025,0.22,31.52130848193633,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.06524591480844256,0.1367685755689055,0.21066428986368732,0.3602283850482571,0.02840100949870104,0.07485668537108275,29
0.05,16.0,0.022,0.025,0.22,31.52130848193633,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.06524591480844256,0.1367685755689055,0.21066428986368732,0.3602283850482571,0.02840100949870104,0.07485668537108275,29
0.05,20.0,0.022,0.025,0.22,31.52130848193633,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.06524591480844256,0.1367685755689055,0.21066428986368732,0.3602283850482571,0.02840100949870104,0.07485668537108275,29
0.05,20.0,0.022,0.03,0.26,31.54574240074178,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.06531812364165768,0.13727737810385232,0.21163818744345134,0.3721913832591139,0.028403480336168144,0.07067144293022296,29
0.05,16.0,0.022,0.03,0.26,31.54574240074178,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.06531812364165768,0.13727737810385232,0.21163818744345134,0.3721913832591139,0.028403480336168144,0.07067144293022296,29
0.05,10.0,0.022,0.03,0.26,31.54574240074178,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.06531812364165768,0.13727737810385232,0.21163818744345134,0.3721913832591139,0.028403480336168144,0.07067144293022296,29
0.05,12.0,0.022,0.03,0.26,31.54574240074178,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.06531812364165768,0.13727737810385232,0.21163818744345134,0.3721913832591139,0.028403480336168144,0.07067144293022296,29
0.05,12.0,0.022,0.03,0.22,31.559927102373738,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.0656714456995497,0.13762751330836534,0.21179123475497785,0.37431068924694,0.02869943801741949,0.0723230398408819,29
0.05,10.0,0.022,0.03,0.22,31.559927102373738,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.0656714456995497,0.13762751330836534,0.21179123475497785,0.37431068924694,0.02869943801741949,0.0723230398408819,29
0.05,16.0,0.022,0.03,0.22,31.559927102373738,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.0656714456995497,0.13762751330836534,0.21179123475497785,0.37431068924694,0.02869943801741949,0.0723230398408819,29
0.05,20.0,0.022,0.03,0.22,31.559927102373738,23973,27.36436920611706,139.91571606301693,55.18540868953096,1.622179113239346,2.4790660693533937,0.0656714456995497,0.13762751330836534,0.21179123475497785,0.37431068924694,0.02869943801741949,0.0723230398408819,29
0.055,10.0,0.018,0.025,0.26,31.76523219923663,23973,27.538931195013205,140.8060495486469,55.559790373164034,1.6863610335590467,2.5764301495117934,0.06198802120037383,0.12980048689331725,0.19925160278768927,0.33770139321847364,0.026834098179959246,0.07400600640446774,29
0.055,12.0,0.018,0.025,0.26,31.76523219923663,23973,27.538931195013205,140.8060495486469,55.559790373164034,1.6863610335590467,2.5764301495117934,0.06198802120037383,0.12980048689331725,0.19925160278768927,0.33770139321847364,0.026834098179959246,0.07400600640446774,29
0.055,20.0,0.018,0.025,0.26,31.76523219923663,23973,27.538931195013205,140.8060495486469,55.559790373164034,1.6863610335590467,2.5764301495117934,0.06198802120037383,0.12980048689331725,0.19925160278768927,0.33770139321847364,0.026834098179959246,0.07400600640446774,29
