I0,I1,I2,I3,I4,I5,I6,I7
106.846176,120.826057,113.836121,0.000000,0.000000,0.000000,0.000000,0.000000
111.838783,117.830147,114.834465,0.000000,0.000000,0.000000,0.000000,0.000000
106.845848,113.835770,110.340805,0.000000,0.000000,0.000000,0.000000,0.000000
110.840446,121.824638,116.332542,0.000000,0.000000,0.000000,0.000000,0.000000
108.843819,113.836655,111.340240,0.000000,0.000000,0.000000,0.000000,0.000000
109.842552,109.842552,109.842552,0.000000,0.000000,0.000000,0.000000,0.000000
104.849289,112.837799,108.843544,0.000000,0.000000,0.000000,0.000000,0.000000
106.846443,116.832085,111.839264,0.000000,0.000000,0.000000,0.000000,0.000000
113.836365,115.833496,114.834930,0.000000,0.000000,0.000000,0.000000,0.000000
109.842041,114.834862,112.338455,0.000000,0.000000,0.000000,0.000000,0.000000
110.840240,116.831604,113.835922,0.000000,0.000000,0.000000,0.000000,0.000000
106.846268,117.830475,112.338371,0.000000,0.000000,0.000000,0.000000,0.000000
104.848907,116.831642,110.840271,0.000000,0.000000,0.000000,0.000000,0.000000
107.845421,115.833977,111.839699,0.000000,0.000000,0.000000,0.000000,0.000000
107.845833,116.832977,112.339401,0.000000,0.000000,0.000000,0.000000,0.000000
109.843559,118.830757,114.337158,0.000000,0.000000,0.000000,0.000000,0.000000
110.841873,116.833321,113.837601,0.000000,0.000000,0.000000,0.000000,0.000000
108.844917,113.837814,111.341370,0.000000,0.000000,0.000000,0.000000,0.000000
107.846375,115.834991,111.840683,0.000000,0.000000,0.000000,0.000000,0.000000
107.846100,113.837555,110.841827,0.000000,0.000000,0.000000,0.000000,0.000000
100.856201,120.827728,110.841965,0.000000,0.000000,0.000000,0.000000,0.000000
112.839134,114.836288,113.837708,0.000000,0.000000,0.000000,0.000000,0.000000
111.840111,114.835831,113.337967,0.000000,0.000000,0.000000,0.000000,0.000000
105.848709,114.835869,110.342285,0.000000,0.000000,0.000000,0.000000,0.000000
111.839821,115.834099,113.836960,0.000000,0.000000,0.000000,0.000000,0.000000
108.843246,117.830315,113.336777,0.000000,0.000000,0.000000,0.000000,0.000000
104.849121,115.833321,110.341217,0.000000,0.000000,0.000000,0.000000,0.000000
108.843864,115.833839,112.338852,0.000000,0.000000,0.000000,0.000000,0.000000
108.844643,112.838951,110.841797,0.000000,0.000000,0.000000,0.000000,0.000000
106.847359,114.835945,110.841652,0.000000,0.000000,0.000000,0.000000,0.000000
106.848183,115.835411,111.341797,0.000000,0.000000,0.000000,0.000000,0.000000
107.846489,119.829437,113.837967,0.000000,0.000000,0.000000,0.000000,0.000000
105.850380,117.833443,111.841911,0.000000,0.000000,0.000000,0.000000,0.000000
106.850441,113.840660,110.345551,0.000000,0.000000,0.000000,0.000000,0.000000
109.846497,114.839523,112.343010,0.000000,0.000000,0.000000,0.000000,0.000000
107.848763,117.834763,112.841766,0.000000,0.000000,0.000000,0.000000,0.000000
106.849808,117.834373,112.342087,0.000000,0.000000,0.000000,0.000000,0.000000
109.845268,113.839645,111.842453,0.000000,0.000000,0.000000,0.000000,0.000000
111.842896,112.841492,112.342194,0.000000,0.000000,0.000000,0.000000,0.000000
111.843040,114.838829,113.340935,0.000000,0.000000,0.000000,0.000000,0.000000
113.840073,116.835854,115.337967,0.000000,0.000000,0.000000,0.000000,0.000000
106.850266,116.836281,111.843277,0.000000,0.000000,0.000000,0.000000,0.000000
108.847466,116.836266,112.841866,0.000000,0.000000,0.000000,0.000000,0.000000
106.850388,114.839211,110.844803,0.000000,0.000000,0.000000,0.000000,0.000000
113.840485,116.836281,115.338379,0.000000,0.000000,0.000000,0.000000,0.000000
107.848938,115.837746,111.843338,0.000000,0.000000,0.000000,0.000000,0.000000
107.849106,114.839317,111.344208,0.000000,0.000000,0.000000,0.000000,0.000000
112.842636,117.835663,115.339149,0.000000,0.000000,0.000000,0.000000,0.000000
104.853500,117.835365,111.344437,0.000000,0.000000,0.000000,0.000000,0.000000
110.844818,114.839233,112.842026,0.000000,0.000000,0.000000,0.000000,0.000000
103.854599,117.835022,110.844810,0.000000,0.000000,0.000000,0.000000,0.000000
108.847382,116.836189,112.841782,0.000000,0.000000,0.000000,0.000000,0.000000
106.850380,118.833595,112.841988,0.000000,0.000000,0.000000,0.000000,0.000000
113.841385,116.837212,115.339294,0.000000,0.000000,0.000000,0.000000,0.000000
108.848862,115.839157,112.344009,0.000000,0.000000,0.000000,0.000000,0.000000
106.851379,116.837486,111.844437,0.000000,0.000000,0.000000,0.000000,0.000000
106.851585,116.837723,111.844650,0.000000,0.000000,0.000000,0.000000,0.000000
111.844955,115.839417,113.842186,0.000000,0.000000,0.000000,0.000000,0.000000
110.846710,117.837044,114.341873,0.000000,0.000000,0.000000,0.000000,0.000000
107.850624,112.843712,110.347168,0.000000,0.000000,0.000000,0.000000,0.000000
105.853035,119.833633,112.843338,0.000000,0.000000,0.000000,0.000000,0.000000
109.847572,119.833717,114.840645,0.000000,0.000000,0.000000,0.000000,0.000000
107.850517,114.840828,111.345673,0.000000,0.000000,0.000000,0.000000,0.000000
104.855553,116.839043,110.847298,0.000000,0.000000,0.000000,0.000000,0.000000
109.848007,114.841103,112.344559,0.000000,0.000000,0.000000,0.000000,0.000000
106.850014,116.835999,111.843002,0.000000,0.000000,0.000000,0.000000,0.000000
105.850571,117.833656,111.842117,0.000000,0.000000,0.000000,0.000000,0.000000
108.846481,114.838036,111.842255,0.000000,0.000000,0.000000,0.000000,0.000000
106.850143,115.837540,111.343842,0.000000,0.000000,0.000000,0.000000,0.000000
106.850464,109.846268,108.348366,0.000000,0.000000,0.000000,0.000000,0.000000
108.848335,115.838600,112.343468,0.000000,0.000000,0.000000,0.000000,0.000000
108.847488,111.843292,110.345390,0.000000,0.000000,0.000000,0.000000,0.000000
107.848938,118.833549,113.341248,0.000000,0.000000,0.000000,0.000000,0.000000
111.844177,117.835831,114.840004,0.000000,0.000000,0.000000,0.000000,0.000000
109.847961,114.841049,112.344505,0.000000,0.000000,0.000000,0.000000,0.000000
110.846901,112.844139,111.845520,0.000000,0.000000,0.000000,0.000000,0.000000
107.850746,117.836929,112.843842,0.000000,0.000000,0.000000,0.000000,0.000000
107.851151,116.838737,112.344940,0.000000,0.000000,0.000000,0.000000,0.000000
109.848946,116.839333,113.344139,0.000000,0.000000,0.000000,0.000000,0.000000
109.848557,119.834793,114.841675,0.000000,0.000000,0.000000,0.000000,0.000000
107.851547,115.840546,111.846046,0.000000,0.000000,0.000000,0.000000,0.000000
104.855766,118.836525,111.846146,0.000000,0.000000,0.000000,0.000000,0.000000
106.853600,112.845390,109.849495,0.000000,0.000000,0.000000,0.000000,0.000000
105.855301,117.838921,111.847107,0.000000,0.000000,0.000000,0.000000,0.000000
107.852844,122.832397,115.342621,0.000000,0.000000,0.000000,0.000000,0.000000
109.849533,115.841331,112.845428,0.000000,0.000000,0.000000,0.000000,0.000000
106.853371,115.841034,111.347198,0.000000,0.000000,0.000000,0.000000,0.000000
112.845322,114.842583,113.843948,0.000000,0.000000,0.000000,0.000000,0.000000
107.853058,117.839462,112.846260,0.000000,0.000000,0.000000,0.000000,0.000000
107.853973,113.845863,110.849915,0.000000,0.000000,0.000000,0.000000,0.000000
108.852646,120.836418,114.844528,0.000000,0.000000,0.000000,0.000000,0.000000
110.848595,120.834953,115.841774,0.000000,0.000000,0.000000,0.000000,0.000000
107.852089,114.842499,111.347290,0.000000,0.000000,0.000000,0.000000,0.000000
109.850044,116.840492,113.345268,0.000000,0.000000,0.000000,0.000000,0.000000
107.853149,115.842270,111.847710,0.000000,0.000000,0.000000,0.000000,0.000000
106.853859,115.841568,111.347717,0.000000,0.000000,0.000000,0.000000,0.000000
109.848862,111.846115,110.847488,0.000000,0.000000,0.000000,0.000000,0.000000
106.853569,115.841255,111.347412,0.000000,0.000000,0.000000,0.000000,0.000000
107.852707,118.837708,113.345207,0.000000,0.000000,0.000000,0.000000,0.000000
106.854187,117.839195,112.346695,0.000000,0.000000,0.000000,0.000000,0.000000
107.851845,115.840874,111.846359,0.000000,0.000000,0.000000,0.000000,0.000000
108.850433,117.838089,113.344261,0.000000,0.000000,0.000000,0.000000,0.000000
105.854607,114.842255,110.348434,0.000000,0.000000,0.000000,0.000000,0.000000
107.852097,113.843880,110.847992,0.000000,0.000000,0.000000,0.000000,0.000000
109.849792,113.844330,111.847061,0.000000,0.000000,0.000000,0.000000,0.000000
106.853180,115.840836,111.347008,0.000000,0.000000,0.000000,0.000000,0.000000
104.855667,118.836418,111.846039,0.000000,0.000000,0.000000,0.000000,0.000000
109.848854,114.841988,112.345421,0.000000,0.000000,0.000000,0.000000,0.000000
109.849548,116.839973,113.344757,0.000000,0.000000,0.000000,0.000000,0.000000
111.847702,113.844978,112.846344,0.000000,0.000000,0.000000,0.000000,0.000000
111.846695,114.842590,113.344643,0.000000,0.000000,0.000000,0.000000,0.000000
105.853783,120.833084,113.343430,0.000000,0.000000,0.000000,0.000000,0.000000
110.846230,118.835144,114.840683,0.000000,0.000000,0.000000,0.000000,0.000000
109.846947,114.839989,112.343468,0.000000,0.000000,0.000000,0.000000,0.000000
109.847343,115.839012,112.843178,0.000000,0.000000,0.000000,0.000000,0.000000
