I0,I1,I2,I3,I4,I5,I6,I7,AB_I0_filt_mm,AB_I1_filt_mm,AB_h_pred_mm,AB_q0,AB_q1,AB_z_meas_mm,AB_fused_h_mm,AB_fused_vz_mps,AB_valid,AB_hold_cnt,AB_predict_only,AB_hard_relock
102.851730,111.838776,107.345253,0.000000,0.000000,0.000000,0.000000,0.000000,102.851738,112.837349,110.172810,0.938991,0.977796,107.945621,109.771916,-0.019882,1,0,0,0
102.851707,115.832993,109.342346,0.000000,0.000000,0.000000,0.000000,0.000000,102.851730,112.837349,109.573096,0.943989,0.972798,107.919581,109.275463,-0.024843,1,0,0,0
102.851707,119.827232,111.339470,0.000000,0.000000,0.000000,0.000000,0.000000,102.851707,115.832993,109.027037,0.948539,0.943284,109.324320,109.080548,-0.023951,1,0,0,0
105.847404,111.838768,108.843086,0.000000,0.000000,0.000000,0.000000,0.000000,102.851707,115.832993,108.841041,0.950089,0.941734,109.313684,108.926117,-0.022533,1,0,0,0
105.847435,115.833038,110.840240,0.000000,0.000000,0.000000,0.000000,0.000000,105.847404,115.833038,108.700788,0.976222,0.940565,110.747342,109.069168,-0.016393,1,0,0,0
107.844528,114.834450,111.339493,0.000000,0.000000,0.000000,0.000000,0.000000,105.847435,114.834450,108.905236,0.974518,0.950590,110.285090,109.153610,-0.012254,1,0,0,0
108.843094,119.827255,114.335175,0.000000,0.000000,0.000000,0.000000,0.000000,107.844528,115.833038,109.031074,0.990112,0.943317,111.742109,109.519060,-0.004120,1,0,0,0
105.847397,111.838760,108.843079,0.000000,0.000000,0.000000,0.000000,0.000000,107.844528,114.834450,109.477856,0.986389,0.955362,111.283643,109.802897,0.001297,1,0,0,0
109.841644,114.834457,112.338051,0.000000,0.000000,0.000000,0.000000,0.000000,108.843094,114.834457,109.815866,0.991894,0.958178,111.786983,110.170667,0.007210,1,0,0,0
103.850266,115.832993,109.841629,0.000000,0.000000,0.000000,0.000000,0.000000,105.847397,114.834457,110.242769,0.963372,0.961736,110.337108,110.259750,0.007493,1,0,0,0
107.844566,114.834496,111.339531,0.000000,0.000000,0.000000,0.000000,0.000000,107.844566,114.834496,110.334683,0.979249,0.962502,111.309387,110.510129,0.010417,1,0,0,0
105.847481,112.837410,109.342445,0.000000,0.000000,0.000000,0.000000,0.000000,105.847481,114.834496,110.614303,0.960276,0.964832,110.351621,110.567020,0.009629,1,0,0,0
111.838867,112.837425,112.338150,0.000000,0.000000,0.000000,0.000000,0.000000,107.844566,112.837425,110.663313,0.976510,0.981882,110.347843,110.606529,0.008683,1,0,0,0
103.850372,112.837418,108.343895,0.000000,0.000000,0.000000,0.000000,0.000000,105.847481,112.837418,110.693358,0.959618,0.982133,109.382975,110.457489,0.004752,1,0,0,0
110.840317,118.828804,114.834564,0.000000,0.000000,0.000000,0.000000,0.000000,110.840317,112.837425,110.505006,0.997206,0.980563,111.830468,110.743589,0.008728,1,0,0,0
106.846069,118.828804,112.837433,0.000000,0.000000,0.000000,0.000000,0.000000,106.846069,118.828804,110.830871,0.966793,0.933351,112.731988,111.173072,0.014431,1,0,0,0
109.841736,112.837418,111.339577,0.000000,0.000000,0.000000,0.000000,0.000000,109.841736,118.828804,111.317387,0.987703,0.937405,114.217866,111.839473,0.023133,1,0,0,0
107.844627,113.835999,110.840317,0.000000,0.000000,0.000000,0.000000,0.000000,107.844627,113.835999,112.070802,0.964782,0.985290,110.871817,111.854985,0.019536,1,0,0,0
110.840317,110.840317,110.840317,0.000000,0.000000,0.000000,0.000000,0.000000,109.841736,112.837418,112.050345,0.981595,0.993441,111.348561,111.924024,0.017431,1,0,0,0
107.844627,117.830231,112.837433,0.000000,0.000000,0.000000,0.000000,0.000000,107.844627,113.835999,112.098330,0.964552,0.985519,110.872522,111.877684,0.013753,1,0,0,0
104.848915,110.840286,107.844604,0.000000,0.000000,0.000000,0.000000,0.000000,107.844627,110.840317,112.015216,0.965245,0.990209,109.361594,111.537564,0.005792,1,0,0,0
107.844597,113.835968,110.840286,0.000000,0.000000,0.000000,0.000000,0.000000,107.844597,113.835968,111.595488,0.968743,0.981329,110.859618,111.463031,0.003585,1,0,0,0
105.847496,119.827354,112.837425,0.000000,0.000000,0.000000,0.000000,0.000000,105.847496,113.835968,111.498878,0.952905,0.980524,109.898790,111.210862,-0.001216,1,0,0,0
103.850395,107.844643,105.847519,0.000000,0.000000,0.000000,0.000000,0.000000,105.847496,113.835968,111.198707,0.955407,0.978023,109.888454,110.962861,-0.005146,1,0,0,0
108.843216,120.825951,114.834579,0.000000,0.000000,0.000000,0.000000,0.000000,105.847496,119.827354,110.911398,0.957801,0.925700,112.718296,111.236640,0.000274,1,0,0,0
108.843216,115.833138,112.338181,0.000000,0.000000,0.000000,0.000000,0.000000,108.843216,115.833138,111.239384,0.980032,0.961719,112.305215,111.431233,0.003472,1,0,0,0
106.846054,118.828781,112.837418,0.000000,0.000000,0.000000,0.000000,0.000000,108.843216,118.828781,111.465952,0.978144,0.938643,113.733108,111.874040,0.010273,1,0,0,0
109.841698,115.833069,112.837387,0.000000,0.000000,0.000000,0.000000,0.000000,108.843216,115.833138,111.976774,0.973887,0.967864,112.327335,112.039875,0.011325,1,0,0,0
106.846008,114.834496,110.840256,0.000000,0.000000,0.000000,0.000000,0.000000,106.846054,115.833069,112.153125,0.955774,0.969334,111.371211,112.012381,0.008979,1,0,0,0
110.840248,108.843124,109.841690,0.000000,0.000000,0.000000,0.000000,0.000000,109.841698,114.834496,112.102174,0.981163,0.977231,112.333085,112.143738,0.009672,1,0,0,0
106.846054,119.827347,113.336700,0.000000,0.000000,0.000000,0.000000,0.000000,106.846054,114.834496,112.240458,0.955047,0.978383,110.888485,111.997103,0.005616,1,0,0,0
110.840340,112.837463,111.838898,0.000000,0.000000,0.000000,0.000000,0.000000,110.840248,112.837463,112.053264,0.989892,0.993465,111.840655,112.014994,0.004978,1,0,0,0
109.841797,118.828857,114.335327,0.000000,0.000000,0.000000,0.000000,0.000000,109.841797,118.828857,112.064777,0.981475,0.943633,114.246996,112.457577,0.011525,1,0,0,0
112.837509,114.834641,113.836075,0.000000,0.000000,0.000000,0.000000,0.000000,110.840340,114.834641,112.572826,0.985563,0.981152,112.833011,112.619659,0.012305,1,0,0,0
105.847595,120.826035,113.336815,0.000000,0.000000,0.000000,0.000000,0.000000,109.841797,118.828857,112.742714,0.975826,0.949282,114.273370,113.018232,0.016897,1,0,0,0
104.849075,115.833260,110.341171,0.000000,0.000000,0.000000,0.000000,0.000000,105.847595,115.833260,113.187207,0.938837,0.977950,110.942309,112.783125,0.010163,1,0,0,0
105.847626,119.827507,112.837570,0.000000,0.000000,0.000000,0.000000,0.000000,105.847595,119.827507,112.884753,0.941357,0.942144,112.840471,112.876782,0.010030,1,0,0,0
106.846207,114.834709,110.840454,0.000000,0.000000,0.000000,0.000000,0.000000,105.847626,115.833260,112.977081,0.940588,0.976199,110.933201,112.609183,0.003898,1,0,0,0
107.844788,113.836166,110.840477,0.000000,0.000000,0.000000,0.000000,0.000000,106.846207,114.834709,112.648166,0.951650,0.981779,110.902700,112.333982,-0.001338,1,0,0,0
99.856300,106.846237,103.351273,0.000000,0.000000,0.000000,0.000000,0.000000,106.846207,113.836166,112.320601,0.954380,0.987370,110.400566,111.974994,-0.007098,1,0,0,0
103.850555,110.840500,107.345528,0.000000,0.000000,0.000000,0.000000,0.000000,103.850555,110.840500,111.904012,0.932888,0.991137,107.451337,111.102531,-0.020456,1,0,0,0
104.849098,114.834724,109.841911,0.000000,0.000000,0.000000,0.000000,0.000000,103.850555,110.840500,110.897968,0.941272,0.999521,107.450423,110.277410,-0.030799,1,0,0,0
105.847633,113.836128,109.841881,0.000000,0.000000,0.000000,0.000000,0.000000,104.849098,113.836128,109.969421,0.957331,0.967777,109.366998,109.860985,-0.032606,1,0,0,0
103.850471,111.838966,107.844719,0.000000,0.000000,0.000000,0.000000,0.000000,104.849098,113.836128,109.534923,0.960951,0.964157,109.350094,109.501654,-0.033161,1,0,0,0
