I0,I1,I2,I3,I4,I5,I6,I7,I8,I9
69.000000,1.000000,-6.000000,1.000000,7.000000,1.010000,7.110000,0.000000,0.000000,0.000000
67.000000,1.000000,-6.000000,1.000000,7.000000,1.000000,6.960000,0.000000,0.000000,0.000000
67.000000,1.000000,-6.000000,1.000000,7.000000,1.000000,6.960000,0.000000,0.000000,0.000000
67.000000,1.000000,-6.000000,1.000000,7.000000,1.290000,6.690000,0.000000,0.000000,0.000000
66.000000,2.000000,-5.000000,2.000000,6.000000,1.760000,5.940000,0.000000,0.000000,0.000000
66.000000,2.000000,-5.000000,2.000000,6.000000,1.910000,6.050000,0.000000,0.000000,0.000000
66.000000,2.000000,-5.000000,2.000000,6.000000,2.050000,5.950000,0.000000,0.000000,0.000000
67.000000,1.000000,-6.000000,1.000000,7.000000,1.270000,6.460000,0.000000,0.000000,0.000000
68.000000,1.000000,-6.000000,1.000000,7.000000,0.970000,6.790000,0.000000,0.000000,0.000000
69.000000,1.000000,-6.000000,1.000000,7.000000,0.970000,7.040000,0.000000,0.000000,0.000000
69.000000,1.000000,-6.000000,1.000000,7.000000,0.980000,7.040000,0.000000,0.000000,0.000000
70.000000,1.000000,-6.000000,1.000000,7.000000,0.990000,7.030000,0.000000,0.000000,0.000000
70.000000,2.000000,-6.000000,2.000000,7.000000,1.490000,7.020000,0.000000,0.000000,0.000000
71.000000,1.000000,-6.000000,1.000000,7.000000,1.110000,7.330000,0.000000,0.000000,0.000000
72.000000,1.000000,-7.000000,1.000000,9.000000,1.220000,8.040000,0.000000,0.000000,0.000000
70.000000,2.000000,-5.000000,2.000000,6.000000,1.760000,6.600000,0.000000,0.000000,0.000000
72.000000,1.000000,-6.000000,1.000000,8.000000,1.040000,7.460000,0.000000,0.000000,0.000000
71.000000,1.000000,-6.000000,1.000000,7.000000,1.470000,6.780000,0.000000,0.000000,0.000000
72.000000,1.000000,-7.000000,1.000000,9.000000,1.000000,8.420000,0.000000,0.000000,0.000000
72.000000,1.000000,-6.000000,1.000000,8.000000,0.970000,8.130000,0.000000,0.000000,0.000000
71.000000,1.000000,-6.000000,1.000000,7.000000,0.980000,6.750000,0.000000,0.000000,0.000000
72.000000,1.000000,-8.000000,1.000000,10.000000,0.990000,9.390000,0.000000,0.000000,0.000000
73.000000,0.000000,-8.000000,0.000000,10.000000,0.330000,10.160000,0.000000,0.000000,0.000000
72.000000,1.000000,-8.000000,1.000000,10.000000,0.770000,10.150000,0.000000,0.000000,0.000000
73.000000,0.000000,-8.000000,0.000000,10.000000,0.210000,10.100000,0.000000,0.000000,0.000000
72.000000,0.000000,-9.000000,0.000000,11.000000,-0.050000,10.990000,0.000000,0.000000,0.000000
71.000000,1.000000,-9.000000,1.000000,11.000000,0.450000,11.100000,0.000000,0.000000,0.000000
70.000000,1.000000,-7.000000,1.000000,9.000000,1.010000,9.380000,0.000000,0.000000,0.000000
69.000000,2.000000,-6.000000,2.000000,7.000000,1.970000,7.010000,0.000000,0.000000,0.000000
70.000000,1.000000,-7.000000,1.000000,9.000000,1.100000,8.720000,0.000000,0.000000,0.000000
70.000000,1.000000,-7.000000,1.000000,9.000000,1.010000,8.130000,0.000000,0.000000,0.000000
69.000000,2.000000,-7.000000,2.000000,8.000000,1.500000,8.190000,0.000000,0.000000,0.000000
68.000000,1.000000,-6.000000,1.000000,7.000000,1.540000,6.980000,0.000000,0.000000,0.000000
68.000000,1.000000,-6.000000,1.000000,7.000000,1.290000,6.910000,0.000000,0.000000,0.000000
68.000000,2.000000,-6.000000,2.000000,7.000000,1.770000,7.160000,0.000000,0.000000,0.000000
68.000000,2.000000,-6.000000,2.000000,7.000000,2.040000,7.190000,0.000000,0.000000,0.000000
