I0,I1,I2,I3,I4,I5,I6,I7,I8,I9
30208.000000,285.131226,289.511688,269.146637,301.509949,1.332153,-1.535124,-0.688656,0.571245,282.196869
30218.000000,291.035828,291.541840,272.103333,308.586670,1.327049,-1.608410,-0.356673,0.581679,288.186859
30228.000000,295.931732,298.603729,277.014893,315.663055,1.312076,-1.654550,-0.061711,0.590622,294.269440
30238.000000,296.851166,300.627777,280.976990,318.730530,1.285457,-1.693822,0.366074,0.596212,300.129761
30248.000000,303.759308,308.624908,289.962677,322.808990,1.229990,-1.726551,0.345751,0.599768,306.124023
30258.000000,306.639130,314.577301,289.962677,327.926300,1.164250,-1.771216,0.081324,0.601014,311.974792
30268.000000,309.488922,317.529022,292.007294,333.071167,1.103328,-1.799937,0.217592,0.600863,317.651459
30278.000000,314.364258,322.469940,300.107208,342.189819,1.040001,-1.880254,-0.185895,0.600107,323.279175
30288.000000,315.170532,323.438049,305.098419,345.364746,0.973206,-1.954719,-0.524280,0.598790,328.599396
30298.000000,321.974335,329.455139,305.105225,345.540619,0.876583,-1.996480,-0.633415,0.599006,333.922424
30308.000000,326.780823,333.336212,311.196838,350.728333,0.787714,-2.051381,-0.206251,0.600118,339.191803
30318.000000,329.580750,335.262085,319.256256,353.916260,0.722885,-2.079462,1.195504,0.599566,344.330383
30328.000000,331.450439,338.195129,319.319214,360.084076,0.695963,-2.083155,2.144003,0.593336,349.191956
30338.000000,337.410339,344.156250,319.355957,362.037323,0.709489,-2.091889,2.384792,0.581599,354.004944
30348.000000,337.497406,346.181854,323.320313,364.068054,0.758771,-2.078690,2.278304,0.564022,358.414307
30358.000000,337.497406,348.271271,324.260864,364.978394,0.806546,-2.043210,1.983617,0.542460,362.394836
30368.000000,344.607086,349.236572,326.200867,371.866058,0.838663,-2.029620,1.467724,0.519806,366.144562
30378.000000,345.669525,350.301971,327.231995,374.697937,0.877818,-1.984362,2.312699,0.496314,369.480804
30388.000000,349.914124,355.310730,329.198120,374.800995,0.921680,-1.931694,2.777436,0.471342,372.716095
30398.000000,351.780823,358.281647,332.252289,379.576660,0.919892,-1.892901,1.610861,0.444053,375.641052
30408.000000,350.995239,359.319611,336.194855,382.541779,0.908268,-1.857061,0.592567,0.417516,378.100220
30418.000000,356.018494,364.228058,337.315063,382.541779,0.882601,-1.810814,0.484291,0.395738,380.533844
30428.000000,355.116669,364.228058,340.415100,383.526428,0.893453,-1.748955,0.378372,0.376146,382.547180
30438.000000,356.018494,365.148590,340.415100,387.286957,0.956725,-1.685662,0.661298,0.358379,384.302612
30448.000000,360.285126,368.130463,340.480072,388.134552,1.017093,-1.627021,1.323997,0.341832,386.064606
30458.000000,360.607239,368.130463,345.383514,388.134552,1.091704,-1.581524,1.362653,0.323539,387.523743
30468.000000,360.607239,371.155396,345.383514,389.970428,1.178470,-1.533497,0.846296,0.304602,388.814880
30478.000000,360.607239,371.284210,345.189850,390.783813,1.271730,-1.508481,0.707845,0.285962,389.840424
30488.000000,361.945374,373.495972,345.056458,393.606476,1.375213,-1.482117,0.314071,0.268773,390.777191
30498.000000,362.117828,374.383331,345.056458,393.606476,1.512833,-1.433552,-0.379287,0.253616,391.540100
30508.000000,365.360779,373.754089,345.056458,394.410950,1.632184,-1.401890,-0.273872,0.241655,392.217438
30518.000000,365.557617,376.627777,345.601807,397.675232,1.745089,-1.362424,-0.044354,0.231849,392.867157
30528.000000,365.557617,373.905029,346.542847,397.675232,1.818284,-1.312558,-0.182581,0.222033,393.255066
30538.000000,365.929016,375.866760,346.542847,397.675232,1.807601,-1.289250,-0.629781,0.213548,393.628296
30548.000000,365.895172,374.818634,346.590515,398.496704,1.774502,-1.282627,-0.414039,0.206383,393.853516
30558.000000,365.929016,375.866760,346.590515,398.496704,1.798253,-1.276067,0.290930,0.199755,394.046600
30568.000000,368.054565,377.840271,351.616882,398.375305,1.840294,-1.222728,1.455068,0.191567,394.290192
30578.000000,368.931793,378.797150,346.674072,398.375305,1.844980,-1.174356,1.403256,0.179663,394.531952
30588.000000,369.114380,379.839020,351.616882,398.375305,1.809163,-1.144079,0.918986,0.165007,394.649689
30598.000000,369.114380,380.645264,346.867157,397.350433,1.785360,-1.100413,0.577651,0.149995,394.687469
30608.000000,369.114380,380.645264,348.901978,397.350433,1.799129,-1.053229,0.391430,0.135491,394.571808
30618.000000,370.215820,378.641724,347.865631,396.157501,1.847862,-1.017658,-0.032413,0.121998,394.298767
