I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14
-28.000000,-0.852034,-81.000000,-81.443901,-0.000031,0.000000,6.000000,-0.280673,18.000000,18.842018,0.000033,0.000000,0.278093,-1.207364,0.545555
-28.000000,-0.725780,-81.000000,-81.822662,-0.021850,-0.029620,6.000000,-0.226906,18.000000,18.680717,0.005015,-0.012614,0.277386,-1.213051,0.543425
-28.000000,-1.050987,-80.000000,-80.847038,-0.043410,-0.034327,6.000000,-0.248413,18.000000,18.745239,0.010014,-0.042065,0.278482,-1.214422,0.542978
-28.000000,-1.497691,-79.000000,-79.506927,-0.064611,0.190912,6.000000,-0.309272,18.000000,18.927814,0.015061,-0.051553,0.278576,-1.213613,0.542015
-28.000000,-1.719508,-78.000000,-78.841476,-0.085636,0.695408,6.000000,-0.333989,19.000000,19.001968,0.020128,-0.017809,0.278934,-1.216268,0.543230
-28.000000,-1.671468,-77.000000,-78.985596,-0.106699,1.257710,6.000000,-0.319856,19.000000,18.959568,0.025184,0.031157,0.274537,-1.211847,0.543793
-28.000000,-1.476862,-78.000000,-79.569412,-0.127917,1.632939,6.000000,-0.326269,19.000000,18.978807,0.030245,0.068362,0.271276,-1.213316,0.542926
-28.000000,-1.160977,-78.000000,-80.517075,-0.149388,1.692596,6.000000,-0.396023,19.000000,19.188068,0.035362,0.110781,0.271733,-1.210734,0.541118
-28.000000,-0.726537,-80.000000,-81.820389,-0.171207,1.389554,6.000000,-0.505715,19.000000,19.517147,0.040567,0.199777,0.269039,-1.213389,0.540017
-28.000000,-0.398939,-82.000000,-82.803185,-0.193288,0.759146,6.000000,-0.646465,20.000000,19.939394,0.045884,0.362554,0.261733,-1.219874,0.537715
-28.000000,-0.540764,-82.000000,-82.377708,-0.215255,0.030141,10.000000,-0.850797,33.000000,32.552391,0.045971,0.615614,0.263886,-1.230080,0.536976
-28.000000,-1.137266,-81.000000,-80.588203,-0.236746,-0.399593,10.000000,-1.098563,34.000000,33.295689,0.054849,0.977227,0.260653,-1.228004,0.536508
-28.000000,-1.676134,-79.000000,-78.971596,-0.257805,-0.276692,10.000000,-1.299153,35.000000,33.897461,0.063889,1.434907,0.262368,-1.232190,0.534861
-28.000000,-1.736500,-78.000000,-78.790497,-0.278816,0.233055,10.000000,-1.341425,36.000000,34.024277,0.072962,1.902772,0.259815,-1.226512,0.534347
-28.000000,-1.381012,-79.000000,-79.856964,-0.300111,0.687580,10.000000,-1.206756,35.000000,33.620270,0.081927,2.236940,0.252358,-1.230108,0.531701
