flight,estimator,axis,rms_vs_online_deg,mean_vs_online_deg,p95_abs_vs_online_deg,max_abs_vs_online_deg,final_vs_online_deg,range_deg
1,repo_mahony,roll,2.1392143983391025,-1.9577460243313571,2.8778806337830467,3.6087215147611253,-2.152106075629959,47.06044400399857
1,repo_mahony,pitch,2.845595813702933,-1.2179936559966469,5.75437110261505,7.317456722708709,-0.36758024743059936,46.95876961635236
1,soft_mahony,roll,2.5228727906598625,-1.865505412237843,4.7302286166970875,7.219127028914674,-2.6288635590188876,46.07461919102086
1,soft_mahony,pitch,1.7516029657431094,-0.18105785952984713,3.599273331210507,6.80401169128229,-0.5127878471824963,42.528815721742085
1,madgwick_imu,roll,2.586331522349622,-1.8458772697312467,4.701123605103867,9.05666973752617,-2.685325353689219,45.41957864569423
1,madgwick_imu,pitch,1.835603269962089,-0.26066853694230874,3.461396973926462,9.278584817910602,-0.5613164871688543,39.70914374311457
1,complementary_rp,roll,5.350029488318836,-2.3829471882100304,12.93957845316171,19.126969771606635,-2.6472416633481846,32.44309066215916
1,complementary_rp,pitch,4.143922916250981,-0.2076339635420927,9.441186867640653,16.198810444080312,-0.5474363189162799,28.565704035153686
1,gyro_only,roll,2.953920857459245,-2.699268984763225,4.627192254546285,5.459290854559454,-0.8176058810211342,49.03860784691897
1,gyro_only,pitch,8.493850507725734,-7.768036312183272,12.22057897018593,13.090956764286387,-6.62640735472574,45.29088614155228
2,repo_mahony,roll,1.155521800162488,-1.0547135363159916,1.8615782376092915,2.5344806819334202,-0.1884135826543254,44.67679227720457
2,repo_mahony,pitch,0.9699235572994219,-0.8185331096891955,1.7172261985108122,2.07348334495045,-0.5549801362946547,40.226060477736254
2,soft_mahony,roll,2.1011604571762077,-1.5163645171779303,4.190247241691854,7.20697861667496,-1.7645169880193716,49.28162264684207
2,soft_mahony,pitch,3.0167678988661693,1.8344840683419814,5.8472146855833245,10.578592780795956,0.6496452131518132,42.877172915671096
2,madgwick_imu,roll,2.0660828356722285,-1.4690972768884514,4.008179425896106,6.523269765852786,-1.8687159887403555,43.53867094772987
2,madgwick_imu,pitch,2.8060188889461686,1.857553414150555,5.654813985575736,11.294282419644079,0.6942580062627283,40.01012891542865
2,complementary_rp,roll,4.713935430290226,-1.87367728456199,10.407952899930773,19.337368137615005,-1.8529194592519291,30.045416540479955
2,complementary_rp,pitch,5.213139026516414,1.9764885979855034,11.216434963460639,19.271212066857313,0.6091286304696545,26.065426747039258
2,gyro_only,roll,1.1439873483757155,-0.8136113359706703,2.197178261695812,3.5632881505826717,0.11093508336708258,46.89552690864485
2,gyro_only,pitch,9.613965314182451,-7.86515422213949,18.590800320927194,19.884699022852892,-19.884699022852892,43.25506117901661
3,repo_mahony,roll,1.4823453660199606,-1.1993902514278483,2.196249991419985,4.1946453949478935,-2.462958779185543,50.83717500475772
3,repo_mahony,pitch,1.9987900507083463,-1.4909971987483308,4.046424982607498,7.019167243411843,-1.0945343731576829,46.184261104504785
3,soft_mahony,roll,2.581788389320721,-1.9232775416634122,4.677145803988491,7.002476503677654,-1.8861379987314444,53.22278729867017
3,soft_mahony,pitch,2.403786000774925,1.6038836115730546,4.6097517509418955,8.033410800280558,0.11147798854835367,46.17820982937546
3,madgwick_imu,roll,2.8165166707905476,-2.1599446603748325,4.964172740367601,12.453634429364284,-1.8977218937957927,50.003365046614746
3,madgwick_imu,pitch,2.30701863832831,1.5363461595957926,4.6117992509932275,7.895626405776685,0.08920084186005273,45.29954904239607
3,complementary_rp,roll,4.8446478541730595,-2.6462332699406423,9.974593294120744,17.71430865011496,-1.8917127388634154,40.2489110350799
3,complementary_rp,pitch,4.047705474461118,1.76751706582707,8.346997424447121,15.00338554413288,0.11386538804114599,37.96153266405929
3,gyro_only,roll,6.595896278600775,4.782869726394314,13.509148336663053,19.39175590803627,14.153746366603341,60.863830154301425
3,gyro_only,pitch,22.567978416779432,-19.078141343409772,36.931143806309656,38.18458337364766,-38.13404617132468,63.950784184350326
4,repo_mahony,roll,3.2386094159343806,-3.064158767941891,4.33422878356415,4.993621434857278,-3.561537183592171,40.66451094139419
4,repo_mahony,pitch,1.90284918717083,-1.764848480744817,2.937013253795159,4.22270087971399,0.6647116497073392,30.252794912591106
4,soft_mahony,roll,4.162177072617497,-3.847738887048691,6.455438423842572,8.576604425245463,-4.357118443611467,39.022960313196464
4,soft_mahony,pitch,1.899537031056378,-0.8188722209776438,3.334287245900533,5.355066437095447,0.3228297615820864,35.782842023646225
4,madgwick_imu,roll,4.29669049985569,-3.9168377716792637,6.686438511673591,10.03901410823637,-4.735967015937783,35.22764537576391
4,madgwick_imu,pitch,2.1075942620718986,-1.1260838542396296,3.7094951752260994,5.7064377528801575,0.07957218756349305,32.95400853461369
4,complementary_rp,roll,5.238449294362147,-4.119187164878185,10.441152410887742,15.095070155263684,-4.636053525257774,29.69346274907703
4,complementary_rp,pitch,3.32202418024719,-0.8973127837738265,7.185299119300953,12.838997915759393,0.17811445400260928,23.009545841133367
4,gyro_only,roll,3.163392260924184,2.2277154689566174,5.224108067744351,6.288107016967816,5.224940230260756,46.0518775470575
4,gyro_only,pitch,6.930538779958559,-6.409774195730154,11.30876501570047,12.313510372924465,-9.713498431211692,34.43427088730701
5,repo_mahony,roll,1.8592052516440054,1.2703930723511097,4.791715022924438,6.657582217508464,0.42038298510682326,50.85590723118617
5,repo_mahony,pitch,1.8811150872794613,-1.3945060254626802,3.9566718793280766,5.191473344489667,-0.26396379502514233,38.16276973160945
5,soft_mahony,roll,1.8410153869189116,0.05584695521386625,4.263906144495961,6.3601507222617535,0.34669935456763845,48.84469941684564
5,soft_mahony,pitch,3.98215728647134,3.084719589302262,8.054023949676322,10.997839179210382,0.4850554031608212,40.28101260367613
5,madgwick_imu,roll,1.959953870845737,-0.19291539050661113,3.8514710676488955,13.205052959975605,0.33829433561873623,47.04942583370024
5,madgwick_imu,pitch,4.111933535991954,3.1636432714145024,8.108863796347912,10.57823891275266,0.5362607768500465,39.28590002313527
5,complementary_rp,roll,4.855195768253824,-0.17584270329179458,11.432860903565887,19.026977346564426,0.34771611578867434,29.168330820910807
