t_ms,online_roll,online_pitch,repo_mahony_roll_aligned,repo_mahony_pitch_aligned,soft_mahony_roll_aligned,soft_mahony_pitch_aligned,madgwick_imu_roll_aligned,madgwick_imu_pitch_aligned,complementary_rp_roll_aligned,complementary_rp_pitch_aligned,gyro_only_roll_aligned,gyro_only_pitch_aligned,repo_mahony_accel_mag,repo_mahony_acc_weight,soft_mahony_acc_weight
3395.0,-0.426829,1.624956,-0.2904188353871038,1.6890596200820487,-0.2912820547237729,1.6848767340130155,-0.30356642017488245,1.6392551471692736,-0.292127220518303,1.6797776512633251,-0.2901069552141511,1.6905421177335318,0.9991561599244635,0.9915615992446349,0.99758902835561
3396.0,-0.426181,1.625051,-0.2903774721286698,1.688875725476834,-0.29123882190168926,1.6846920236452847,-0.2993207691597717,1.637236749961866,-0.2920763019269468,1.6795881776937862,-0.29006621029669777,1.6903584929342654,0.9991836702048328,0.9918367020483279,0.9976676291566651
3397.0,-0.425532,1.625157,-0.2903342139141456,1.6887022880080949,-0.29119148789639615,1.6845168187903925,-0.29505572893789056,1.635271492295424,-0.2920189778849158,1.6794073691609164,-0.29002430108761246,1.6901856404367483,0.9992113181734882,0.9921131817348818,0.9977466233528234
3398.0,-0.424883,1.625272,-0.2902911151551053,1.6885375366961548,-0.29114298847335585,1.6843493353842052,-0.29959974341903806,1.6350272493116487,-0.29195932655410584,1.679233407450273,-0.289982991155449,1.690021793918487,0.9992212161133289,0.9922121611332892,0.9977749031809398
3399.0,-0.424234,1.625394,-0.29024641142356966,1.688379005425936,-0.2910910397468527,1.6841869782969774,-0.29509709139869544,1.6337973939937926,-0.29189435067266034,1.6790635140591585,-0.2899406884148297,1.689864530300497,0.9992283972075654,0.992283972075654,0.997795420593044
3402.0,-0.423581,1.625521,-0.29010028754614137,1.6879186342895682,-0.2909177137371177,1.6837145137599807,-0.28137160194873,1.6311653281261593,-0.29167739609583343,1.67857087150156,-0.28980358299067177,1.6894081694141885,0.9992205363992475,0.9922053639924746,0.997772961140707
3403.0,-0.422269,1.62578,-0.2900460080412506,1.68776590727028,-0.29085221859235233,1.6835585187770843,-0.2856185742320796,1.6326194455023324,-0.2915959808209463,1.6784097653171677,-0.289753028321567,1.6892565303249947,0.9991908045263428,0.9919080452634279,0.9976880129324079
3404.0,-0.420968,1.626009,-0.2899972193020792,1.6875908404451674,-0.29079332789921297,1.6833829844312918,-0.2885608888453479,1.635923065693357,-0.29152501679616805,1.6782346171647964,-0.28970759953032044,1.6890816262132968,0.9991839277480398,0.9918392774803977,0.9976683649943994
3405.0,-0.420326,1.626103,-0.2899520064809291,1.687400722792216,-0.29073891102692784,1.6831936612545408,-0.2913101069214803,1.6393700431725966,-0.2914610424604134,1.6780483459439157,-0.2896654528560054,1.6888912540463352,0.9991784893371153,0.9917848933711528,0.9976528266774722
3406.0,-0.419687,1.626187,-0.28990985857735607,1.687199701740414,-0.2906884088779882,1.6829949234043309,-0.29311354609351215,1.6433638520938603,-0.29140327963876356,1.6778555029282116,-0.28962609291917074,1.6886894859047874,0.9991723300817532,0.9917233008175321,0.9976352288050092
3407.0,-0.419054,1.626268,-0.2898718595447747,1.6869953638776067,-0.2906428132141934,1.6827944111103037,-0.29161411024418626,1.6388169521652602,-0.29135226829819816,1.6776635416278345,-0.28959063386610984,1.6884838902277866,0.9991642941343531,0.9916429413435315,0.9976122689552948
3408.0,-0.418428,1.626353,-0.28984004789180906,1.6867948075682748,-0.2906034998894218,1.682598983625882,-0.2926782723570893,1.6430628375561196,-0.29130820302880744,1.677478769307224,-0.2895613328911435,1.688281644154791,0.9991475116162778,0.991475116162778,0.9975643189036508
