flight,estimator,axis,rms_vs_algo_median_deg,mean_vs_algo_median_deg,p95_abs_vs_algo_median_deg,max_abs_vs_algo_median_deg
1,repo_mahony,roll,1.360139411854313,0.07198262699095129,2.9673626788069165,4.977173817224543
1,soft_mahony,roll,0.8727998909172728,0.1642232390844654,2.2752945569505028,4.738518173728014
1,madgwick_imu,roll,1.151115789630541,0.1838513815910619,1.8132948685146342,10.755859729002761
1,complementary_rp,roll,3.990514548251744,-0.353218536887722,9.872290947068125,16.846783678296603
1,gyro_only,roll,1.8329641588775556,-0.6695403334409168,3.6906488187766446,6.983854504143441
1,repo_mahony,pitch,2.4345469648664686,-0.6334046726112684,5.256718950270544,7.082180536744689
1,soft_mahony,pitch,0.9120756570865557,0.4035311238555315,1.9741139239460848,5.215854256565483
1,madgwick_imu,pitch,1.1676965279074487,0.32392044644307,2.6961050717711577,8.393892365362678
1,complementary_rp,pitch,3.24359377676777,0.37695501984328594,7.796927250803646,15.584633337925696
1,gyro_only,pitch,7.95130165649571,-7.183447328797894,12.113052417366713,15.106615712815941
2,repo_mahony,roll,1.1728302461275588,0.32338557942969753,2.7317724493589135,4.538915611312694
2,soft_mahony,roll,0.8038568706949497,-0.1382654014322412,1.8267432582596104,4.689923498063457
2,madgwick_imu,roll,0.754645252046387,-0.09099816114276205,1.4457394728384032,6.640730966233757
2,complementary_rp,roll,3.637700329808811,-0.4955781688163009,7.709320116622192,17.397049916963475
2,gyro_only,roll,1.6227763018779175,0.564487779775019,3.6744878816249975,5.779107317348602
2,repo_mahony,pitch,2.8876827076200757,-1.7781084067850452,6.682387980278495,9.382744266878568
2,soft_mahony,pitch,1.7772449964297143,0.8749087712461311,4.479367534591253,9.541564401102779
2,madgwick_imu,pitch,1.6790468847398647,0.897978117054705,3.9674707480020364,11.50747920434829
2,complementary_rp,pitch,3.438926349077591,1.0169133008896536,8.193819976488939,14.352865190694686
2,gyro_only,pitch,11.08208268266315,-8.82472951923534,21.638466496578808,24.849934532024058
3,repo_mahony,roll,1.4969005970193163,0.5758080323828915,3.1724581363451136,5.246287216175664
3,soft_mahony,roll,0.7824940054524728,-0.14807925785267256,1.8678734550785054,3.926753233852738
3,madgwick_imu,roll,1.234893340707677,-0.38474637656409233,2.3694263137020792,13.631918812224884
3,complementary_rp,roll,3.548944192652337,-0.8710349861299026,8.138389830675406,13.965856279208033
3,gyro_only,roll,8.286222499208415,6.558068010205054,16.012282880381502,24.07780741074692
3,repo_mahony,pitch,3.164030446915976,-2.3550981269611437,6.133730576648595,8.508589852703084
3,soft_mahony,pitch,1.4411418212125233,0.7397826833602411,3.845085756354922,6.785756247880652
3,madgwick_imu,pitch,1.155935710164013,0.6722452313829791,2.774235821096889,6.030847720216082
