I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33
272201.000000,1000.000000,977.577454,1.000000,0.023084,-0.020833,-0.020833,329.231873,0.022238,0.000000,0.000846,39.524994,289.706879,0.000000,817.689514,1000.269775,948.518311,1008.198547,803.000000,1002.000000,958.000000,1002.000000,1.000000,1.000000,1.000000,1.000000,0.641894,1.840297,-5.124727,4.649910,11.350969,-4.560747,0.193087,4287.000000
272211.000000,1000.000000,977.435242,1.000000,0.023084,-0.008884,-0.008884,318.508118,0.022238,0.000000,0.000846,28.770889,289.737244,0.000000,830.473999,1000.269775,956.710144,1007.491943,828.000000,1008.000000,956.000000,1011.000000,1.000000,1.000000,1.000000,1.000000,0.571805,1.834510,-5.180283,5.582281,8.448355,9.780439,7.039388,4281.000000
272221.000000,1000.000000,977.333496,1.000000,0.023428,0.003150,0.003150,308.006714,0.022565,0.000000,0.000863,18.250204,289.756500,0.000000,805.585327,1003.073425,956.825500,1007.491943,803.000000,1005.000000,956.000000,1022.000000,1.000000,1.000000,1.000000,1.000000,0.507685,1.851824,-5.235398,5.582281,8.448355,9.780439,7.039388,4270.000000
272231.000000,1000.000000,977.282593,1.000000,0.023428,0.013262,0.013262,298.915466,0.022565,0.000000,0.000863,9.149320,289.766144,0.000000,805.413574,1006.185486,956.825500,1011.685669,803.000000,1014.000000,965.000000,1015.000000,1.000000,1.000000,1.000000,1.000000,0.430532,1.854860,-5.285940,5.801095,7.350912,7.650651,9.457399,4260.000000
272241.000000,1000.000000,977.298401,1.000000,0.023597,0.021915,0.021915,291.281647,0.022717,0.000000,0.000880,1.513923,289.767731,0.000000,805.413574,1011.960205,964.071838,1011.685669,822.000000,1015.000000,963.000000,1011.000000,1.000000,1.000000,1.000000,1.000000,0.339531,1.819686,-5.334384,5.801095,7.350912,7.650651,9.457399,4250.000000
272251.000000,1000.000000,977.364319,1.000000,0.023597,0.025740,0.025740,287.837799,0.022717,0.000000,0.000880,-1.927901,289.765686,0.000000,805.310303,1011.960205,964.071838,1011.685669,797.000000,989.000000,952.000000,1016.000000,1.000000,1.000000,1.000000,1.000000,0.302086,1.776569,-5.381439,5.167639,6.049337,3.630273,6.556756,4243.000000
272261.000000,1000.000000,977.449829,1.000000,0.023532,0.027382,0.027382,286.297150,0.022636,0.000000,0.000896,-3.464864,289.762024,0.000000,799.080383,1004.932800,964.071838,1013.023071,793.000000,1007.000000,963.000000,1024.000000,1.000000,1.000000,1.000000,1.000000,0.301585,1.769402,-5.428125,5.167639,6.049337,3.630273,6.556756,4239.000000
272271.000000,1000.000000,977.531311,1.000000,0.023532,0.030557,0.030557,283.432983,0.022636,0.000000,0.000896,-6.322347,289.755341,0.000000,799.080383,998.948547,961.116516,1013.023071,834.000000,1001.000000,960.000000,1015.000000,1.000000,1.000000,1.000000,1.000000,0.283246,1.746544,-5.471569,5.295964,4.912606,12.974440,12.541945,4238.000000
272281.000000,1000.000000,977.660706,1.000000,0.023379,0.038922,0.038922,275.752380,0.022469,0.000000,0.000911,-13.988203,289.740570,0.000000,822.971802,1004.932800,961.116516,1021.032104,821.000000,1012.000000,954.000000,1028.000000,1.000000,1.000000,1.000000,1.000000,0.276681,1.690481,-5.517900,5.295964,4.912606,12.974440,12.541945,4235.000000
272291.000000,1000.000000,977.849426,1.000000,0.023379,0.049448,0.049448,266.254456,0.022469,0.000000,0.000911,-23.461349,289.715820,0.000000,836.014709,1010.027771,961.116516,1020.304077,847.000000,1035.000000,961.000000,1023.000000,1.000000,1.000000,1.000000,1.000000,0.267995,1.638421,-5.560112,4.977343,4.181062,6.402224,20.652256,4227.000000
