variant,kp,ki,min_g,max_g,band_g,axis_score_rms_deg,quat_ekf,madgwick_imu,acc_used_pct,acc_weight_mean
mahony_kp0.40_ki0.02_band0.20,0.4,0.02,0.3,3.0,0.2,2.281275057111758,2.8241675,1.5537083333333332,77.66553333333333,0.49071766666666666
mahony_kp0.25_ki0.02_band0.35,0.25,0.02,0.3,3.0,0.35,2.2923569028992112,2.811504166666667,1.6108216666666666,84.25328333333333,0.5939108333333333
mahony_kp0.20_ki0.05_band0.35,0.2,0.05,0.3,3.0,0.35,2.296820260119121,2.748365,1.731244166666667,84.25328333333333,0.5939108333333333
mahony_kp0.30_ki0.00_band0.35,0.3,0.0,0.3,3.0,0.35,2.3224538000222,2.8881508333333334,1.554885,84.25328333333333,0.5939108333333333
mahony_kp0.25_ki0.01_band0.35,0.25,0.01,0.3,3.0,0.35,2.348301548269993,2.8882225000000004,1.6340933333333334,84.25328333333333,0.5939108333333333
mahony_kp2.00_ki0.05_band0.35,2.0,0.05,0.3,3.0,0.35,2.3620573548511445,2.9665266666666668,1.5234450833333333,84.25328333333333,0.5939108333333333
mahony_kp2.00_ki0.02_band0.35,2.0,0.02,0.3,3.0,0.35,2.3654262744852863,2.9724958333333333,1.5216250000000002,84.25328333333333,0.5939108333333333
mahony_kp2.00_ki0.01_band0.35,2.0,0.01,0.3,3.0,0.35,2.366769753186747,2.9748391666666665,1.5209735000000002,84.25328333333333,0.5939108333333333
mahony_kp2.00_ki0.00_band0.35,2.0,0.0,0.3,3.0,0.35,2.368252204941597,2.9773966666666665,1.5203130833333334,84.25328333333333,0.5939108333333333
mahony_kp0.20_ki0.02_band0.35,0.2,0.02,0.3,3.0,0.35,2.4028297280390922,2.9111683333333334,1.7509533333333334,84.25328333333333,0.5939108333333333
mahony_kp0.25_ki0.00_band0.35,0.25,0.0,0.3,3.0,0.35,2.4423355462007725,3.0068983333333335,1.6920166666666665,84.25328333333333,0.5939108333333333
mahony_kp0.20_ki0.01_band0.35,0.2,0.01,0.3,3.0,0.35,2.477814364489467,3.0116983333333334,1.7878083333333334,84.25328333333333,0.5939108333333333
mahony_kp0.20_ki0.00_band0.35,0.2,0.0,0.3,3.0,0.35,2.612606207139642,3.1778516666666667,1.8789875,84.25328333333333,0.5939108333333333
bf_gate_kp0.25_ki0.00_band0.10,0.25,0.0,0.9,1.1,0.1,3.3040980634472836,3.8750416666666667,2.6084716666666665,58.83208333333334,0.34966333333333327
