flight,variant,kp,ki,min_g,max_g,band_g,ref,axis,rms_diff_deg,p95_abs_diff_deg,mean_diff_deg,final_diff_deg,acc_used_pct,acc_weight_mean
1,mahony_kp0.30_ki0.00_band0.35,0.3,0,0.3,3,0.35,quat_ekf,roll,2.90492,6.00299,0.625174,0.884746,80.5206,0.57525
1,mahony_kp0.30_ki0.00_band0.35,0.3,0,0.3,3,0.35,quat_ekf,pitch,3.51634,7.38047,-1.99593,-0.21616,80.5206,0.57525
1,mahony_kp0.30_ki0.00_band0.35,0.3,0,0.3,3,0.35,madgwick_imu,roll,1.76206,3.51345,0.000902938,0.353696,80.5206,0.57525
1,mahony_kp0.30_ki0.00_band0.35,0.3,0,0.3,3,0.35,madgwick_imu,pitch,1.79699,3.5466,-0.160451,-0.130057,80.5206,0.57525
1,mahony_kp0.30_ki0.01_band0.35,0.3,0.01,0.3,3,0.35,quat_ekf,roll,2.90597,6.01318,0.61421,0.731812,80.5206,0.57525
1,mahony_kp0.30_ki0.01_band0.35,0.3,0.01,0.3,3,0.35,quat_ekf,pitch,3.41128,7.37544,-1.80268,-0.136688,80.5206,0.57525
1,mahony_kp0.30_ki0.01_band0.35,0.3,0.01,0.3,3,0.35,madgwick_imu,roll,1.75991,3.51282,-0.0100606,0.200762,80.5206,0.57525
1,mahony_kp0.30_ki0.01_band0.35,0.3,0.01,0.3,3,0.35,madgwick_imu,pitch,1.80845,3.65639,0.0327919,-0.0505853,80.5206,0.57525
1,mahony_kp0.30_ki0.02_band0.35,0.3,0.02,0.3,3,0.35,quat_ekf,roll,2.90701,6.02067,0.603617,0.596995,80.5206,0.57525
1,mahony_kp0.30_ki0.02_band0.35,0.3,0.02,0.3,3,0.35,quat_ekf,pitch,3.32335,7.27578,-1.62775,-0.11153,80.5206,0.57525
1,mahony_kp0.30_ki0.02_band0.35,0.3,0.02,0.3,3,0.35,madgwick_imu,roll,1.75832,3.51004,-0.0206539,0.0659455,80.5206,0.57525
1,mahony_kp0.30_ki0.02_band0.35,0.3,0.02,0.3,3,0.35,madgwick_imu,pitch,1.83888,3.90807,0.207731,-0.0254273,80.5206,0.57525
1,mahony_kp0.30_ki0.05_band0.35,0.3,0.05,0.3,3,0.35,quat_ekf,roll,2.90973,6.02806,0.573902,0.287418,80.5206,0.57525
1,mahony_kp0.30_ki0.05_band0.35,0.3,0.05,0.3,3,0.35,quat_ekf,pitch,3.14169,6.97875,-1.20049,-0.23817,80.5206,0.57525
1,mahony_kp0.30_ki0.05_band0.35,0.3,0.05,0.3,3,0.35,madgwick_imu,roll,1.75585,3.5121,-0.0503692,-0.243632,80.5206,0.57525
