variant,kp,ki,trust_band_g,acc_used_pct,acc_weight_mean,score_rms_deg,quat_ekf,madgwick_imu
mahony_kp0p6_band0p50,0.6,0.02,0.5,85.42039691230379,0.6426900108282191,1.9681348531446576,2.562265561687287,1.0759292275549597
mahony_kp0p8_ki0p02,0.8,0.02,0.35,84.25327411790765,0.593911005897443,1.9895213904397322,2.60788421817493,1.0406574780683673
mahony_kp1p0_ki0p02,1.0,0.02,0.35,84.25327411790765,0.593911005897443,2.009499269622201,2.638802482225147,1.037337168985538
mahony_kp0p8_ki0p00,0.8,0.0,0.35,84.25327411790765,0.593911005897443,2.0097975151493763,2.6374272045566878,1.0414137060771351
mahony_kp0p6_ki0p02,0.6,0.02,0.35,84.25327411790765,0.593911005897443,2.0223131598613664,2.622200956745395,1.1309795867696066
mahony_kp1p0_ki0p00,1.0,0.0,0.35,84.25327411790765,0.593911005897443,2.0225310069925264,2.6583635128802685,1.035861138782745
mahony_kp0p6_ki0p00,0.6,0.0,0.35,84.25327411790765,0.593911005897443,2.0568795171091683,2.6711188995453385,1.138038337805822
mahony_kp1p2_ki0p02,1.2,0.02,0.35,84.25327411790765,0.593911005897443,2.0627679929305365,2.6971935633556554,1.0942060921433172
mahony_kp0p5_ki0p02,0.5,0.02,0.35,84.25327411790765,0.593911005897443,2.0675686438285577,2.6551581375186215,1.2165932888948094
mahony_kp1p2_ki0p00,1.2,0.0,0.35,84.25327411790765,0.593911005897443,2.07168202295276,2.7109667761821443,1.0922339302897202
mahony_kp0p5_ki0p00,0.5,0.0,0.35,84.25327411790765,0.593911005897443,2.115221941400744,2.7215134205189893,1.2304301309884886
mahony_kp0p4_ki0p02,0.4,0.02,0.35,84.25327411790765,0.593911005897443,2.140422653425909,2.713570528384924,1.3359479851923965
mahony_kp0p6_band0p20,0.6,0.02,0.2,77.66555024357757,0.49071790591378966,2.1704350500989102,2.765155957020853,1.324833026050435
mahony_kp0p4_ki0p00,0.4,0.0,0.35,84.25327411790765,0.593911005897443,2.210045952654388,2.8085762860802572,1.362608817953666
mahony_kp0p3_ki0p02,0.3,0.02,0.35,84.25327411790765,0.593911005897443,2.2541722651827856,2.8103373773400433,1.5018712358185664
mahony_kp0p3_ki0p00,0.3,0.0,0.35,84.25327411790765,0.593911005897443,2.365452313838153,2.9579528512194666,1.5562245043941254
bf_gate_kp0p25_ki0,0.25,0.0,0.1,58.83209463107355,0.349663334230369,3.3331509977566993,3.9279297430006017,2.6047158217308173
