flight,axis,left,right,rms_diff_deg,p95_abs_diff_deg,mean_diff_deg,final_diff_deg
1,roll,mahony_kp0p3_ki0p00,quat_ekf,2.9816207027911186,6.001098783095811,0.5749651776033239,1.152007104059669
1,pitch,mahony_kp0p3_ki0p00,quat_ekf,3.5639731411338786,7.711939476929692,-2.006103103082375,-0.47103720949686956
1,roll,mahony_kp0p3_ki0p00,madgwick_imu,1.7368428226610175,3.505911746033267,0.007755029626742295,0.3552696594383118
1,pitch,mahony_kp0p3_ki0p00,madgwick_imu,1.8215966209871859,3.55843703688417,-0.1505706813764539,-0.12423260066744923
1,roll,mahony_kp0p3_ki0p02,quat_ekf,2.982859462510005,6.007454649701566,0.5534083270262079,0.8642568677069171
1,pitch,mahony_kp0p3_ki0p02,quat_ekf,3.372062788674048,7.490447837650067,-1.6379205551340172,-0.36640775828320415
1,roll,mahony_kp0p3_ki0p02,madgwick_imu,1.7330359396879786,3.5036232118196677,-0.013801820950373916,0.0675194230855598
1,pitch,mahony_kp0p3_ki0p02,madgwick_imu,1.863976191171448,3.931129578928945,0.21761186657190398,-0.01960314945378383
1,roll,mahony_kp0p4_ki0p00,quat_ekf,2.935622851067471,6.025226485444842,0.5845042229817775,1.0041218974736146
1,pitch,mahony_kp0p4_ki0p00,quat_ekf,3.413387139094487,7.359925441853841,-1.914709296898159,-0.4856551318057476
1,roll,mahony_kp0p4_ki0p00,madgwick_imu,1.63637500820625,3.365040480201305,0.01729407500519572,0.20738445285225726
1,pitch,mahony_kp0p4_ki0p00,madgwick_imu,1.570317990985535,2.834679184279374,-0.05917687519223739,-0.13885052297632727
1,roll,mahony_kp0p4_ki0p02,quat_ekf,2.9369038930416007,6.03331382725408,0.5700312528743746,0.8364726015130155
1,pitch,mahony_kp0p4_ki0p02,quat_ekf,3.282016133663945,7.247640263024252,-1.6710896935887074,-0.337314498100427
1,roll,mahony_kp0p4_ki0p02,madgwick_imu,1.634936318025556,3.3606765912777687,0.0028211048977929273,0.039735156891658185
1,pitch,mahony_kp0p4_ki0p02,madgwick_imu,1.6033562974143107,3.075139663236941,0.18444272811721363,0.009490110728993306
1,roll,mahony_kp0p5_ki0p00,quat_ekf,2.9076856959529116,6.162066007447712,0.5851505430505685,0.9372928842141652
1,pitch,mahony_kp0p5_ki0p00,quat_ekf,3.3363515163262085,7.157029986914486,-1.8731640182176923,-0.4549184589541979
1,roll,mahony_kp0p5_ki0p00,madgwick_imu,1.5568063157634755,3.1672344238230887,0.0179403950739867,0.14055543959280792
1,pitch,mahony_kp0p5_ki0p00,madgwick_imu,1.3893558753940909,2.3415083452246135,-0.01763159651177141,-0.10811385012477759
1,roll,mahony_kp0p5_ki0p02,quat_ekf,2.9088607834847795,6.1662748449110625,0.5750535604086636,0.8374054921209497
1,pitch,mahony_kp0p5_ki0p02,quat_ekf,3.2400014435059363,7.099336177076611,-1.6996990892918022,-0.308047598359628
1,roll,mahony_kp0p5_ki0p02,madgwick_imu,1.5563932284359356,3.1519681733018667,0.007843412432082024,0.04066804749959241
1,pitch,mahony_kp0p5_ki0p02,madgwick_imu,1.413090237891343,2.5832659234377027,0.1558333324141189,0.0387570104697923
1,roll,mahony_kp0p6_ki0p00,quat_ekf,2.894623059114038,6.258578262627101,0.5814299540123042,0.9048671029641429
1,pitch,mahony_kp0p6_ki0p00,quat_ekf,3.297919962350182,6.885902942581402,-1.8522589088999595,-0.42368333409614967
1,roll,mahony_kp0p6_ki0p00,madgwick_imu,1.4980036965923333,3.0954643690950263,0.01421980603572244,0.10812965834278554
1,pitch,mahony_kp0p6_ki0p00,madgwick_imu,1.2584477748960285,1.995747310442768,0.0032735128059617337,-0.07687872526672934
1,roll,mahony_kp0p6_ki0p02,quat_ekf,2.895663001465522,6.2586602675939975,0.5741505382754143,0.8440118765654003
1,pitch,mahony_kp0p6_ki0p02,quat_ekf,3.2241146640897393,6.906174000371235,-1.7224507102985713,-0.2934974673754176
1,roll,mahony_kp0p6_ki0p02,madgwick_imu,1.49807433336284,3.09116032356093,0.006940390298832554,0.047274431944043016
1,pitch,mahony_kp0p6_ki0p02,madgwick_imu,1.2750326956192737,2.098003918565321,0.13308171140734987,0.05330714145400273
1,roll,mahony_kp0p8_ki0p00,quat_ekf,2.9038282397605397,6.467658282492781,0.5676051794388991,0.8762764842157451
1,pitch,mahony_kp0p8_ki0p00,quat_ekf,3.28194761576092,6.8730838751105265,-1.8350854817124187,-0.3834379457243111
1,roll,mahony_kp0p8_ki0p00,madgwick_imu,1.4398425609532182,3.0743327277658814,0.0003950314623173568,0.0795390395943878
1,pitch,mahony_kp0p8_ki0p00,madgwick_imu,1.1111407108449922,1.7249563380608586,0.020446939993502482,-0.03663333689489079
1,roll,mahony_kp0p8_ki0p02,quat_ekf,2.904630992747055,6.470794163319096,0.5634846985642461,0.8525187859934897
1,pitch,mahony_kp0p8_ki0p02,quat_ekf,3.23478011804457,6.7895892537077165,-1.7546846871621073,-0.2907982256667698
1,roll,mahony_kp0p8_ki0p02,madgwick_imu,1.440282302667912,3.071758130019564,-0.0037254494123356275,0.05578134137213242
1,pitch,mahony_kp0p8_ki0p02,madgwick_imu,1.1186853990650598,1.764483785060298,0.10084773454381396,0.0560063831626505
1,roll,mahony_kp1p0_ki0p00,quat_ekf,2.9489543563109217,6.585242726345294,0.55015214701558,0.8626687758491123
1,pitch,mahony_kp1p0_ki0p00,quat_ekf,3.3091729885996086,6.809253957638511,-1.8304742176862614,-0.36293724399908056
1,roll,mahony_kp1p0_ki0p00,madgwick_imu,1.4504072677304674,3.0724579041201108,-0.017058000961001706,0.06593133122775496
1,pitch,mahony_kp1p0_ki0p00,madgwick_imu,1.0789469464503667,1.7561530837412447,0.02505820401965973,-0.016132635169660237
1,roll,mahony_kp1p0_ki0p02,quat_ekf,2.949582504451255,6.5813065269440845,0.5475820054699851,0.8531992392916887
1,pitch,mahony_kp1p0_ki0p02,quat_ekf,3.2766146274009915,6.747638328322682,-1.7759217442934596,-0.2982759688430623
1,roll,mahony_kp1p0_ki0p02,madgwick_imu,1.4509321369084567,3.066766851630473,-0.019628142506596537,0.05646179467033141
1,pitch,mahony_kp1p0_ki0p02,madgwick_imu,1.0818403352975605,1.7847325278848574,0.07961067741246156,0.048528639986358035
1,roll,mahony_kp1p2_ki0p00,quat_ekf,3.019445138367654,6.681073500832736,0.5317209977838362,0.8538186096324498
1,pitch,mahony_kp1p2_ki0p00,quat_ekf,3.3594101062016057,6.845844538027929,-1.830473303033945,-0.3513083433218982
1,roll,mahony_kp1p2_ki0p00,madgwick_imu,1.5124415040592323,3.318096348708181,-0.03548915019274568,0.057081165011092505
1,pitch,mahony_kp1p2_ki0p00,madgwick_imu,1.1229983264656453,2.0110000647809096,0.025059118671976025,-0.004503734492477873
1,roll,mahony_kp1p2_ki0p02,quat_ekf,3.01994497044322,6.681444858748404,0.5299831429711918,0.8502933032153113
1,pitch,mahony_kp1p2_ki0p02,quat_ekf,3.3357112525368473,6.797699629208403,-1.7910882332863527,-0.3053520521614721
1,roll,mahony_kp1p2_ki0p02,madgwick_imu,1.5129548845586667,3.3169775871076737,-0.037227005005389925,0.05355585859395395
1,pitch,mahony_kp1p2_ki0p02,madgwick_imu,1.1236616519745783,2.005570816305008,0.06444418841956846,0.041452556667948226
1,roll,mahony_kp0p6_band0p20,quat_ekf,3.0166401453306304,6.185625340869822,0.68756868139112,0.8296014059012995
1,pitch,mahony_kp0p6_band0p20,quat_ekf,3.340686063967759,7.4232308986996,-1.7286478459473233,-0.3221342106040992
1,roll,mahony_kp0p6_band0p20,madgwick_imu,1.6254927992679347,3.3747962959910214,0.1203585334145381,0.03286396127994218
1,pitch,mahony_kp0p6_band0p20,madgwick_imu,1.5332703408119923,2.9990284329374997,0.12688457575859785,0.024670398225321133
1,roll,mahony_kp0p6_band0p50,quat_ekf,2.8194014966688163,6.1006678839913775,0.46955779735902675,0.8512222114993686
1,pitch,mahony_kp0p6_band0p50,quat_ekf,3.142350782645072,6.675450369535049,-1.6948643971837924,-0.28358805952385446
1,roll,mahony_kp0p6_band0p50,madgwick_imu,1.4658385914885057,2.9444484224011562,-0.097652350617555,0.05448476687801129
1,pitch,mahony_kp0p6_band0p50,madgwick_imu,1.200694312730996,1.8644012914144579,0.160668024522129,0.06321654930556586
1,roll,bf_gate_kp0p25_ki0,quat_ekf,3.124543254361027,6.1563002185413085,0.45534139337647117,1.3299567226806173
1,pitch,bf_gate_kp0p25_ki0,quat_ekf,4.546771919310548,9.146940046281845,-2.8128575407602594,-0.1530683690911654
1,roll,bf_gate_kp0p25_ki0,madgwick_imu,1.9803603349962835,4.023255887888535,-0.11186875460011057,0.53321927805926
1,pitch,bf_gate_kp0p25_ki0,madgwick_imu,2.8276021147674255,5.632569863875626,-0.9573251190543381,0.19373623973825493
1,roll,madgwick_imu,quat_ekf,2.9788908380030024,6.724621982639257,0.5672101479765819,0.7967374446213573
1,pitch,madgwick_imu,quat_ekf,3.2541307385452978,7.0562277366582755,-1.8555324217059215,-0.3468046088294203
2,roll,mahony_kp0p3_ki0p00,quat_ekf,2.1872033477011836,4.387476955497623,-0.18367703587930198,1.9071788287078335
2,pitch,mahony_kp0p3_ki0p00,quat_ekf,3.5314306248447878,7.081070273673822,-2.7518024779376,-1.559381695831139
2,roll,mahony_kp0p3_ki0p00,madgwick_imu,1.2535622184462176,2.3907150734882365,0.0909887220060621,1.6411081235534148
2,pitch,mahony_kp0p3_ki0p00,madgwick_imu,1.725639833935364,3.0666904679252385,-0.8548343988084367,0.336599068023955
2,roll,mahony_kp0p3_ki0p02,quat_ekf,2.2000529717954045,4.406416765398954,-0.2750000083633568,1.6825016939505137
2,pitch,mahony_kp0p3_ki0p02,quat_ekf,3.2024352447557223,6.606193863343906,-2.349253704857057,-1.301143311701698
2,roll,mahony_kp0p3_ki0p02,madgwick_imu,1.2443845716869597,2.4062891439988543,-0.00033425047799280345,1.416430988796095
2,pitch,mahony_kp0p3_ki0p02,madgwick_imu,1.574137638515123,2.6779230579671327,-0.4522856257278939,0.5948374521533961
2,roll,mahony_kp0p4_ki0p00,quat_ekf,2.130070950618992,4.269361872057524,-0.21460099711045688,1.4315400063327641
2,pitch,mahony_kp0p4_ki0p00,quat_ekf,3.2636176644337827,6.410983551231668,-2.465999928150255,-1.604289922547776
2,roll,mahony_kp0p4_ki0p00,madgwick_imu,1.150388672875421,2.063315250410466,0.06006476077490717,1.1654693011783455
2,pitch,mahony_kp0p4_ki0p00,madgwick_imu,1.5011568321938493,2.541705432273904,-0.5690318490210922,0.29169084130731804
2,roll,mahony_kp0p4_ki0p02,quat_ekf,2.1386307768454493,4.330712357681425,-0.27366899007116396,1.26108094499565
2,pitch,mahony_kp0p4_ki0p02,quat_ekf,3.0601981001401386,6.097467494917075,-2.2096184604486715,-1.4848873869895414
2,roll,mahony_kp0p4_ki0p02,madgwick_imu,1.1447732980852199,2.070650992666605,0.0009967678142000543,0.9950102398412313
2,pitch,mahony_kp0p4_ki0p02,madgwick_imu,1.4357003889307494,2.313226850149544,-0.31265038131950823,0.4110933768655527
2,roll,mahony_kp0p5_ki0p00,quat_ekf,2.0859719061843927,4.183194307163962,-0.2372960334165291,1.0836157163289424
2,pitch,mahony_kp0p5_ki0p00,quat_ekf,3.1084477665264427,6.164707955561618,-2.293880145892595,-1.6991461083233945
2,roll,mahony_kp0p5_ki0p00,madgwick_imu,1.0692592308521098,1.872103860190777,0.037369724468834964,0.8175450111745237
2,pitch,mahony_kp0p5_ki0p00,madgwick_imu,1.3706505509979146,2.1600398368712965,-0.396912066763432,0.19683465553169954
2,roll,mahony_kp0p5_ki0p02,quat_ekf,2.092137027421903,4.227347157689669,-0.2786787322763363,0.9532750272185626
2,pitch,mahony_kp0p5_ki0p02,quat_ekf,2.970292872613518,5.953183024803374,-2.1163559638027163,-1.637880063965783
2,roll,mahony_kp0p5_ki0p02,madgwick_imu,1.06564977291933,1.891103793170133,-0.004012974390972356,0.687204322064144
2,pitch,mahony_kp0p5_ki0p02,madgwick_imu,1.341127470556121,2.2130135865225187,-0.2193878846735531,0.25810069988931117
