flight,variant,kp,ki,trust_band_g,acc_used_pct,acc_weight_mean
4,bf_gate_kp0p25_ki0,0.25,0.0,0.1,63.53291658527056,0.3512724269313266
5,mahony_kp0p3_ki0p00,0.3,0.0,0.35,86.14716027458078,0.5931110348073994
5,mahony_kp0p3_ki0p02,0.3,0.02,0.35,86.14716027458078,0.5931110348073994
5,mahony_kp0p4_ki0p00,0.4,0.0,0.35,86.14716027458078,0.5931110348073994
5,mahony_kp0p4_ki0p02,0.4,0.02,0.35,86.14716027458078,0.5931110348073994
5,mahony_kp0p5_ki0p00,0.5,0.0,0.35,86.14716027458078,0.5931110348073994
5,mahony_kp0p5_ki0p02,0.5,0.02,0.35,86.14716027458078,0.5931110348073994
5,mahony_kp0p6_ki0p00,0.6,0.0,0.35,86.14716027458078,0.5931110348073994
5,mahony_kp0p6_ki0p02,0.6,0.02,0.35,86.14716027458078,0.5931110348073994
5,mahony_kp0p8_ki0p00,0.8,0.0,0.35,86.14716027458078,0.5931110348073994
5,mahony_kp0p8_ki0p02,0.8,0.02,0.35,86.14716027458078,0.5931110348073994
5,mahony_kp1p0_ki0p00,1.0,0.0,0.35,86.14716027458078,0.5931110348073994
5,mahony_kp1p0_ki0p02,1.0,0.02,0.35,86.14716027458078,0.5931110348073994
5,mahony_kp1p2_ki0p00,1.2,0.0,0.35,86.14716027458078,0.5931110348073994
5,mahony_kp1p2_ki0p02,1.2,0.02,0.35,86.14716027458078,0.5931110348073994
5,mahony_kp0p6_band0p20,0.6,0.02,0.2,78.85147365185615,0.4862603976781636
5,mahony_kp0p6_band0p50,0.6,0.02,0.5,87.55763122844165,0.6442973152167001
5,bf_gate_kp0p25_ki0,0.25,0.0,0.1,58.397083432942864,0.34229173584018596
6,mahony_kp0p3_ki0p00,0.3,0.0,0.35,92.7503903635958,0.713112658799615
6,mahony_kp0p3_ki0p02,0.3,0.02,0.35,92.7503903635958,0.713112658799615
6,mahony_kp0p4_ki0p00,0.4,0.0,0.35,92.7503903635958,0.713112658799615
6,mahony_kp0p4_ki0p02,0.4,0.02,0.35,92.7503903635958,0.713112658799615
6,mahony_kp0p5_ki0p00,0.5,0.0,0.35,92.7503903635958,0.713112658799615
6,mahony_kp0p5_ki0p02,0.5,0.02,0.35,92.7503903635958,0.713112658799615
6,mahony_kp0p6_ki0p00,0.6,0.0,0.35,92.7503903635958,0.713112658799615
6,mahony_kp0p6_ki0p02,0.6,0.02,0.35,92.7503903635958,0.713112658799615
6,mahony_kp0p8_ki0p00,0.8,0.0,0.35,92.7503903635958,0.713112658799615
6,mahony_kp0p8_ki0p02,0.8,0.02,0.35,92.7503903635958,0.713112658799615
6,mahony_kp1p0_ki0p00,1.0,0.0,0.35,92.7503903635958,0.713112658799615
6,mahony_kp1p0_ki0p02,1.0,0.02,0.35,92.7503903635958,0.713112658799615
6,mahony_kp1p2_ki0p00,1.2,0.0,0.35,92.7503903635958,0.713112658799615
6,mahony_kp1p2_ki0p02,1.2,0.02,0.35,92.7503903635958,0.713112658799615
6,mahony_kp0p6_band0p20,0.6,0.02,0.2,86.41640907980413,0.6204612848478742
6,mahony_kp0p6_band0p50,0.6,0.02,0.5,93.77330231668844,0.7575447229429132
6,bf_gate_kp0p25_ki0,0.25,0.0,0.1,69.9574052239678,0.4957945522154644
