tick,gx_raw,gy_raw,gz_raw,ax_raw,ay_raw,az_raw,gx_f,gy_f,gz_f,ax_f,ay_f,az_f,roll_log,pitch_log,yaw_log,acc_roll,acc_pitch,gyro_mag_f,acc_mag_f,roll_cur,pitch_cur,yaw_cur,int_x_dps,int_y_dps,zbias_dps,acc_weight_final,is_static,roll_oldsim,pitch_oldsim,yaw_oldsim
0,0.0,-0.243902,-0.060976,0.068848,-0.041992,-1.005371,0.0,-0.243902,-0.060976,0.068848,-0.041992,-1.005371,0.002327,0.003571,0.0,2.3917208048286285,3.9141078572009884,0.25140854834313014,1.0086001302840486,0.002326834419851311,0.0035710602758922596,7.25120247927201e-08,0.0,0.0,0.0,0.9754281991884326,0,0.002326834419851311,0.0035710602758922596,7.25120247927201e-08
50,-0.064692,0.314764,0.256283,0.100098,-0.049805,-1.006836,-0.100546,-0.113212,0.224045,0.07862,-0.045612,-0.994709,1.528486,2.391828,0.029144,2.6254369217890745,4.514435944426107,0.2704119396125104,0.9988531191446518,0.11770821250975468,0.21129903939702335,-0.00018441519254244773,0.0,0.0,0.0,0.996723197556148,0,0.11770821250975468,0.21129903939702335,-0.00018441519254244773
100,-0.186644,-0.416943,0.134332,0.062012,-0.031738,-1.006348,-0.116721,-0.061217,0.172774,0.074815,-0.043668,-0.995439,1.570124,2.480121,0.031859,2.511845526084438,4.29402934331334,0.21730662209421966,0.999201171521531,0.22625724987764667,0.4030867560568473,0.0019399390491462068,9.095986157631881e-05,0.0001552213634215395,0.0006563631240000001,0.99771763291866,1,0.22625711350583158,0.40308652335772494,0.0019399381299511887
150,-0.064692,-0.112065,0.256283,0.060547,-0.041992,-1.0,-0.112689,-0.014201,0.22444,0.073339,-0.043317,-0.9942,1.608371,2.568912,0.034176,2.494782337480198,4.214903400726155,0.2515428248271057,0.9978419771737406,0.3283161624597784,0.5905265972002889,0.004348947895847363,0.0022473528292357692,0.003929711152015551,0.00526396193247305,0.9938342204964016,1,0.32825703451735444,0.5904227673833314,0.004371112852373374
200,-0.125668,-0.234016,0.195308,0.05957,-0.041016,-1.004395,-0.150428,-0.097411,0.219435,0.075603,-0.043829,-0.994697,1.644206,2.648219,0.035958,2.522972744178277,4.342272461658769,0.283318205080436,0.998528375490151,0.42489769969341773,0.7636965488119482,0.006567210471121113,0.004283898157774435,0.007459455295353674,0.007275035793591858,0.9957953585432887,1,0.424680731787979,0.7633174120942461,0.006619586550477421
250,-0.064692,0.009886,0.195308,0.071289,-0.038086,-1.005859,-0.122873,-0.0529,0.251262,0.074325,-0.043295,-0.995306,1.6785,2.727925,0.039059,2.490749533288069,4.266646132109787,0.28465554056262454,0.9990158638810497,0.5170501306971087,0.932935502859579,0.009989497585958742,0.006230098057895716,0.010882639607199625,0.01016302705490038,0.9971881825172848,1,0.5165891035232768,0.9321217614624016,0.010318044119453869
300,-0.125668,-0.05109,0.134332,0.069824,-0.041992,-1.005371,-0.141176,-0.046817,0.230803,0.074664,-0.04405,-0.994689,1.709746,2.800695,0.041858,2.5356981933478244,4.288535728488968,0.27457698241841033,0.9984594744490134,0.603448372494017,1.0910129670326592,0.013126126027569173,0.008076654338791718,0.014089615370609909,0.0118248098896608,0.9955984984257525,1,0.6026603688182587,1.0896259669061599,0.013528192435062885
350,-0.125668,0.009886,0.134332,0.067871,-0.04248,-1.005371,-0.118838,-0.06289,0.193744,0.074321,-0.042924,-0.995163,1.742911,2.87277,0.044317,2.4697869461915216,4.267095531725577,0.2358269702133325,0.9988570855662986,0.6891736793763172,1.2443402012448328,0.015609255753146159,0.009883409667169222,0.017188793136437303,0.01451320478001469,0.9967345301894246,1,0.6879880365024671,1.2422518165838528,0.016250611773028795
400,-0.186644,-0.112065,0.134332,0.070313,-0.041504,-1.005859,-0.137292,-0.04174,0.097804,0.074274,-0.043371,-0.994421,1.772657,2.940591,0.046058,2.497334028024415,4.267488539753445,0.1736575459921048,0.9981336563597082,0.7689240593969284,1.3894593978367207,0.01754762750552701,0.011582111270417571,0.020115362625968622,0.016135777966343457,0.9946675895991662,1,0.7672704028299933,1.3865594517311028,0.01817504649590634
450,-0.186644,0.009886,0.134332,0.072266,-0.041504,-1.006348,-0.118012,-0.007065,0.088142,0.073936,-0.0435,-0.994021,1.802785,3.005816,0.047794,2.5057591396308303,4.249815673933863,0.14746443141652837,0.9977156561550992,0.8466941238958774,1.5282501055270876,0.019610666446843023,0.013207597259694446,0.02290247019801344,0.02012767510737466,0.9934733033002833,1,0.8445137695762805,1.5244386495988358,0.02022058577622217
500,-0.003717,-0.112065,0.134332,0.067383,-0.041992,-1.004395,-0.134455,-0.051114,0.126212,0.07435,-0.042774,-0.994887,1.830463,3.067077,0.0495,2.461848720552273,4.269959629477714,0.19136419979975355,0.9985778288871628,0.9198403615175536,1.6597399657064655,0.021769447883742313,0.014767062923750717,0.025547560613916002,0.021440082057117088,0.9959366539633224,1,0.9170809367306779,1.6549291932399062,0.022358257170873357
550,-0.10534266666666667,-0.05109,0.11400666666666667,0.06705733333333333,-0.041015666666666666,-1.0050459999999999,-0.12708066666666668,-0.04801066666666667,0.11152566666666668,0.07398933333333334,-0.043006666666666665,-0.9944703333333333,1.8574843333333333,3.1250093333333333,0.051139333333333335,2.476258979360524,4.251050344487773,0.17576260774028893,0.9981459005100407,0.9904788191862444,1.785191663621843,0.023992917668067177,0.016253087065885838,0.02807190687545763,0.02267797427115643,0.9947025728858306,1,0.9870940673552482,1.7793036748913147,0.02455705381335205
600,-0.064692,-0.05109,0.073356,0.066895,-0.042969,-1.006836,-0.079727,-0.085419,0.136574,0.074129,-0.04317,-0.994578,1.882219,3.179821,0.052667,2.48538294969826,4.258556746129771,0.17973663390082725,0.9982705823698302,1.0560680060311294,1.902917929071255,0.02619999443092336,0.017644264723587502,0.030464889445235767,0.025171697785966746,0.9950588067709435,1,1.0520181585317994,1.8958857498195674,0.026736231543296723
650,-0.247619,-0.05109,0.012381,0.067383,-0.046387,-1.005371,-0.09346,-0.033397,0.125008,0.073913,-0.04252,-0.994715,1.905732,3.231485,0.054137,2.44767027810731,4.245730702684852,0.15961557340372523,0.9983631669858418,1.118847834587456,2.0152381907318366,0.02844090892046269,0.018968341486452267,0.03273783775218573,0.025399173580372667,0.9953233342452623,1,1.1140983751279856,2.0070035727158735,0.028945917951113617
700,-0.125668,0.009886,0.042868500000000004,0.068848,-0.0412595,-1.0078125,-0.1028135,-0.050639,0.09467,0.07416400000000001,-0.042359,-0.9944185000000001,1.9278695,3.2808659999999996,0.055593000000000004,2.439139666262313,4.261388226304413,0.14865171712176756,0.9980795243462568,1.1785928951844706,2.12277147918536,0.03072196576077249,0.020238397096774073,0.03490345100062183,0.025210170824740384,0.9945129267035908,1,1.173113949009214,2.1132840743947505,0.031192500487569986
750,-0.125668,0.009886,0.073356,0.068848,-0.041016,-1.006348,-0.114724,-0.031081,0.048597,0.074224,-0.042803,-0.995422,1.94895,3.330224,0.057064,2.4621933414401718,4.260466359586362,0.12841064265083327,0.9991027259841703,1.2351396407044974,2.226725712360183,0.033032591446080034,0.021454799914700853,0.036984125664589036,0.025203937606180216,0.9974363599547722,1,1.228906722945573,2.2159441838751985,0.03346561472871169
800,-0.064692,-0.05109,0.012381,0.0700685,-0.043456999999999996,-1.006592,-0.12125249999999999,-0.0437695,0.063495,0.073978,-0.0431475,-0.9949265,1.9683465,3.3756684999999997,0.0584845,2.4832201726914485,4.248437661952241,0.14369952300373162,0.9986056236785872,1.2886823109047014,2.32501124334024,0.03535240980991842,0.022623418200574192,0.03895451072195647,0.025136185934563272,0.9960160676531062,1,1.281673110271961,2.312899060478399,0.035745080703037675
