input,param,kp,ki,window,start_s,end_s,roll_std_deg,pitch_std_deg,yaw_std_deg,mean_abs_droll_vs_current_deg,mean_abs_dpitch_vs_current_deg,mean_abs_dyaw_vs_current_deg,max_abs_droll_vs_current_deg,max_abs_dpitch_vs_current_deg,max_abs_dyaw_vs_current_deg,acc_weight_mean,gyro_mag_mean_dps,gyro_mag_p95_dps
filtered,inav_numeric(0.20/0.005),0.2,0.005,full_dynamic,45.774,198.552,2.6615616595003586,2.9198184826267353,9.44423455168304,0.984196471003411,2.0821505713261215,0.15147766259425532,3.988033962380335,7.732803982071089,0.8748179173829769,0.5132168522619641,17.59581243265238,37.894648473876494
filtered,inav_numeric(0.20/0.005),0.2,0.005,takeoff_12s,45.774,57.773,1.202892871687977,2.28413623528545,1.35051018213002,0.8065827450953661,1.250637480964011,0.08023612653398556,2.7718384802004588,4.074568278452015,0.43412830717841966,0.6059181703035973,13.74589072196481,32.505762801221145
filtered,inav_numeric(0.20/0.005),0.2,0.005,hover_like_8s,194.552,198.552,0.26002058488731195,0.7898224594661583,0.7125834645059091,0.8960348356012137,0.6234339797362525,0.12401620047667605,1.046522938153902,0.9506113901619997,0.16900748765201346,0.9049301812719864,5.043804399348954,20.293451912150136
filtered,inav_numeric(0.20/0.005),0.2,0.005,aggressive_8s,70.052,78.051,5.923180633874869,3.98162290207851,6.386462671115188,1.5206838892001897,2.7503108969160657,0.22537517169318314,3.7555556342641285,4.91906761553096,0.8748179173829769,0.40061524321536846,22.55507263341108,50.48071681458935
filtered,inav_numeric(0.20/0.005),0.2,0.005,landing_12s,186.553,198.552,1.266311033446821,1.1099586521274374,3.4974209839470562,0.8073606512373438,0.6694300456628549,0.12835347772918676,1.6463736348848164,1.901542662055209,0.19578041525412893,0.7461041212069314,11.20213916052302,28.829312733952566
filtered,soft(0.80/0.010),0.8,0.01,full_dynamic,45.774,198.552,2.390401425105018,2.7201210985393747,9.431265031169794,0.19594705425351497,0.2401215335556691,0.03916336024655211,0.8202147453516222,1.3032338768234697,0.20389659264301052,0.5132168522619641,17.59581243265238,37.894648473876494
filtered,soft(0.80/0.010),0.8,0.01,takeoff_12s,45.774,57.773,1.317144093871775,1.9923234214977679,1.3447392173023422,0.1859161578763716,0.22725706307216942,0.01972611703487712,0.5979196138010661,0.7642043728158803,0.0496541093288031,0.6059181703035973,13.74589072196481,32.505762801221145
filtered,soft(0.80/0.010),0.8,0.01,hover_like_8s,194.552,198.552,0.27717509069734486,0.8355281176419971,0.701905557085405,0.03687372326434322,0.07320937702868104,0.07237846296882172,0.08382100916519564,0.1669567598084747,0.0747212508773959,0.9049301812719864,5.043804399348954,20.293451912150136
filtered,soft(0.80/0.010),0.8,0.01,aggressive_8s,70.052,78.051,5.441307021710253,4.041057001219216,6.399498715981671,0.3611831489150328,0.23916500399728613,0.05117938053256492,0.8202147453516222,0.6743738314475962,0.20389659264301052,0.40061524321536846,22.55507263341108,50.48071681458935
filtered,soft(0.80/0.010),0.8,0.01,landing_12s,186.553,198.552,1.24397518619442,1.127410494297656,3.5032999705512347,0.06415952483668787,0.11243816496417308,0.06990971225138574,0.21482416612482513,0.37260586495845693,0.09226433775161436,0.7461041212069314,11.20213916052302,28.829312733952566
filtered,current(1.00/0.020),1.0,0.02,full_dynamic,45.774,198.552,2.3400145644694788,2.7825807640194173,9.425504715467895,0.0,0.0,0.0,0.0,0.0,0.0,0.5132168522619641,17.59581243265238,37.894648473876494
filtered,current(1.00/0.020),1.0,0.02,takeoff_12s,45.774,57.773,1.4120848306208686,2.0668596518882048,1.3453367661321183,0.0,0.0,0.0,0.0,0.0,0.0,0.6059181703035973,13.74589072196481,32.505762801221145
filtered,current(1.00/0.020),1.0,0.02,hover_like_8s,194.552,198.552,0.2806339286476254,0.8408575880259169,0.7003212894580312,0.0,0.0,0.0,0.0,0.0,0.0,0.9049301812719864,5.043804399348954,20.293451912150136
filtered,current(1.00/0.020),1.0,0.02,aggressive_8s,70.052,78.051,5.265091718559065,4.0718117568212575,6.433635070457578,0.0,0.0,0.0,0.0,0.0,0.0,0.40061524321536846,22.55507263341108,50.48071681458935
filtered,current(1.00/0.020),1.0,0.02,landing_12s,186.553,198.552,1.2346797563577925,1.1389058718046483,3.506058852818531,0.0,0.0,0.0,0.0,0.0,0.0,0.7461041212069314,11.20213916052302,28.829312733952566
filtered,mid(1.20/0.030),1.2,0.03,full_dynamic,45.774,198.552,2.3017287646399187,2.8615966417611243,9.417520468570853,0.1703726235996596,0.21582165053790384,0.038274044064430586,0.7558744278704275,1.273183623960267,0.21596193032785393,0.5132168522619641,17.59581243265238,37.894648473876494
filtered,mid(1.20/0.030),1.2,0.03,takeoff_12s,45.774,57.773,1.5063142259775821,2.1583802432441574,1.3470495801480544,0.1606064455650372,0.19093809021759003,0.014375929485730602,0.49047701608153016,0.6879738046355035,0.03978710945760855,0.6059181703035973,13.74589072196481,32.505762801221145
filtered,mid(1.20/0.030),1.2,0.03,hover_like_8s,194.552,198.552,0.28138120706346814,0.8439561854616285,0.6992948630860926,0.03583706636495391,0.047798692439762744,0.07225480900926495,0.09501859744008989,0.14326061113545352,0.07563806115904237,0.9049301812719864,5.043804399348954,20.293451912150136
filtered,mid(1.20/0.030),1.2,0.03,aggressive_8s,70.052,78.051,5.1028964127118694,4.109990315668576,6.472131338248846,0.3232843388729077,0.2369898628162586,0.05329109062423999,0.7558744278704275,0.655883777510784,0.21596193032785393,0.40061524321536846,22.55507263341108,50.48071681458935
filtered,mid(1.20/0.030),1.2,0.03,landing_12s,186.553,198.552,1.2252080602909792,1.1538547365810286,3.508199821246786,0.06072043176491367,0.07315158371437545,0.07148120047366494,0.21909811968279236,0.30256561324134257,0.09394740455867368,0.7461041212069314,11.20213916052302,28.829312733952566
filtered,hard(1.40/0.030),1.4,0.03,full_dynamic,45.774,198.552,2.272575651809706,2.9491065787497117,9.407175392662827,0.32279269740913247,0.4137820234429115,0.06367360844975782,1.526383256867586,2.5005360018927547,0.41010383521776106,0.5132168522619641,17.59581243265238,37.894648473876494
filtered,hard(1.40/0.030),1.4,0.03,takeoff_12s,45.774,57.773,1.5955173758345373,2.251693445456508,1.3498498224182984,0.30087877745540437,0.35284958260904925,0.026801750866150782,0.9027696558270728,1.3069846105535072,0.0826744267777636,0.6059181703035973,13.74589072196481,32.505762801221145
filtered,hard(1.40/0.030),1.4,0.03,hover_like_8s,194.552,198.552,0.2805812695980142,0.8439022996149287,0.6989348655078838,0.07203557555175653,0.08304975435065387,0.08724733458222761,0.19915982660377596,0.27868655798773023,0.09511922222252567,0.9049301812719864,5.043804399348954,20.293451912150136
filtered,hard(1.40/0.030),1.4,0.03,aggressive_8s,70.052,78.051,4.956208388622429,4.1560069682332195,6.5121528227049685,0.628417300703868,0.4695917140091667,0.09740175261176658,1.526383256867586,1.2869649553821478,0.41010383521776106,0.40061524321536846,22.55507263341108,50.48071681458935
filtered,hard(1.40/0.030),1.4,0.03,landing_12s,186.553,198.552,1.2155367615755337,1.1701732192446543,3.509573847241847,0.11904802547387841,0.12883612245566925,0.08835420813329722,0.4406631217806827,0.5636009402267783,0.13395354227699308,0.7461041212069314,11.20213916052302,28.829312733952566
raw,inav_numeric(0.20/0.005),0.2,0.005,full_dynamic,45.774,198.552,5.115710963384271,7.8907223313777,11.143297827393868,9.003680123562557,13.00553889350654,11.054294348549726,20.00796915324667,28.45194175437733,23.095361964507052,0.04821434059567373,63.12671735502176,118.2837342808693
raw,inav_numeric(0.20/0.005),0.2,0.005,takeoff_12s,45.774,57.773,1.5711618234107603,2.514270758784674,1.5418886016003455,2.2436461668977894,2.361727084705378,0.9541451031286156,6.018288048531945,5.944644406699294,3.3663954364741238,0.10830367783521283,52.57458693700086,106.8310802719367
raw,inav_numeric(0.20/0.005),0.2,0.005,hover_like_8s,194.552,198.552,1.6614387518447862,2.5422683554073875,1.0454112854143602,8.249959363602144,16.96242969200518,17.851200102069438,11.330392534627743,21.23636703353349,18.825930242362148,0.6983856733519853,14.398257267245969,64.44565111709393
raw,inav_numeric(0.20/0.005),0.2,0.005,aggressive_8s,70.052,78.051,6.035947540423466,3.6879831365229845,6.596635357093128,4.382958536880577,8.393111844700925,7.3184974982980995,8.817345560781328,11.701577047370021,8.948595649148464,0.015325386713489136,71.90442951065356,128.78613392690625
raw,inav_numeric(0.20/0.005),0.2,0.005,landing_12s,186.553,198.552,1.7211458422042358,2.9141884553537745,3.7578404240811056,8.908400264031,20.343925951103206,17.891142901178377,12.561463149609972,23.63960059245193,18.911979480524163,0.2743111206596316,36.02440953721897,76.16921465922253
raw,soft(0.80/0.010),0.8,0.01,full_dynamic,45.774,198.552,4.292499273455909,6.802221556999462,10.778294922321304,5.405050635592072,10.17427270699762,9.800820588104687,15.07264038466543,23.729504141772722,20.683574423325553,0.04821434059567373,63.12671735502176,118.2837342808693
raw,soft(0.80/0.010),0.8,0.01,takeoff_12s,45.774,57.773,1.569788433205843,2.539444174063707,1.4992465086213616,1.2560738103616365,3.5075270481583356,0.938313910904576,4.272113614409887,7.6115187156782484,3.3263016088504895,0.10830367783521283,52.57458693700086,106.8310802719367
raw,soft(0.80/0.010),0.8,0.01,hover_like_8s,194.552,198.552,0.35139711472417595,3.700347665428541,0.7606651182404591,0.6539330936289048,6.992341296208835,14.78168861078606,1.954389166023597,13.099374618133545,15.111877140996222,0.6983856733519853,14.398257267245969,64.44565111709393
raw,soft(0.80/0.010),0.8,0.01,aggressive_8s,70.052,78.051,6.066773878211867,3.7985713137280634,6.473419565906146,2.3937453656017693,6.673038873254511,6.685187803623237,6.056108743720282,10.196676826447117,8.2093531326804,0.015325386713489136,71.90442951065356,128.78613392690625
raw,soft(0.80/0.010),0.8,0.01,landing_12s,186.553,198.552,1.6786020576598615,4.332023442359202,3.7096523177402125,1.486278640296857,12.109482582814609,14.746522688248515,5.936806589936079,17.584475380065477,15.485820306146614,0.2743111206596316,36.02440953721897,76.16921465922253
raw,current(1.00/0.020),1.0,0.02,full_dynamic,45.774,198.552,4.050850915402736,6.728801476320729,10.69395573239805,4.228883046119962,10.043038995695854,9.442346433553979,12.93480941729312,23.219251621985,19.920837846894827,0.04821434059567373,63.12671735502176,118.2837342808693
raw,current(1.00/0.020),1.0,0.02,takeoff_12s,45.774,57.773,1.5997492053586442,2.5433891781649907,1.4831962058727748,1.1240949867486396,3.731940685859595,0.9570670498403021,3.604962236586658,7.841957068656153,3.345149431254233,0.10830367783521283,52.57458693700086,106.8310802719367
raw,current(1.00/0.020),1.0,0.02,hover_like_8s,194.552,198.552,1.0351133057156283,3.556717556646847,0.6698561269061238,1.1765492044282622,5.767667232728208,14.185255324957529,3.0711848110342554,11.948573789994672,14.426765521732806,0.6983856733519853,14.398257267245969,64.44565111709393
raw,current(1.00/0.020),1.0,0.02,aggressive_8s,70.052,78.051,6.066677867564822,3.8487071682723886,6.441456319451044,2.2807027579200123,6.625266364496985,6.493603033884472,5.022748065652877,10.251231558678366,7.9730136741140365,0.015325386713489136,71.90442951065356,128.78613392690625
raw,current(1.00/0.020),1.0,0.02,landing_12s,186.553,198.552,1.9167515432465683,4.366901012256949,3.754166345192488,1.9134640984619369,10.925209423687447,13.979127297346958,3.60563636908526,16.84601673247107,14.64661112854077,0.2743111206596316,36.02440953721897,76.16921465922253
raw,mid(1.20/0.030),1.2,0.03,full_dynamic,45.774,198.552,3.9384249846416903,6.579004159680833,10.621195483068712,3.445016060025327,9.743551797328754,9.147295300880767,11.313813146447103,22.468484847979838,19.29441963327347,0.04821434059567373,63.12671735502176,118.2837342808693
raw,mid(1.20/0.030),1.2,0.03,takeoff_12s,45.774,57.773,1.6481417822036157,2.540723095349724,1.4692628416181766,1.1158111717394568,3.935364816416193,0.9738594245343501,3.0370579378714466,8.027144461616782,3.361830294770888,0.10830367783521283,52.57458693700086,106.8310802719367
raw,mid(1.20/0.030),1.2,0.03,hover_like_8s,194.552,198.552,2.068057140186682,3.1625803054323733,0.6338613045221898,2.351882219424855,4.632818581733259,13.709347376810422,5.5532743614422495,10.521890864721772,14.086905825053433,0.6983856733519853,14.398257267245969,64.44565111709393
raw,mid(1.20/0.030),1.2,0.03,aggressive_8s,70.052,78.051,6.068147399859363,3.891534433956631,6.411696971339703,2.3502604968020013,6.520890400495717,6.328283043034119,4.147184788607831,10.233650317614151,7.772595441831572,0.015325386713489136,71.90442951065356,128.78613392690625
raw,mid(1.20/0.030),1.2,0.03,landing_12s,186.553,198.552,2.401322037391228,4.2283859202103224,3.774343451727957,3.199540107263365,9.624990098527233,13.391764858249822,5.89394623933368,15.826886268316724,14.086905825053433,0.2743111206596316,36.02440953721897,76.16921465922253
raw,hard(1.40/0.030),1.4,0.03,full_dynamic,45.774,198.552,3.913195806387586,6.371484980552344,10.562623589994727,2.9897335808572945,9.298660123957498,8.915019423970922,10.285120795126296,21.54164389618981,18.82783045551795,0.04821434059567373,63.12671735502176,118.2837342808693
raw,hard(1.40/0.030),1.4,0.03,takeoff_12s,45.774,57.773,1.706064413213504,2.5325328650788816,1.4575754959133844,1.1559275084838763,4.115126562606698,0.9789863398506686,2.7430727647529056,8.174399356728657,3.364895608677187,0.10830367783521283,52.57458693700086,106.8310802719367
raw,hard(1.40/0.030),1.4,0.03,hover_like_8s,194.552,198.552,2.8373636877725756,2.602942024958428,0.6213810098055118,3.0300492718782506,3.613369353141249,13.329181120984936,7.212756441689535,8.906192562190423,13.756496713412693,0.6983856733519853,14.398257267245969,64.44565111709393
raw,hard(1.40/0.030),1.4,0.03,aggressive_8s,70.052,78.051,6.070831748238503,3.925251232534267,6.385479359606257,2.4859802590760367,6.356311237996979,6.182945529668002,4.744448534045274,10.140512237065254,7.600807402208997,0.015325386713489136,71.90442951065356,128.78613392690625
raw,hard(1.40/0.030),1.4,0.03,landing_12s,186.553,198.552,2.8593636044003317,3.981189929961114,3.7715948495986398,4.26736294822775,8.278609160023676,12.962085688582059,7.512366795011685,14.61261216486179,13.756496713412693,0.2743111206596316,36.02440953721897,76.16921465922253
