I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
2002.000000,24510.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.769028,-3.963742,0.000000,0.000000,0.543817,2.439692,-1.342768,-0.543817,-1.168738,2.439692,-3.608430,-0.212261,-0.212261,0.000000,0.000000,-2.334461,-6.541121,1.704683,2.334461,5.017082,-6.541121,11.558203,0.679894,0.679894,0.007739,-1.120106,-0.204523,0.443443,1.000000,0.000000,0.000000
2002.000000,24530.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.834879,-3.033353,0.000000,0.000000,0.752281,2.961184,-2.291063,-0.752281,-1.616757,2.961184,-4.577941,-0.269291,-0.269291,0.000000,0.000000,-2.304842,-6.700203,0.698893,2.304842,4.953427,-6.700203,11.653630,0.685508,0.685508,-0.049291,-1.114492,-0.150331,0.390358,1.000000,0.000000,0.000000
2002.000000,24550.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.567250,-0.112066,0.000000,0.000000,0.903608,3.374306,-1.814969,-0.903608,-1.941980,3.374306,-5.316286,-0.312723,-0.312723,0.000000,0.000000,-1.983880,-6.201084,-2.192776,1.983880,4.263635,-6.201084,10.464719,0.615572,0.615572,-0.092723,-1.184428,-0.164987,0.371543,1.000000,0.000000,0.000000
2002.000000,24570.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.762206,0.894842,0.000000,0.000000,0.951652,3.569740,-0.858598,-0.951652,-2.045234,3.569740,-5.614974,-0.330293,-0.330293,0.000000,0.000000,-1.607301,-5.545830,-2.878722,1.607301,3.454315,-5.545830,9.000145,0.529420,0.529420,-0.110293,-1.270580,-0.070759,0.479141,1.000000,0.000000,0.000000
2002.000000,24590.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.740401,-0.278726,0.000000,0.000000,0.889371,3.521655,0.211251,-0.889371,-1.911382,3.521655,-5.433037,-0.319590,-0.319590,0.000000,0.000000,-1.403773,-5.243420,-1.328575,1.403773,3.016903,-5.243420,8.260323,0.485901,0.485901,-0.099590,-1.314099,0.116825,0.685608,1.000000,0.000000,0.000000
2002.000000,24610.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.569984,-2.749285,0.000000,0.000000,0.703467,3.189477,1.459355,-0.703467,-1.511848,3.189477,-4.701325,-0.276549,-0.276549,0.000000,0.000000,-1.479591,-5.549685,1.345513,1.479591,3.179847,-5.549685,8.729532,0.513502,0.513502,-0.056549,-1.286498,0.207422,0.741571,1.000000,0.000000,0.000000
2002.000000,24630.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.787695,-4.929366,0.000000,0.000000,0.421142,2.622440,2.491162,-0.421142,-0.905093,2.622440,-3.527533,-0.207502,-0.207502,0.000000,0.000000,-1.765087,-6.334922,3.449775,1.765087,3.793418,-6.334922,10.128340,0.595785,0.595785,0.012498,-1.204215,0.377153,0.854422,1.000000,0.000000,0.000000
2002.000000,24650.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.190955,-5.806760,0.000000,0.000000,0.037522,1.800255,3.612097,-0.037522,-0.080639,1.800255,-1.880894,-0.110641,-0.110641,0.000000,0.000000,-2.098207,-7.254887,4.041673,2.098207,4.509340,-7.254887,11.764227,0.692013,0.692013,0.109359,-1.107987,0.497767,0.805543,1.000000,0.000000,0.000000
2002.000000,24670.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.716332,-5.305003,0.000000,0.000000,-0.343955,0.945804,3.753854,0.343955,0.739207,0.945804,-0.206597,-0.012153,-0.012153,0.000000,0.000000,-2.332525,-7.984817,3.206796,2.332525,5.012923,-7.984817,12.997740,0.764573,0.764573,0.207847,-1.035427,0.414825,0.716026,1.000000,0.000000,0.000000
2002.000000,24690.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.167098,-4.570060,0.000000,0.000000,-0.716045,0.075581,3.823143,0.716045,1.538882,0.075581,1.463301,0.086077,0.086077,0.000000,0.000000,-2.458689,-8.494124,2.237535,2.458689,5.284067,-8.494124,13.778192,0.810482,0.810482,0.306077,-0.989518,0.426170,0.725585,1.000000,0.000000,0.000000
2002.000000,24710.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.826537,-4.075387,0.000000,0.000000,-1.101220,-0.860049,4.110491,1.101220,2.366676,-0.860049,3.226725,0.189807,0.189807,0.000000,0.000000,-2.516607,-8.862117,1.616698,2.516607,5.408539,-8.862117,14.270657,0.839450,0.839450,0.409807,-0.960550,0.416368,0.743605,1.000000,0.000000,0.000000
2002.000000,24730.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.835750,-3.816470,0.000000,0.000000,-1.431795,-1.710101,3.734529,1.431795,3.077127,-1.710101,4.787228,0.281602,0.281602,0.000000,0.000000,-2.539973,-9.157991,1.299864,2.539973,5.458756,-9.157991,14.616748,0.859809,0.859809,0.501602,-0.940191,0.295887,0.798583,1.000000,0.000000,0.000000
2002.000000,24750.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.366709,-4.166029,0.000000,0.000000,-1.667244,-2.378146,2.934915,1.667244,3.583141,-2.378146,5.961287,0.350664,0.350664,0.000000,0.000000,-2.595343,-9.528114,1.626057,2.595343,5.577755,-9.528114,15.105869,0.888581,0.888581,0.570664,-0.911419,0.350215,0.841280,1.000000,0.000000,0.000000
2002.000000,24770.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.331119,-4.711089,0.000000,0.000000,-1.865147,-2.984497,2.663875,1.865147,4.008461,-2.984497,6.992958,0.411350,0.411350,0.000000,0.000000,-2.697886,-10.009700,2.115746,2.697886,5.798135,-10.009700,15.807835,0.929873,0.929873,0.631350,-0.870127,0.414807,0.880963,1.000000,0.000000,0.000000
2002.000000,24790.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.107695,-4.691606,0.000000,0.000000,-2.113100,-3.722565,3.242548,2.113100,4.541348,-3.722565,8.263912,0.486112,0.486112,0.000000,0.000000,-2.783674,-10.463510,1.993719,2.783674,5.982504,-10.463510,16.446014,0.967413,0.967413,0.706113,-0.832587,0.345804,0.919611,1.000000,0.000000,0.000000
2002.000000,24810.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.488320,-4.438282,0.000000,0.000000,-2.262629,-4.263212,2.375220,2.262629,4.862705,-4.263212,9.125917,0.536819,0.536819,0.000000,0.000000,-2.831459,-10.840131,1.654608,2.831459,6.085200,-10.840131,16.925331,0.995608,0.995608,0.756819,-0.804392,0.397295,1.000199,1.000000,0.000000,0.000000
2002.000000,24830.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.078833,-4.669588,0.000000,0.000000,-2.349162,-4.676616,1.816204,2.349162,5.048676,-4.676616,9.725292,0.572076,0.572076,0.000000,0.000000,-2.895760,-11.258526,1.838130,2.895760,6.223393,-11.258526,17.481918,1.028348,1.028348,0.792076,-0.771652,0.488854,1.078421,1.000000,0.000000,0.000000
2002.000000,24850.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.625388,-6.002131,0.000000,0.000000,-2.478526,-5.194730,2.276227,2.478526,5.326699,-5.194730,10.521429,0.618908,0.618908,0.000000,0.000000,-3.085635,-11.965597,3.106371,3.085635,6.631461,-11.965597,18.597057,1.093945,1.093945,0.838908,-0.706055,0.581307,1.114652,1.000000,0.000000,0.000000
2002.000000,24870.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.019251,-6.533396,0.000000,0.000000,-2.629095,-5.773049,2.540725,2.629095,5.650293,-5.773049,11.423342,0.671961,0.671961,0.000000,0.000000,-3.301895,-12.750376,3.447761,3.301895,7.096233,-12.750376,19.846609,1.167448,1.167448,0.891961,-0.632552,0.687361,1.049463,1.000000,0.000000,0.000000
2002.000000,24890.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.517571,-5.600060,0.000000,0.000000,-2.808383,-6.430523,2.888476,2.808383,6.035607,-6.430523,12.466130,0.733302,0.733302,0.000000,0.000000,-3.392528,-13.273483,2.298166,3.392528,7.291017,-13.273483,20.564499,1.209676,1.209676,0.953302,-0.590324,0.667233,0.891591,1.000000,0.000000,0.000000
2002.000000,24910.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.125053,-3.626568,0.000000,0.000000,-2.922101,-6.957843,2.316670,2.922101,6.280004,-6.957843,13.237847,0.778697,0.778697,0.000000,0.000000,-3.270391,-13.326756,0.234040,3.270391,7.028527,-13.326756,20.355282,1.197370,1.197370,0.998697,-0.602630,0.676182,0.934522,1.000000,0.000000,0.000000
2002.000000,24930.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.650915,-4.083304,0.000000,0.000000,-3.072638,-7.578975,2.728813,3.072638,6.603528,-7.578975,14.182503,0.834265,0.834265,0.000000,0.000000,-3.212081,-13.511790,0.812913,3.212081,6.903212,-13.511790,20.415001,1.200882,1.200882,1.054265,-0.599118,0.688929,0.995377,1.000000,0.000000,0.000000
2002.000000,24950.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.040318,-5.277924,0.000000,0.000000,-3.038489,-7.799238,0.967680,3.038489,6.530138,-7.799238,14.329376,0.842905,0.842905,0.000000,0.000000,-3.283066,-13.982017,2.065843,3.283066,7.055767,-13.982017,21.037785,1.237517,1.237517,1.062904,-0.562483,0.680784,1.060068,1.000000,0.000000,0.000000
2002.000000,24970.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.166142,-5.544288,0.000000,0.000000,-2.920804,-7.828294,0.127652,2.920804,6.277216,-7.828294,14.105511,0.829736,0.829736,0.000000,0.000000,-3.370770,-14.496716,2.261222,3.370770,7.244256,-14.496716,21.740971,1.278881,1.278881,1.049736,-0.521119,0.767816,1.042992,1.000000,0.000000,0.000000
2002.000000,24990.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.244086,-4.518509,0.000000,0.000000,-2.827973,-7.901879,0.323282,2.827973,6.077710,-7.901879,13.979589,0.822329,0.822329,0.000000,0.000000,-3.342028,-14.757964,1.147739,3.342028,7.182485,-14.757964,21.940449,1.290615,1.290615,1.042329,-0.509385,0.810106,1.003120,1.000000,0.000000,0.000000
2002.000000,25010.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.452254,-3.404689,0.000000,0.000000,-2.769592,-8.043978,0.624281,2.769592,5.952240,-8.043978,13.996218,0.823307,0.823307,0.000000,0.000000,-3.204719,-14.772227,0.062661,3.204719,6.887389,-14.772227,21.659616,1.274095,1.274095,1.043307,-0.525905,0.802591,1.064515,1.000000,0.000000,0.000000
2002.000000,25030.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.261375,-3.502402,0.000000,0.000000,-2.700312,-8.155917,0.491783,2.700312,5.803348,-8.155917,13.959265,0.821133,0.821133,0.000000,0.000000,-3.097095,-14.839986,0.297683,3.097095,6.656089,-14.839986,21.496075,1.264475,1.264475,1.041133,-0.535525,0.899070,1.148381,1.000000,0.000000,0.000000
2002.000000,25050.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.610183,-4.687591,0.000000,0.000000,-2.676318,-8.363022,0.909870,2.676318,5.751781,-8.363022,14.114802,0.830283,0.830283,0.000000,0.000000,-3.124920,-15.202014,1.590497,3.124920,6.715889,-15.202014,21.917904,1.289289,1.289289,1.050282,-0.510711,0.910717,1.217418,1.000000,0.000000,0.000000
