flight,axis,jitter_score,tracking_score,overshoot_score,speed_score,smoothness_score,composite
11,roll,0.8550327605875884,0.45231145564703207,1.0,0.5,0.8288249839927898,0.6922032648703861
6,roll,0.9077364227155187,0.40164366667353485,0.8830867315933869,0.5,0.9501116629329802,0.6694313731353935
9,pitch,0.4369087190996458,0.6531557536040388,1.0,0.5,0.8250467011332211,0.6270193418111053
4,roll,0.8585947929471143,0.5878765499128036,0.3664178819579748,0.5,0.9442841463972086,0.6072249792495703
2,roll,0.8723811215194512,0.4088616988616166,0.5911818998650498,0.5,0.6961044633099419,0.6026092260873303
7,pitch,0.20101169723952356,0.8723197116734518,0.8489499156318608,0.5,0.9630392017917245,0.5917894058002647
9,roll,0.9538324236948864,0.0,0.9852456283029042,0.5,1.0,0.5831988527690468
10,pitch,0.29854831469227183,0.9908944081008402,0.462601311451971,0.5,0.7697702728088298,0.5793530791283278
12,roll,0.8508490592590163,0.24023033972615138,0.7557565436863031,0.5,0.5863984627346872,0.5784751284328109
12,pitch,0.1980368266321293,0.8979015089178531,0.6040144650312563,0.5,0.5063789219012927,0.5495843936712459
11,pitch,0.16970119060180217,1.0,0.47548138517744115,0.5,0.8692354318308413,0.5460066342160289
5,pitch,0.20614996829522053,0.8859715725252183,0.5834450622444846,0.5,0.0,0.5443254746950286
6,pitch,0.32621662829425946,0.6885755577933279,0.6855509334090097,0.5,0.8489828406052679,0.5415478425080781
8,pitch,0.28732205346975015,0.9296114901263554,0.3378165240392368,0.5,0.9462953429120727,0.532643367886679
8,roll,0.8340874066544274,0.22557047628156368,0.5566509334622117,0.5,0.8767018747864543,0.5292275515732396
7,roll,0.8155967645144899,0.08129568292510649,0.7691477295673219,0.5,0.9427905872429859,0.5228972801453433
5,roll,0.9085503383556369,0.18468968005463599,0.4283883791082745,0.5,0.8135270771010398,0.5136496813447368
10,roll,0.7488818490674756,0.5902933240722567,0.040753128678549536,0.5,0.8929614631009192,0.5099031776776295
4,pitch,0.2353425695039752,0.9660550442441221,0.13840996358333565,0.5,0.9326304612586168,0.4881012768410963
3,pitch,0.20049580622420415,0.6054719966698765,0.6421525883337872,0.5,0.3584039470850293,0.47022085853498163
1,roll,0.9283564998738443,0.2907419814426196,0.0,0.5,0.5043795047216685,0.4657295443949391
3,roll,0.7655205299682575,0.043919427055178324,0.5420709218537085,0.5,0.8310671753009174,0.45124617147777246
1,pitch,0.2832426875233155,0.6270921050549346,0.34234916615603894,0.5,0.5566352122887672,0.4415702710046828
2,pitch,0.10062459336301144,0.2142872935165429,0.6186190213543511,0.5,0.8621110816579866,0.3181973703347365
