flight,axis,angle_hold_std_deg,angle_hold_rms_deg,angle_drift_deg_s,gyro_noise_std_dps,motor_out_mean,motor_out_std,angle_out_std,duration_s,n_samples
1,roll,1.6709714697367661,1.6724253722240185,0.0025285257494387994,6.891035071629911,56.997952188370114,76.28594957542727,10.83754667679768,90.444,41015
1,pitch,1.3574127397292486,1.3793908056582598,0.010123354573666973,8.248688463401939,52.73384135707898,71.81797773838557,9.04060057319578,90.444,44724
2,roll,1.5608556529653181,1.5684903043407177,0.006959547656036493,8.839697709100447,39.48966190854783,59.89306628453603,10.044501299203418,123.327,42853
2,pitch,1.7422455177191405,1.796169457517714,0.01272922412770331,10.15670512942017,35.44910454094012,45.69915465126229,11.350562565509193,123.327,49377
3,roll,1.9010691009186798,1.940306212400199,-0.007116875679427203,10.325058700063353,37.041508250276856,48.35347330414903,13.583844673183775,199.573,53277
3,pitch,1.3775678496933452,1.3915965385935203,0.0015974354017299238,11.046878286837815,49.24688637951212,88.7671637964669,9.605295869328929,199.573,67845
4,roll,1.3939710128015055,1.4178937887000882,0.001756953301479577,8.468020842796586,28.992932111276684,38.67318646306362,9.42596538759757,153.86499999999998,53686
4,pitch,1.0414182409304809,1.0645105465848648,0.0019984245844991543,8.481223202760736,31.861698879307667,39.669600815125,6.973196662500613,153.595,83543
5,roll,1.7698375696818327,1.884517237442318,-0.012319308780840536,8.880685415888648,40.22196095796136,49.85318823338179,13.348432392759491,139.911,51191
5,pitch,1.1160751829797004,1.121631149075501,-0.004619312371209876,9.264581379250101,79.51509900628336,119.41144776878326,7.729981835339294,139.911,48541
6,roll,1.567584584656323,1.6642523256167185,0.002808298243370769,7.8431479300187785,31.8983379768742,38.17492166149549,9.689458114610925,92.89600000000002,40604
6,pitch,1.3000954622741974,1.3837609851153487,0.016408511629707176,7.829483201800646,37.344867313449235,46.82164660523926,8.275386994633294,92.89600000000002,50040
7,roll,1.8662254945089523,1.9517606443832938,-0.01116633555809276,7.868138029123677,30.653678320410087,38.80088888158802,9.297527783328686,153.575,65644
7,pitch,1.1288019811890961,1.1384770677910894,0.0035561337721352233,8.043405982474132,27.854211834296215,37.06959016313302,6.858646878802159,153.575,87065
8,roll,1.7317268937916508,1.7795373359426871,0.001186180786379702,8.570562297108092,33.759460183221506,44.45161144855305,10.497060221461147,195.51399999999998,68409
8,pitch,1.0753923463162676,1.0762915049505923,-0.0005373251432961223,8.366340501075568,28.71911725819054,38.501224972050785,6.852911690616716,195.608,112111
9,roll,1.9420125072185765,2.140039688206198,-0.0030942471244325936,9.040630907382665,26.83119984893441,33.9093649330544,10.075056671650067,190.968,73809
9,pitch,1.3331151879678609,1.3394019467540028,-0.002905493367950014,7.760925387945271,28.961904304967135,48.86823638514577,7.16784803695352,190.968,117593
10,roll,1.3917180014809967,1.433584164616309,-0.0027284628448974104,8.175366963102071,32.345670644426704,43.06138278161483,10.015205816028732,140.556,57614
10,pitch,1.0182620152051576,1.0248065675933589,0.0009233655570827951,9.18983926901025,34.50432782611949,53.59448613860109,7.903040592720997,140.79600000000002,76173
11,roll,1.5203500916459063,1.6584127316653845,-0.005471456795524818,7.344163146571872,35.731419362625566,48.545185331110105,8.757110356501773,171.334,67993
11,pitch,1.0097734265844553,1.0101809975507898,-0.0003233736100533066,7.995678907262794,33.56993286052078,45.090007872632135,6.2283694621449195,171.334,100273
12,roll,1.7180603961718466,1.826046422875087,-0.021746951224944168,7.502588958278498,49.37324320746289,69.27315783329797,9.0235550881102,71.46799999999999,34705
12,pitch,1.104953630045007,1.1276681019327615,0.005453584951755259,8.29888357220879,47.404082008783945,76.11499524211186,6.1589401339544345,71.46799999999999,42350
