flight,axis,low,mid,high,ultra,total
1,roll,21.112508187677033,4.447492084146816,2.205237147032097,0.9654215114849375,21.869986316013183
1,pitch,17.94500163119012,6.044081096493298,3.5607931618124917,1.4269694190594664,19.579340593801746
2,roll,13.912433173385399,2.9590356681294394,2.4389855713072204,0.9124687296329694,14.553530324382079
2,pitch,12.862836356808998,4.644995536106541,4.116237203818536,1.4894373610587914,14.492559611702236
3,roll,25.099411626379407,4.841067248195579,2.0743477398222594,0.9046800272318408,25.889385767265406
3,pitch,23.03401724467032,7.849378661141035,3.5521052653866847,1.434637807715049,25.005447017696223
4,roll,14.162649976688135,3.0438812410810354,2.0508227339875376,0.8681689222713531,14.747341062966798
4,pitch,8.92030201625486,4.359706492490742,3.634709852002435,1.4731846909441682,10.798726035301947
5,roll,13.186676552046041,3.1468617499839495,2.001722457826504,0.8781509437070513,13.820285095873171
5,pitch,10.600266009773936,4.734537616510491,3.518464253403346,1.3470293589689706,12.346362404241335
6,roll,9.8856201094548,2.4914495968947348,2.2837479627833486,0.9956702739077601,10.556915469886297
6,pitch,8.432106694136014,3.6927261113759564,3.429515895164327,1.3269000797411266,9.9979287659441
7,roll,11.083887420951479,2.557482390033816,1.924492596853852,0.8363025718818573,11.632014076292629
7,pitch,8.066885142707957,3.8735057990941453,3.562155718920718,1.3974586411529724,9.832520391297523
8,roll,13.898487486300652,2.737322554734549,1.916309329441844,0.8297029945948434,14.395532309036039
8,pitch,10.43320302759,4.507004488172842,3.436218519828776,1.322412114354465,12.11424646576581
9,roll,9.66232271404962,2.1341513542867823,1.9518799930234378,0.8125050405771335,10.14590471165644
9,pitch,7.382039846971303,3.3842207054291986,3.3833228483908564,1.30948298543053,8.966277463563264
10,roll,15.685920171967924,3.094204900194808,2.1075693134644484,0.904822783055021,16.23965208856473
10,pitch,13.453112174252661,5.000044770127497,3.6089120942443063,1.4421814663340404,15.008749354903163
11,roll,8.429932845390633,2.5290703311841782,1.8544030483018725,0.795863677096522,9.079008655891636
11,pitch,9.828270957497162,3.913709009572735,3.3419294469946235,1.2977658311848457,11.229181307802138
12,roll,17.44510031399415,4.450396304157634,2.1416319601356144,0.8248764712043337,18.293913825762278
12,pitch,18.55257386758065,7.870207170760851,3.5240768040841752,1.360681546793354,20.831832696232752
