flight,axis,state,gyro_jitter_hf_rms,motor_roughness,p_jitter,i_jitter,d_jitter,motor_out_std
1,roll,all_active,2.5943345281165655,3837.2142940478175,11.128369335383256,0.0,0.0,84.30823612180502
1,roll,quiet_center,2.604478452385074,3207.846141948327,10.015869078199442,0.0,0.0,76.28594957542727
1,pitch,all_active,4.054389160122697,6891.730960577718,18.69929253548614,0.006033461869350999,0.0,77.65336788767098
1,pitch,quiet_center,4.127031756104835,6500.47669607336,17.889611030914548,0.02415945689659133,0.0,71.81797773838557
2,roll,all_active,2.708965284752141,3378.911027297129,8.876613070850507,0.0,0.0,60.719529991330866
2,roll,quiet_center,2.8348305009353667,3100.871150840017,10.19771166030245,0.0,0.0,59.89306628453603
2,pitch,all_active,4.554471382808506,7182.541374536995,19.676055039310526,0.003982187101553405,0.0,53.72324369012218
2,pitch,quiet_center,4.649888879171257,7065.414081323638,20.094732916741286,0.0364472269093534,0.0,45.69915465126229
3,roll,all_active,2.437116577074317,4726.104945159737,13.146036849695408,0.0033208862145421457,0.0,83.98676598613005
3,roll,quiet_center,3.131502047811695,3468.552532935253,12.227644005278243,0.03443097606079732,0.0,48.35347330414903
3,pitch,all_active,4.072864278529642,7764.356886382794,21.13185286773736,0.005811759611461223,0.0,96.4910373025806
3,pitch,quiet_center,4.325070652089751,6911.839720269886,19.43980634578112,0.04686153323042808,0.0,88.7671637964669
4,roll,all_active,2.432000923257537,3785.960322552384,9.828396217158689,0.0031572625395864433,0.6237097671433878,49.511888664437116
4,roll,quiet_center,2.7613007552106237,3595.1806191932883,10.672936439182882,0.045561364738311225,0.6003572747975361,38.67318646306362
4,pitch,all_active,4.197719216764563,7263.5026290519345,18.81109306949041,0.0053711989118018725,1.264690228177504,47.30113614155812
4,pitch,quiet_center,4.117707247858391,7234.082593823128,18.97427655978616,0.052359172854068756,1.2611570875755373,39.669600815125
5,roll,all_active,2.352227431716108,3823.2138693296356,10.193370556509418,0.0028806490608518955,0.588464312951501,58.29707581816652
5,roll,quiet_center,2.6094429760782845,3475.9305204707275,10.46961461290814,0.036347559025154595,0.5643486316959436,49.85318823338179
5,pitch,all_active,3.9801925754794145,7479.111202569343,19.68033490648964,0.005211696651835652,1.4117038912824103,92.52140636760292
5,pitch,quiet_center,4.2095354959759925,7291.430897344008,20.205363849101712,0.05071990341267742,1.4180010788165844,119.41144776878326
6,roll,all_active,2.577429747756689,3754.0268337072716,9.501113350048092,0.002971800024998966,0.5993345860739254,43.54122334914761
6,roll,quiet_center,2.5894405973885695,3567.710948010318,10.10933218154466,0.03508223840243392,0.5822051186711142,38.17492166149549
6,pitch,all_active,3.8647576698607464,7164.937925516614,18.742621441612382,0.005516301169108574,1.2921931915697686,46.96187358693012
6,pitch,quiet_center,3.8555926139832906,6960.679628943446,18.46392578053606,0.028158248282057135,1.2781361666390532,46.82164660523926
7,roll,all_active,2.254116567581913,4873.60510331316,11.630963846316424,0.003692240543014481,0.699042702846568,48.83483857340237
7,roll,quiet_center,2.6832952389583866,4532.037504751968,11.478662267612687,0.04266490533869367,0.6852239578478674,38.80088888158802
7,pitch,all_active,4.038098734861034,7870.751608571032,19.99712319712664,0.005374858199422377,1.458402891792229,42.92683419446013
7,pitch,quiet_center,4.15279551404871,7592.913625849816,19.501639279573656,0.032768878878282635,1.4313473218310862,37.06959016313302
8,roll,all_active,2.2389474346121423,3908.679145275631,9.955284573215138,0.0057097583380597595,0.5150957244149224,55.461053318116306
8,roll,quiet_center,2.800608986914159,3794.3381452393496,11.113525332363867,0.07071318420385701,0.49911588531167744,44.45161144855305
8,pitch,all_active,3.896006839249386,7127.752454654234,18.658131553930072,0.0071709832672712135,1.0519059728318993,49.01944352322138
8,pitch,quiet_center,3.9864124163488124,7003.221090939288,18.88110725477531,0.0336957544711612,1.043918776149892,38.501224972050785
9,roll,all_active,2.2865862301470825,2760.7602593302745,7.072187191517127,0.0014708080553159312,0.28636693772651833,39.25946953172455
9,roll,quiet_center,2.635547112006163,2713.3164597987034,7.73151928497291,0.037253308854551886,0.28196892088478337,33.9093649330544
9,pitch,all_active,3.8449029709010434,5393.283255668089,14.090429210997458,0.002434965155428952,0.6831452044001842,49.36008375211206
9,pitch,quiet_center,3.861833249676804,5326.576658616695,14.204160642480309,0.018436577664493654,0.6783865992016878,48.86823638514577
10,roll,all_active,2.434483799218067,5077.429304088286,11.55065080561304,0.0036703252069519316,0.6577862316288511,57.67712187769208
10,roll,quiet_center,2.8500119702849553,4835.532541173719,13.34676950773403,0.035718567866689366,0.679892596744828,43.06138278161483
10,pitch,all_active,4.055756355258811,7430.6646100392,19.07140311320759,0.0052320126391050496,1.2464250569221238,63.248486801606255
10,pitch,quiet_center,3.940456459370821,7023.705275934057,18.753143686129714,0.04747715190167328,1.1848089606956977,53.59448613860109
11,roll,all_active,2.2146998364897006,4932.308618014695,12.514288845047188,0.005190580216280188,0.709264456288828,49.05268832062926
11,roll,quiet_center,2.467631198705635,4820.74266735894,12.655703316651072,0.09668013052349413,0.7033959096904507,48.545185331110105
11,pitch,all_active,3.819938428742572,8600.086428482886,22.51739244490771,0.009006636455805383,1.5951561164492292,49.61557378354492
11,pitch,quiet_center,4.032669334879685,8528.219788584325,22.47930071923908,0.055895521280273905,1.5861764847986952,45.090007872632135
12,roll,all_active,2.3905546497813766,6140.9694297067,16.782447676628866,0.004507400746274871,0.7830228117742651,86.23640746674029
12,roll,quiet_center,2.5913913177713748,4386.90033173634,12.041754404835382,0.03869214131598011,0.7334738248981517,69.27315783329797
12,pitch,all_active,3.9506123205752077,9407.785048864518,23.933162566947082,0.006868427637402442,1.583352134949124,98.68192058349267
12,pitch,quiet_center,4.048013683414358,8054.966873541219,20.794227854970533,0.019859985163707614,1.510610299402172,76.11499524211186
