flight,axis,rise_time_s_median,rise_time_s_mean,overshoot_pct_median,overshoot_pct_mean,settle_time_s_median,settle_time_s_mean,num_oscillations_median,num_oscillations_mean,itae_median,itae_mean,ss_error_deg_median,ss_error_deg_mean,gyro_peak_dps_median,gyro_peak_dps_mean,n_steps
1,roll,0.17350000000000065,0.24042857142857157,21.30501948563125,116.49889932040404,0.7999999999999972,0.7569782608695652,0.0,0.15217391304347827,0.0627318626615316,0.20579328287987575,2.096924080031446,2.640328643463751,68.5185585,70.71454297826087,46
1,pitch,0.2289999999999992,0.27684210526315794,14.011263829787229,35.589913803818426,0.7999999999999972,0.7677999999999988,0.0,0.1111111111111111,0.08310944248794581,0.12298745408742065,1.4225920696202532,2.1166286651209067,61.122303,66.7945072888889,45
2,roll,0.24349999999999383,0.30958620689655186,8.709877589453862,56.13342324390865,0.7999999999999972,0.7696266666666659,0.0,0.11333333333333333,0.09435266607849882,0.15608263658947208,2.0224899999999995,2.7297087427515834,46.024578,50.201032559999994,75
2,pitch,0.3439999999999941,0.3727777777777784,8.125329181494665,32.49982218742454,0.7999999999999972,0.7758481012658229,0.0,0.056962025316455694,0.08218457665681944,0.12213212318373266,1.4200158115942032,2.0634191445904464,44.922947,50.017471392405064,79
3,roll,0.26750000000000895,0.3426530612244892,9.756187932943895,47.793512519651024,0.7999999999999972,0.7718571428571438,0.0,0.10317460317460317,0.12707913781263225,0.16940981206353725,2.019778299920886,3.193385190336916,47.037611,54.963043841269844,126
3,pitch,0.35699999999999754,0.3614200000000009,7.62394607843137,43.34895948691465,0.7999999999999972,0.7845354330708659,0.0,0.05511811023622047,0.09776187410510144,0.17247935475953502,1.6184790275862067,2.530597462506419,41.767792,54.206525913385825,127
4,roll,0.23100000000000165,0.302945454545456,13.498479370632865,36.55773045485339,0.7999999999999972,0.7761621621621633,0.0,0.08783783783783784,0.08671537216430089,0.15873065858068527,1.370351790884377,2.002055694927759,34.250103,39.936847378378374,74
4,pitch,0.2700000000000031,0.31857894736842046,18.35619251448277,42.36660541531809,0.7999999999999972,0.7481714285714284,0.0,0.22142857142857142,0.09923705533589525,0.13982866726294588,1.1177313556998554,1.6779800959247062,32.136011499999995,37.51221912857143,70
5,roll,0.29699999999999704,0.34006849315068477,12.178196721311474,22.057728987503815,0.7999999999999972,0.7687977528089899,0.0,0.09550561797752809,0.07959149127077149,0.10442619640394961,1.0977768749999999,1.7002880370882403,32.40012,43.11946795505618,89
5,pitch,0.3360000000000021,0.3709135802469138,8.874711065717168,23.8073078504564,0.7999999999999972,0.7689000000000011,0.0,0.13333333333333333,0.07583761479143966,0.10731576547504626,0.9389952676182514,1.5583435836188622,39.8180005,45.225635488888884,90
6,roll,0.3819999999999908,0.37321212121212,2.490839461531726,33.736821263859454,0.7999999999999972,0.7576666666666668,0.0,0.14583333333333334,0.10455725268032023,0.13966629365901428,1.535232824631449,1.9831708212378476,26.7632645,35.39124822916667,48
