file,loop,param,out_std,out_abs_p95,out_abs_p99,out_dv_p99,sat_pct,p_abs_p99,i_end,i_abs_max
第一次飞行_比较稳态_无故意干扰yaw.csv,outer,old_1.0_D,0.058441613529551614,0.09871461210557247,0.2413955113447237,0.0032765947835649645,0.0,,,
第一次飞行_比较稳态_无故意干扰yaw.csv,outer,actual_0.7,0.04046701108707889,0.06793141775,0.1675353315160002,0.0022333258220000635,0.0,,,
第一次飞行_比较稳态_无故意干扰yaw.csv,outer,stable_0.6,0.03468600950321048,0.0582269295,0.14360171272800018,0.0019142792760000543,0.0,,,
第一次飞行_比较稳态_无故意干扰yaw.csv,outer,middle_0.75,0.0433575118790131,0.07278366187499999,0.17950214091000022,0.002392849095000068,0.0,,,
第一次飞行_比较稳态_无故意干扰yaw.csv,outer,fast_0.85,0.04913851346288151,0.08248815012499999,0.20343575969800026,0.002711895641000077,0.0,,,
第一次飞行_比较稳态_无故意干扰yaw.csv,vel,old_900_95,130.15041768547678,245.8546269328023,283.0602393073024,20.408304622499966,,177.82772400000033,221.79020888280238,221.91943453280237
第一次飞行_比较稳态_无故意干扰yaw.csv,vel,actual_700_70,97.09396296885407,183.86004515995992,213.15536944895987,15.879582984999983,,138.31045200000023,163.42436443995976,163.51958333995978
第一次飞行_比较稳态_无故意干扰yaw.csv,vel,stable_650_60,84.9057414665239,161.12990775482294,189.04732749449033,14.747924269999997,,128.43113400000024,140.07802666282217,140.15964286282218
第一次飞行_比较稳态_无故意干扰yaw.csv,vel,middle_750_75,104.02924603805789,196.99290552852858,228.3807529810288,17.013838912499978,,148.18977000000027,175.09753332852853,175.1995535785285
第一次飞行_比较稳态_无故意干扰yaw.csv,vel,fast_800_80,110.96452910726173,210.1257658970968,243.60613651309725,18.14809483999998,,158.06908800000028,186.77070221709647,186.87952381709647
第二次飞行_故意干扰yaw_感觉干扰yaw的时候会升高.csv,outer,old_1.0_D,0.08610469844749105,0.18178686204976513,0.29148385902413554,0.00684880153665988,0.6999533364442371,,,
第二次飞行_故意干扰yaw_感觉干扰yaw的时候会升高.csv,outer,actual_0.7,0.059467263219947025,0.12671351139999998,0.19860283908499954,0.004704106119999919,0.0,,,
第二次飞行_故意干扰yaw_感觉干扰yaw的时候会升高.csv,outer,stable_0.6,0.050971939902811736,0.10861158119999997,0.17023100492999962,0.004032090959999932,0.0,,,
第二次飞行_故意干扰yaw_感觉干扰yaw的时候会升高.csv,outer,middle_0.75,0.06371492487851467,0.13576447649999995,0.21278875616249954,0.005040113699999916,0.0,,,
第二次飞行_故意干扰yaw_感觉干扰yaw的时候会升高.csv,outer,fast_0.85,0.07221024819564996,0.15386640669999996,0.24116059031749948,0.005712128859999903,0.0,,,
第二次飞行_故意干扰yaw_感觉干扰yaw的时候会升高.csv,vel,old_900_95,85.17297914090143,252.90753331853332,295.79343441333026,23.461218889999977,,320.2274700000004,176.39410611049215,182.5332977604921
第二次飞行_故意干扰yaw_感觉干扰yaw的时候会升高.csv,vel,actual_700_70,65.68904109329691,191.67168556696768,227.0925128131438,18.24141031999998,,249.06581000000034,129.97460450246768,134.49821940246758
第二次飞行_故意干扰yaw_感觉干扰yaw的时候会升高.csv,vel,stable_650_60,60.341288787563805,171.72886600093526,206.99500792991256,16.940459559999997,,231.27539500000032,111.40680385925819,115.28418805925821
第二次飞行_故意干扰yaw_感觉干扰yaw的时候会升高.csv,vel,middle_750_75,70.38111545710387,205.3625202503226,243.3134065855109,19.54436819999999,,266.85622500000034,139.25850482407262,144.10523507407265
第二次飞行_故意干扰yaw_感觉干扰yaw的时候会升高.csv,vel,fast_800_80,75.0731898209107,219.05335493367687,259.534300357878,20.84732607999998,,284.6466400000004,148.54240514567692,153.71225074567695
