start_s,dur_s,yawcmd_p95,gz_p95,above_pre,above_during,above_post,thr_pre,thr_during,thr_post,vz_pre,vz_during,vz_post,file
29.96,0.589,231.0,13.368418,196.68857299,267.2001963833333,262.63526856,3753.11,3792.5333333333333,3763.0,0.07326487,0.0148354,-0.041178433333333334,第一次飞行_比较稳态_无故意干扰yaw.csv
46.049,0.12,189.4,13.8213618,76.96716735,63.96364661538462,42.953489213333334,3774.82,3758.076923076923,3780.673333333333,-0.02746136,0.0006017692307692304,-0.017679013333333334,第一次飞行_比较稳态_无故意干扰yaw.csv
50.549,0.41,212.8,11.313981550000001,35.89092326000006,34.599703666666706,38.6737409266667,3769.92,3759.0714285714284,3785.9,-0.00205659,0.016586880952380954,-0.029703,第一次飞行_比较稳态_无故意干扰yaw.csv
65.639,2.2,410.0,21.577276,-12.411873190000001,15.31718174660634,7.111086433333337,3803.03,3828.6153846153848,3832.6266666666666,0.03521237,0.0033615927601809955,-0.00436924,第一次飞行_比较稳态_无故意干扰yaw.csv
69.479,1.78,332.1,20.520580499999998,7.497364490000004,-5.2938634804469284,-4.190531833333331,3839.49,3815.5530726256984,3842.1466666666665,-0.01474922,-0.0007905474860335196,-0.03411745333333333,第一次飞行_比较稳态_无故意干扰yaw.csv
77.819,1.39,290.0,13.832720649999999,-55.62944520999999,-55.63700608571428,-29.6976677,3851.32,3839.4857142857145,3833.7733333333335,-0.00991938,0.011862607142857143,0.00509262,第一次飞行_比较稳态_无故意干扰yaw.csv
80.189,0.16,192.59999999999997,3.8941783999999995,-30.393449760000003,-24.776324000000006,-53.85590742666667,3831.96,3810.0,3864.0933333333332,0.00913687,0.03297994117647059,-0.015733213333333333,第一次飞行_比较稳态_无故意干扰yaw.csv
85.359,3.37,382.0,18.25875015,-63.15788021,18.861605139053257,-17.881002586666664,3833.92,3823.2544378698226,3901.4733333333334,0.05327001,0.005341704142011835,-0.008714326666666666,第一次飞行_比较稳态_无故意干扰yaw.csv
89.799,0.75,255.75,5.133645,-11.361264649999997,-28.186545921052623,-12.219688746666664,3916.92,3839.7236842105262,3858.8533333333335,-0.04235904,0.06924355263157894,-0.023740946666666665,第一次飞行_比较稳态_无故意干扰yaw.csv
102.21,0.46,216.7,12.095542,-25.391244009999973,0.5278645106382899,34.471431833333355,3853.3,3856.148936170213,3839.3,0.03158101,0.004020936170212766,0.0007972199999999999,第一次飞行_比较稳态_无故意干扰yaw.csv
