I0,I1,I2,I3
-3.000000,0.000000,-1.092618,2.313071
-2.000000,1.000000,-3.807229,0.722335
-2.000000,1.000000,-1.040174,2.319636
-2.000000,1.000000,-1.043220,2.321014
-8.000000,0.000000,-4.550562,0.531345
-8.000000,0.000000,-1.136061,2.299320
-8.000000,0.000000,-1.139701,2.300545
-5.000000,0.000000,-4.690703,0.333730
-5.000000,0.000000,-1.160270,2.277898
-5.000000,0.000000,-1.164023,2.278965
-2.000000,1.000000,-4.141460,0.438258
-2.000000,1.000000,-1.101427,2.292659
-2.000000,1.000000,-1.104740,2.293810
-6.000000,3.000000,-4.430860,0.618474
-6.000000,3.000000,-1.143013,2.316730
-6.000000,3.000000,-1.146558,2.318025
-4.000000,1.000000,-4.420139,0.763357
-4.000000,1.000000,-1.148807,2.336822
-4.000000,1.000000,-1.152343,2.338233
-2.000000,0.000000,-3.982043,0.471399
-2.000000,0.000000,-1.102957,2.304375
-2.000000,0.000000,-1.106143,2.305552
-2.000000,0.000000,-3.684815,0.080155
-2.000000,0.000000,-1.073424,2.259467
-2.000000,0.000000,-1.076371,2.332811
0.000000,0.000000,-3.059771,0.385939
0.000000,0.000000,-1.003814,2.371094
0.000000,0.000000,-1.006262,2.372683
-1.000000,0.000000,-2.697725,0.050349
-1.000000,0.000000,-0.964974,2.333732
-1.000000,0.000000,-0.967133,2.262572
3.000000,1.000000,-1.751330,0.209795
3.000000,1.000000,-0.854966,2.282674
3.000000,1.000000,-0.856367,2.283641
-8.000000,-1.000000,-2.999616,0.031376
-8.000000,-1.000000,-1.008561,2.263056
-8.000000,-1.000000,-1.010961,2.263881
-7.000000,-1.000000,-3.765850,-0.036785
-7.000000,-1.000000,-1.105922,2.328953
-7.000000,-1.000000,-1.108934,2.257723
-1.000000,-1.000000,-3.249774,-0.148897
-1.000000,-1.000000,-1.049605,2.244951
-1.000000,-1.000000,-1.052205,2.318111
-1.000000,-1.000000,-2.898655,-0.568851
-1.000000,-1.000000,-1.012390,2.196062
-1.000000,-1.000000,-1.014709,2.268887
0.000000,1.000000,-2.556490,-0.198870
0.000000,1.000000,-0.975694,2.314405
0.000000,1.000000,-0.977739,2.315526
-1.000000,0.000000,-2.415095,-0.539495
-1.000000,0.000000,-0.962704,2.203020
-1.000000,0.000000,-0.964636,2.203388
0.000000,-1.000000,-2.127856,-0.411672
0.000000,-1.000000,-0.931869,2.219197
0.000000,-1.000000,-0.933572,2.219668
1.000000,0.000000,-1.552436,-0.468560
1.000000,0.000000,-0.865763,2.213266
1.000000,0.000000,-0.867005,2.213691
-1.000000,2.000000,-1.495733,-0.363084
-1.000000,2.000000,-0.861397,2.226858
-1.000000,2.000000,-0.862594,2.227368
2.000000,0.000000,-0.844762,-0.325898
2.000000,0.000000,-0.785153,2.232369
2.000000,0.000000,-0.785829,2.305388
-9.000000,-3.000000,-2.331262,-1.111143
-9.000000,-3.000000,-0.966074,2.211550
-9.000000,-3.000000,-0.967939,2.211941
-5.000000,-1.000000,-2.751524,-0.753141
-5.000000,-1.000000,-1.020572,2.183099
-5.000000,-1.000000,-1.022773,2.183296
-2.000000,-3.000000,-2.526321,-1.264544
-2.000000,-3.000000,-0.997770,2.121716
-2.000000,-3.000000,-0.999791,2.121505
0.000000,0.000000,-1.987399,-0.846412
0.000000,0.000000,-0.936710,2.171803
0.000000,0.000000,-0.938300,2.171926
-1.000000,0.000000,-1.617557,-0.841274
-1.000000,0.000000,-0.895213,2.172669
-1.000000,0.000000,-0.896507,2.172796
-2.000000,-6.000000,-1.585790,-1.585436
-2.000000,-6.000000,-0.893964,2.083029
-2.000000,-6.000000,-0.895232,2.082561
-2.000000,-4.000000,-1.496274,-1.777471
-2.000000,-4.000000,-0.885687,2.058894
