I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23
197810.000000,1000.000000,1069.000366,-0.178635,-8.162838,-130.077240,3.957441,0.000000,4.128830,-0.578036,0.500766,0.000000,-0.077270,74.000000,55.417732,2.601517,2.022662,0.000000,4.624179,0.142730,2.824179,-0.904530,2.276298,-1.664847
197830.000000,1000.000000,1066.743408,-34.202328,9.579261,-124.229347,-14.933129,0.000000,5.088653,-0.712411,0.499748,0.000000,-0.212663,74.000000,55.378799,2.606968,2.026386,0.000000,4.633354,0.007337,2.833354,-0.884151,2.168387,-1.779425
197850.000000,1000.000000,1064.382324,-37.753883,15.247298,-10.850978,-23.593348,0.000000,6.071671,-0.850034,0.498534,0.000000,-0.351500,70.599998,54.842354,2.206070,2.028240,0.000000,4.234310,-0.131500,2.434310,-0.712246,2.256347,-1.899323
197870.000000,1000.000000,1064.336792,-15.575918,-3.397881,11.740974,-54.305023,0.000000,6.075876,-0.850623,0.497319,0.000000,-0.353304,70.599998,52.938015,2.472678,2.031773,0.000000,4.504450,-0.133304,2.704450,-0.526529,2.301631,-2.002948
197890.000000,1000.000000,1062.148438,-7.356710,-7.507852,-46.000793,-11.315603,0.000000,5.242158,-0.733902,0.496270,0.000000,-0.237632,70.599998,50.957569,2.749940,2.035701,0.000000,4.785641,-0.017632,2.985641,-0.431763,2.199336,-2.110056
197910.000000,1000.000000,1061.343262,-24.665508,-27.287132,-8.806903,-18.976362,0.000000,5.650481,-0.791067,0.495140,0.000000,-0.295927,70.599998,50.690533,2.787325,2.039683,0.000000,4.827008,-0.075927,3.027008,-0.314713,2.247640,-2.217082
197930.000000,1000.000000,1060.854858,-9.380965,-31.733938,30.122004,-98.936584,0.000000,5.402940,-0.756412,0.494060,0.000000,-0.262352,68.200005,49.980087,2.550788,2.042720,0.000000,4.593508,-0.042352,2.793508,0.011242,2.427972,-2.312545
197950.000000,1000.000000,1059.457397,-11.710845,-27.497152,-92.718811,-125.185143,0.000000,3.779991,-0.529199,0.493304,0.000000,-0.035895,68.200005,48.713757,2.728075,2.046617,0.000000,4.774692,0.184105,2.974692,0.277888,2.302290,-2.391883
197970.000000,1000.000000,1057.247192,-11.955609,-38.420033,-141.307404,-11.571922,0.000000,1.894408,-0.265217,0.492925,0.000000,0.227708,68.200005,49.982647,2.550430,2.050260,0.000000,4.600690,0.447708,2.800690,0.313743,2.108181,-2.486298
197990.000000,1000.000000,1053.710938,-11.876821,-17.352709,-77.998123,83.176559,0.000000,2.100757,-0.294106,0.492505,0.000000,0.198399,67.800003,51.440315,2.290356,2.053532,0.000000,4.343889,0.418399,2.543889,0.204081,2.063346,-2.583619
