I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23
94222.000000,1000.000000,973.969543,-10.083513,-4.239976,-36.535706,97.933350,22.780188,-1.531545,3.403643,-0.222380,0.000000,3.181262,25.979073,27.527430,-0.216770,1.426194,0.000000,1.209424,3.401262,-0.590576,1.945732,1.248778,-5.660459
94242.000000,1000.000000,985.110840,-10.230693,-4.301863,42.320026,59.948555,22.459103,0.705861,3.045454,-0.218030,0.000000,2.827424,24.082567,27.219278,-0.439140,1.425567,0.000000,0.986427,3.047424,-0.813573,1.991286,1.218475,-6.034398
94262.000000,1000.000000,993.627136,37.094780,-27.313463,64.398651,5.189850,22.459103,0.579385,3.063160,-0.213654,0.000000,2.849507,22.246023,26.319408,-0.570274,1.424752,0.000000,0.854478,3.069507,-0.945522,2.144780,1.178716,-6.410766
94282.000000,1000.000000,1000.256287,12.160507,-1.431978,27.230145,-2.291058,22.459103,0.085381,3.132321,-0.209179,0.000000,2.923142,20.672243,24.267839,-0.503383,1.424033,0.000000,0.920650,3.143142,-0.879350,2.283441,1.029560,-6.796401
94302.000000,1000.000000,1003.929565,0.796241,-27.740398,32.671570,3.715545,22.459103,-0.029998,3.148474,-0.204681,0.000000,2.943793,19.442871,23.710604,-0.597483,1.423180,0.000000,0.825697,3.163793,-0.974303,2.334584,0.905794,-7.182352
94322.000000,1000.000000,1005.289917,40.765118,-36.931797,33.040146,41.285015,22.246023,-1.318873,3.299085,-0.199968,0.000000,3.099117,19.442871,23.533833,-0.572735,1.422361,0.000000,0.849627,3.319117,-0.950373,2.385483,0.782183,-7.581715
94342.000000,1000.000000,1005.903870,26.992468,-33.498310,0.055412,101.995361,22.246023,-1.554299,3.332045,-0.195208,0.000000,3.136837,19.442871,23.357128,-0.547996,1.421579,0.000000,0.873583,3.356837,-0.926417,2.454172,0.706490,-7.985868
94362.000000,1000.000000,1001.981384,-6.808670,7.036156,40.722015,66.673676,21.927856,0.492760,3.000914,-0.190921,0.000000,2.809993,18.039951,22.313128,-0.598245,1.420724,0.000000,0.822479,3.029993,-0.977521,2.500559,0.672477,-8.392096
94382.000000,1000.000000,996.257507,45.644302,-68.658302,75.556755,4.320496,21.927856,0.143424,3.049821,-0.186564,0.000000,2.863256,18.039951,22.957769,-0.688495,1.419740,0.000000,0.731246,3.083256,-1.068754,2.570458,0.669496,-8.802933
94402.000000,1000.000000,992.785767,-4.490470,2.831450,43.101242,14.243597,20.672243,0.173839,2.869776,-0.182464,0.000000,2.687312,18.039951,20.936996,-0.405586,1.419161,0.000000,1.013575,2.907312,-0.786425,2.627820,0.657457,-9.222249
94422.000000,1000.000000,989.522400,42.506599,-43.236988,23.892511,51.687683,20.672243,-1.009569,3.035454,-0.178128,0.000000,2.857326,17.743521,20.784119,-0.425684,1.418553,0.000000,0.992869,3.077326,-0.807131,2.656899,0.650151,-9.649877
94442.000000,1000.000000,987.309448,9.484550,-9.157628,-9.788115,161.447998,20.672243,-0.399094,2.949987,-0.173914,0.000000,2.776073,16.571938,20.092825,-0.492924,1.417849,0.000000,0.924925,2.996073,-0.875075,2.657923,0.599010,-10.068803
94462.000000,1000.000000,983.636475,-1.537243,-0.274455,67.684486,216.493729,20.983633,2.649089,2.566836,-0.170247,0.000000,2.396590,16.571938,19.432402,-0.400465,1.417277,0.000000,1.016812,2.616590,-0.783188,2.577595,0.617965,-10.494367
94482.000000,1000.000000,989.294617,33.632771,-47.381123,107.192764,203.068314,22.459103,5.530319,2.370030,-0.166861,0.000000,2.203168,12.906294,18.987947,-0.851431,1.416613,0.000000,0.565182,2.423168,-1.234818,2.523751,0.703407,-10.923678
94502.000000,1000.000000,994.172302,35.031418,-48.452927,40.815414,128.429337,22.459103,7.752688,2.058898,-0.163920,0.000000,1.894978,12.906294,18.185858,-0.739139,1.415557,0.000000,0.676418,2.114978,-1.123582,2.464985,0.713809,-11.344160
94522.000000,1000.000000,997.130737,-1.388313,-20.644176,52.233715,94.860344,22.459103,9.791003,1.773534,-0.161386,0.000000,1.612148,11.099707,17.610306,-0.911484,1.414255,0.000000,0.502771,1.832148,-1.297229,2.388870,0.794900,-11.769472
94542.000000,1000.000000,998.925171,9.388247,-42.942719,91.283760,48.310417,22.459103,10.869547,1.622538,-0.159068,0.000000,1.463470,11.099707,17.456087,-0.889893,1.412984,0.000000,0.523090,1.683470,-1.276909,2.441386,0.820873,-12.199926
94562.000000,1000.000000,1000.013489,8.447032,0.187849,46.720394,-8.287630,22.459103,10.984799,1.606403,-0.156774,0.000000,1.449629,10.921426,15.328578,-0.617001,1.412102,0.000000,0.795101,1.669629,-1.004899,2.411834,0.868031,-12.607926
94582.000000,1000.000000,1000.673584,2.139508,-4.599598,-44.500065,5.342326,22.459103,10.325506,1.698704,-0.154347,0.000000,1.544357,10.921426,14.102392,-0.445335,1.411466,0.000000,0.966131,1.764357,-0.833869,2.342271,0.808513,-13.013597
94602.000000,1000.000000,996.209473,6.205682,-32.092567,-19.793760,65.543953,22.459103,9.788644,1.773864,-0.151813,0.000000,1.622051,11.099707,15.411190,-0.603608,1.410604,0.000000,0.806996,1.842052,-0.993004,2.277812,0.821402,-13.418343
94622.000000,1000.000000,992.132141,-3.656299,-5.131618,60.298237,73.377594,22.459103,10.715867,1.644053,-0.149464,0.000000,1.494589,11.099707,15.432833,-0.606638,1.409737,0.000000,0.803100,1.714589,-0.996900,2.185718,0.843707,-13.821981
94642.000000,1000.000000,989.931396,7.212027,-33.194874,51.442135,25.785046,22.246023,11.418859,1.515803,-0.147299,0.000000,1.368504,11.099707,14.908288,-0.533201,1.408975,0.000000,0.875774,1.588504,-0.924226,2.076598,0.901925,-14.218623
94662.000000,1000.000000,988.808594,14.207703,-1.130398,52.107834,89.938477,22.246023,11.082348,1.562914,-0.145066,0.000000,1.417849,11.099707,13.518428,-0.338621,1.408492,0.000000,1.069871,1.637849,-0.730129,1.892546,0.914079,-14.610127
94682.000000,1000.000000,988.127563,-2.535084,-2.021062,64.215714,153.929611,21.927856,12.369207,1.338211,-0.143154,0.000000,1.195057,10.036000,12.045753,-0.281365,1.408090,0.000000,1.126724,1.415057,-0.673276,1.743960,0.944772,-14.995330
94702.000000,1000.000000,987.670471,-23.200891,-10.758891,4.653461,98.585907,20.465561,15.498336,0.695412,-0.142161,0.000000,0.553251,10.036000,10.803435,-0.107441,1.407936,0.000000,1.300495,0.773251,-0.499505,1.599175,0.892479,-15.355407
94722.000000,1000.000000,987.358887,-5.977433,-4.621921,4.053199,28.049749,20.465561,17.109324,0.469873,-0.141489,0.000000,0.328384,10.036000,10.450289,-0.058000,1.407853,0.000000,1.349853,0.548384,-0.450147,1.481458,0.923321,-15.704983
94742.000000,1000.000000,984.846619,1.213453,-7.213966,34.518860,-40.281509,20.465561,16.911158,0.497616,-0.140779,0.000000,0.356838,10.036000,10.193755,-0.022086,1.407822,0.000000,1.385736,0.576838,-0.414264,1.456396,0.926020,-16.067200
94762.000000,1000.000000,983.474548,0.509898,-3.084383,23.145161,-72.910019,18.737312,15.414609,0.465178,-0.140114,0.000000,0.325064,8.551900,9.278761,-0.101761,1.407676,0.000000,1.305916,0.545064,-0.494084,1.401701,0.946986,-16.394962
