candidate,flight_min_h_mm,flight_p01_h_mm,cruise_min_h_mm,cruise_p01_h_mm,max_1frame_jump_mm,max_100ms_drop_mm,vz_min_mps,vz_max_mps,vz_abs_p99_mps,event_min_h_mm,event_max_drop_mm,event_recovery_p50_s,event_recovery_p90_s,event_unrecovered_count,event_polluted_rows,landing_final_h_mm,landing_min_h_mm,landing_obs_reject_pct
logged_current,121.650154,566.45715802,366.124725,594.98815186,112.02807700000005,446.72058100000004,-1.497292,1.381162,1.11437,578.249451,725.6854249999999,1.0149999999999864,2.829499999999996,8,368,121.082245,120.237389,0.0
A_trimmed_lpf,121.65015454696326,495.482935540922,366.00551583948806,520.89516836235,166.4770192390032,467.53482836679245,-1.387755315738827,1.239340919444165,0.8710925227579911,397.10763562421215,711.630637778971,0.6100000000000136,1.7491999999999965,5,0,121.08225506278862,120.23738902388084,0.0
B_huber_ab,121.84019356168089,422.7368283156485,214.40723015011568,442.97357009516566,36.395717279999985,363.366169935,-1.5,1.5,1.440882669702403,392.11585264612415,882.2001747350732,0.7049999999999983,1.5902999999999878,6,0,120.96332149789306,115.3559329333076,0.0
C_physical_gate_ab,121.75967003722138,479.11588022399695,229.46822889250524,506.78187276515047,46.90444675999993,408.0179696997001,-1.5,1.5,1.3663461739490814,392.071362125898,382.7028989307669,0.009999999999990905,1.1237000000000001,0,261,120.96674111652158,115.83895686514467,0.0
D_pollution_fsm,121.88545921075807,596.6196407384177,369.9813658124736,637.6501086597228,37.17800000000011,221.92694412778883,-1.5,1.5,1.001232507194155,390.9512238587206,167.3745903888348,0.009999999999990905,0.010000000000019327,3,349,120.9602892812436,113.82140876019155,0.0
E_recommended_mcu,120.51669538225575,552.6008979944422,549.4198364791229,676.3486176653934,32.687250086095446,175.14017879777316,-1.2,1.2,0.7082450049394493,552.3107712106702,76.61732883555544,0.009999999999990905,0.009999999999995879,0,470,120.97761477052164,115.28839628735312,0.0
F_ported_c_logic,113.71940832465002,480.7718004594067,477.4778609023462,659.4073971214887,62.70516400064423,197.58197547694533,-1.4226789952133483,1.4880537086814645,0.7783349320679281,480.6372256974482,165.47177186667614,0.009999999999990905,1.3653000000000024,0,460,121.08225506278862,120.23738902388084,0.0
