flight,axis,left,right,rms_diff_deg,mean_diff_deg,p95_abs_diff_deg,max_abs_diff_deg,final_diff_deg
1,roll,current_kp10_ki002,madgwick_imu,1.4509321369084567,-0.019628142506596537,3.066766851630473,10.805062285786587,0.05646179467033141
1,pitch,current_kp10_ki002,madgwick_imu,1.0818403352975605,0.07961067741246156,1.7847325278848574,8.939771709662391,0.048528639986358035
1,roll,current_kp10_ki002,ekf_rp,1.5757833721222085,0.3863402211159051,3.5262206588970746,8.681034925044255,-0.03944974119684819
1,pitch,current_kp10_ki002,ekf_rp,1.23438057742042,0.48924143690808786,2.586712142450388,6.888138305549258,0.27563271182012294
1,roll,madgwick_imu,ekf_rp,1.5235905020822647,0.4059683636225015,2.498977684734071,10.764629863471214,-0.0959115358671796
1,pitch,madgwick_imu,ekf_rp,1.378034207074133,0.40963075949562633,2.271438452968902,8.84451756373803,0.2271040718337649
1,roll,bf_gate_kp025_ki0,current_kp10_ki002,1.579969437097801,-0.09224061209351418,3.7145894178522467,5.4286819405376265,0.47675748338892854
1,pitch,bf_gate_kp025_ki0,current_kp10_ki002,2.632254308267131,-1.0369357964668,5.466905808730281,7.082180536744689,0.1452075997518969
1,roll,current_kp06_ki002,current_kp10_ki002,0.6179048655162832,0.026568532805429007,1.4479155529503225,2.1506133914768704,-0.009187362726288395
1,pitch,current_kp06_ki002,current_kp10_ki002,0.7050076273421501,0.05347103399488827,1.6401232464391022,2.4288622938635323,0.004778501467644691
1,roll,current_kp15_ki002,current_kp10_ki002,0.6501218252107507,-0.04421300083127177,1.4129388478997762,2.3620565711112658,-0.008922024691778496
1,pitch,current_kp15_ki002,current_kp10_ki002,0.6163543150066891,-0.03173117891796171,1.3887220090226866,2.054462108826127,-0.014016596377138146
1,roll,current_kp10_ki0,current_kp10_ki002,0.004858181266941044,0.0025701415455947956,0.009435374413900674,0.025470334542884387,0.009469536557423552
1,pitch,current_kp10_ki0,current_kp10_ki002,0.05846147646133707,-0.054552473392801844,0.09390549789185954,0.13405399445662702,-0.06466127515601827
1,roll,wide_kp10_band020,current_kp10_ki002,0.5373440635220468,0.14350652682425694,1.276178306429647,2.2286361712957365,-0.006820534291515745
1,pitch,wide_kp10_band020,current_kp10_ki002,0.5306865408763867,-0.0017701641103750338,1.273936449759196,2.04665703733638,-0.006595521013222694
1,roll,wide_kp10_band050,current_kp10_ki002,0.29779620945054375,-0.11138156426986429,0.7441759931703336,1.3084399240229772,0.0027992632971005627
1,pitch,wide_kp10_band050,current_kp10_ki002,0.286722360118854,0.029965126706084803,0.6275318121222973,1.518432531594394,0.001591949311640306
2,roll,current_kp10_ki002,madgwick_imu,0.9720058078815219,-0.047267240289479116,1.8793967212733618,6.789640353251599,0.10419900072098387
2,pitch,current_kp10_ki002,madgwick_imu,1.2296694982953755,-0.023069345808573772,2.167801655113616,11.483825129328544,-0.04461279311091504
2,roll,current_kp10_ki002,ekf_rp,1.2821256448924354,0.21061370331974216,2.780612652919736,5.334172339997977,-1.4172745104031041
2,pitch,current_kp10_ki002,ekf_rp,1.2379957903238352,0.2147986349306905,2.615479824742653,5.266470621117769,-0.862979697731646
2,roll,madgwick_imu,ekf_rp,1.2614677873470046,0.2578809436092213,2.2487018852815814,6.630564435685862,-1.521473511124088
2,pitch,madgwick_imu,ekf_rp,1.302840600071978,0.2378679807392643,2.081370565775614,12.004352946715453,-0.8183669046207309
2,roll,bf_gate_kp025_ki0,current_kp10_ki002,1.5609834063400596,0.4616509808619387,3.243147077439346,5.064403305893789,1.5761034053650462
2,pitch,bf_gate_kp025_ki0,current_kp10_ki002,3.7663935184918427,-2.6530171780311766,7.332963459879591,11.910146757250677,-1.2046253494464678
2,roll,current_kp06_ki002,current_kp10_ki002,0.5704705667733255,0.03571286272373536,1.2379475939026636,1.8847718884962283,0.3662711900822355
2,pitch,current_kp06_ki002,current_kp10_ki002,0.6802087881253555,-0.13091905187062924,1.3898168527453487,2.4088902745321086,0.19104570365507145
2,roll,current_kp15_ki002,current_kp10_ki002,0.5822974065669557,-0.042662048925855726,1.2631030224915687,2.15285191770538,-0.08049834928279531
2,pitch,current_kp15_ki002,current_kp10_ki002,0.6789520662688079,0.05464814963770885,1.473583163481902,2.2114903360923304,-0.03624905199697093
2,roll,current_kp10_ki0,current_kp10_ki002,0.013921157608760766,0.012699217096727085,0.0232378658011481,0.03744205216445917,0.03744205216445917
2,pitch,current_kp10_ki0,current_kp10_ki002,0.05621072675522504,-0.052972670885791495,0.0831870842867852,0.09906653377371377,-0.009890770048452513
2,roll,wide_kp10_band020,current_kp10_ki002,0.44667071773340444,0.07738902107009693,1.073397283677837,1.9769235323258485,0.0025494555516929474
2,pitch,wide_kp10_band020,current_kp10_ki002,0.5754296895599542,-0.21836539927011248,1.3480122807457153,2.5191307146623636,0.0006369575111389025
2,roll,wide_kp10_band050,current_kp10_ki002,0.23462560854840186,-0.07012566640909888,0.5354637875728466,1.1871921399175491,-0.002420545493938997
2,pitch,wide_kp10_band050,current_kp10_ki002,0.27048106038482617,0.0974294674573162,0.7288968498907218,1.1026441062784071,7.965206726456842e-05
3,roll,current_kp10_ki002,madgwick_imu,1.3786060084485428,0.2366671187114197,2.652801128836042,13.64206432664901,0.011583895064348315
3,pitch,current_kp10_ki002,madgwick_imu,0.7975501925500241,0.06753745197726213,1.7002931287903924,3.04367314725562,0.02227714668830094
3,roll,current_kp10_ki002,ekf_rp,1.89283582796757,0.6871753969827774,4.36327938971938,11.932062312053613,0.10662420723787447
3,pitch,current_kp10_ki002,ekf_rp,1.3530126823375268,0.6045027607082963,2.819034984180817,5.600683844836044,0.5591212672136705
3,roll,madgwick_imu,ekf_rp,1.5577276086229839,0.4505082782713576,2.825752480096095,13.711741875758074,0.09504031217352615
3,pitch,madgwick_imu,ekf_rp,1.1313839240066577,0.5369653087310341,2.1477047377670884,4.269511253565192,0.5368441205253696
3,roll,bf_gate_kp025_ki0,current_kp10_ki002,1.7621164563718834,0.723887290235564,3.4998080167015564,5.3795150029667465,-0.576820780454099
3,pitch,bf_gate_kp025_ki0,current_kp10_ki002,3.7646601833065314,-3.0948808103213854,6.63420265826301,8.886700970425776,-1.2060123617060365
3,roll,current_kp06_ki002,current_kp10_ki002,0.5327090256739571,-0.011315642762134561,1.05375258611578,2.0811650866940252,-0.03717246656928985
3,pitch,current_kp06_ki002,current_kp10_ki002,0.6255035208007949,-0.22844547086843733,1.2528147341392502,2.321620102666508,-0.07751699679839597
3,roll,current_kp15_ki002,current_kp10_ki002,0.5138289945374989,0.005581957957149076,1.056339680749614,2.409660930756849,-0.0034293434018795033
