flight,axis,estimator,rms_vs_online_deg,mean_vs_online_deg,p95_abs_vs_online_deg,final_vs_online_deg
1,roll,bf_gate_kp025_ki0,2.1392143983391025,-1.9577460243313571,2.8778806337830467,-2.152106075629959
1,pitch,bf_gate_kp025_ki0,2.845595813702933,-1.2179936559966469,5.75437110261505,-0.36758024743059936
1,roll,current_kp10_ki002,2.5228727906598625,-1.865505412237843,4.7302286166970875,-2.6288635590188876
1,pitch,current_kp10_ki002,1.7516029657431094,-0.18105785952984713,3.599273331210507,-0.5127878471824963
1,roll,current_kp06_ki002,2.2091433246748724,-1.8389368794324141,3.6631546647363322,-2.638050921745176
1,pitch,current_kp06_ki002,1.5986437863865428,-0.12758682553495887,3.9720145185057385,-0.5080093457148516
1,roll,current_kp15_ki002,2.9346731827650276,-1.9097184130691147,6.047060176816694,-2.637785583710666
1,pitch,current_kp15_ki002,2.0829784795710022,-0.2127890384478089,4.3756159628777676,-0.5268044435596344
1,roll,current_kp10_ki0,2.520354564736739,-1.8629352706922484,4.72470573297413,-2.619394022461464
1,pitch,current_kp10_ki0,1.7539511440525666,-0.23561033292264905,3.587357994261999,-0.5774491223385145
1,roll,wide_kp10_band020,2.214721569457292,-1.721998885413586,3.89933910448707,-2.6356840933104033
1,pitch,wide_kp10_band020,1.6894328499518616,-0.18282802364022213,3.949651581506507,-0.519383368195719
1,roll,wide_kp10_band050,2.7263674096241295,-1.9768869765077073,5.369876829311322,-2.626064295721787
1,pitch,wide_kp10_band050,1.852731915202043,-0.1510927328237624,3.922660906438696,-0.511195897870856
1,roll,mid_gate_kp10,2.5230379296955916,-1.8667107206145,4.729290002514446,-2.6288696812480383
1,pitch,mid_gate_kp10,1.749331727895787,-0.18447122509262864,3.5887069848547397,-0.5128111474220078
1,roll,madgwick_imu,2.586331522349622,-1.8458772697312467,4.701123605103867,-2.685325353689219
1,pitch,madgwick_imu,1.835603269962089,-0.26066853694230874,3.461396973926462,-0.5613164871688543
1,roll,ekf_rp,2.8892711828443294,-2.2518456333537475,5.456160225511639,-2.5894138178220394
1,pitch,ekf_rp,1.772941164614676,-0.670299296437935,3.7738897970018037,-0.7884205590026192
2,roll,bf_gate_kp025_ki0,1.155521800162488,-1.0547135363159916,1.8615782376092915,-0.1884135826543254
2,pitch,bf_gate_kp025_ki0,0.9699235572994219,-0.8185331096891955,1.7172261985108122,-0.5549801362946547
2,roll,current_kp10_ki002,2.1011604571762077,-1.5163645171779303,4.190247241691854,-1.7645169880193716
2,pitch,current_kp10_ki002,3.0167678988661693,1.8344840683419814,5.8472146855833245,0.6496452131518132
2,roll,current_kp06_ki002,1.7964547636172867,-1.480651654454195,3.33193487851446,-1.398245797937136
2,pitch,current_kp06_ki002,2.6091117221456135,1.7035650164713518,5.041194888126812,0.8406909168068847
2,roll,current_kp15_ki002,2.4890029579721897,-1.5590265661037863,5.168986694720011,-1.845015337302167
2,pitch,current_kp15_ki002,3.3837263512495706,1.8891322179796897,6.914939995260025,0.6133961611548423
2,roll,current_kp10_ki0,2.0911275768033617,-1.5036653000812032,4.176227779961031,-1.7270749358549125
2,pitch,current_kp10_ki0,2.9787163130740173,1.7815113974561896,5.789189589424889,0.6397544431033607
2,roll,wide_kp10_band020,1.8507926512898916,-1.4389754961078336,3.5415487975163464,-1.7619675324676787
