flight,file,kp,ki,kff,rows,duration_s,all_angle_target_d_max,all_angle_target_d_p95,all_angle_target_dd_p95,all_angle_target_hp_rms,all_dur_s,all_euler_d_p95,all_euler_hp_rms,all_ff_d_max,all_ff_d_p95,angle_target_abs_max,angle_target_abs_p95,brake_abs_residual_1s,brake_abs_residual_2s,brake_events,brake_fail_2s_pct,brake_init_v_med,brake_residual_1s,brake_residual_2s,brake_time_med,brake_time_p80,corr_x,corr_y,ff_abs_max,ff_abs_p95,hard_brake_events,hard_brake_residual_2s,hard_brake_time_med,i_sat_pct,lag_x_s,lag_y_s,lateral_p95,p_abs_p95,pitch_dom_hz,pitch_err_std,pitch_hp_rms,pitch_std,roll_dom_hz,roll_err_std,roll_hp_rms,roll_std,track_angle_target_d_max,track_angle_target_d_p95,track_angle_target_dd_p95,track_angle_target_hp_rms,track_dur_s,track_err_mean,track_err_p95,track_euler_d_p95,track_euler_hp_rms,track_ff_d_max,track_ff_d_p95,track_overspeed_p95,track_ratio_med,track_signed_err_mean,x_acc_per_deg,x_deg_per_acc,x_fit_lag_s,x_fit_r2,xi_abs_p95,y_acc_per_deg,y_deg_per_acc,y_fit_lag_s,y_fit_r2,yi_abs_p95,zero_angle_target_d_max,zero_angle_target_d_p95,zero_angle_target_dd_p95,zero_angle_target_hp_rms,zero_dur_s,zero_euler_d_p95,zero_euler_hp_rms,zero_ff_d_max,zero_ff_d_p95,zero_speed_mean,zero_speed_p95,zero_vx_mean,zero_vy_mean
F1,第一次飞行.csv,0.12,0.02,0.0,60030,136.981,2.2829750000000004,0.6868783999999999,0.26091584999999995,0.13340566678241517,136.981,0.5609665999997211,0.08124295801005857,0.0,0.0,15.0,13.387402,10.353345524077094,7.722249819064849,7,0.0,41.37999763489766,2.1507026669342353,2.2912910089956853,0.14999999999999858,0.4339999999999994,0.9298803805084043,0.9267900438272633,0.0,0.0,4,4.346742224552966,0.3799999999999999,0.0,0.34,0.36,53.501019684318926,12.832072,4.773869346733668,0.5980338558460314,0.07449875885667387,0.8886388650688641,4.773869346733668,1.0688211534658953,0.049725493083470074,1.1621653991399825,1.7592658333329165,0.764921299988953,0.29667349999837356,0.14701025188625577,76.65200000000002,58.145947836344085,127.07999906744573,0.6492511000163916,0.07926678533060087,0.0,0.0,66.22684238117482,0.5040014010149324,-54.00216136567624,-14.334948589766304,-0.06975958049224525,0.2,0.5986830392989071,1.574692,-14.911546179840272,-0.06706212675329097,0.2,0.5753049883498595,2.054672,2.2829750000000004,0.32826050000000007,0.22014429999535337,0.11227271200448119,50.49099999999997,0.22623200000857202,0.07543381978368627,0.0,0.0,11.73592821633033,26.397218742306414,-2.242258514930668,-0.26352456259271184
F2,第二次飞行.csv,0.12,0.0,0.0,72334,165.278,1.565247,0.4613815000000006,0.25528594999999965,0.11848019073822069,165.278,0.3389717000000001,0.07311873258422255,0.0,0.0,15.0,8.154286,9.8930405976123,7.101296645969103,11,0.0,48.08486572510767,4.108010007610651,-0.2482036446915543,0.2909999999999968,0.39000000000000057,0.8484441591319068,0.8767117102843511,0.0,0.0,8,-3.130777122087399,0.27099999999999813,0.0,0.26,0.26,22.877378465333752,6.980074,5.0648630401234565,0.8527301028338299,0.0673114760495703,0.9034843292308846,4.6875,1.0235347473315595,0.047258636786894036,1.0218155524963366,1.565247,0.5930419999999998,0.3142128999999975,0.1395030862310276,52.92999999999991,44.18976098818316,98.04256432359577,0.4337249999991801,0.07779980488483418,0.0,0.0,49.85868792676935,0.4591913011206881,-42.37422193472227,-12.928598488938896,-0.07734790440398882,0.18,0.39178378142507186,0.012816,-14.063289071811658,-0.0711071211644502,0.18,0.41650773357411786,0.0,1.3217160000000003,0.3266905999999995,0.22529289999999985,0.10737875960583897,106.00800000000002,0.23389210000035157,0.07209009732369642,0.0,0.0,11.174080241527424,25.64758996386911,0.3135466890481548,-3.8451111704637593
F3,第三次飞行.csv,0.18,0.0,0.0,61188,139.481,4.913081999999999,0.8823848000000004,0.39166239999999974,0.19662663063159808,139.481,0.6670346333331286,0.08403150403544862,0.0,0.0,15.0,11.837651,5.550457973900342,7.53165163175993,16,0.0,45.61025100629722,1.1145855314166673,-3.803143636764141,0.23000000000000398,0.39100000000000534,0.9320420890018544,0.9314130251116891,0.0,0.0,10,-2.562435792386139,0.28000000000000114,0.0,0.26,0.26,30.678753,11.453662,4.128440366972477,1.0517499597524254,0.06921156703967946,1.1832335241760603,4.6875,1.4604093788846098,0.046349230680368975,1.5293045670496983,2.250150833297626,0.9492331999711136,0.47269979999256,0.2223671354132321,64.19199999999998,39.458922215606115,96.72815124704037,0.7333619500014964,0.08968968081074799,0.0,0.0,70.453529,0.6127534769786094,-34.574940396425,-13.60071728503926,-0.07352553391430292,0.18,0.5306519639993652,0.740063,-14.568721014760287,-0.06864020520310951,0.16,0.619278544987146,0.88559,4.913081999999999,0.6058061999917561,0.34501274998578135,0.1765044165312725,69.86900000000003,0.44143554999509277,0.07777121013906196,0.0,0.0,10.33855059035164,23.78528792392125,1.8173942621284012,-0.6170715908298633
F4,第四次飞行.csv,0.12,0.04,0.0,56576,128.882,1.281193,0.59359545,0.27221469999999975,0.12739330111228087,128.882,0.44016409999999956,0.07867018578113685,0.0,0.0,15.0,10.971053,15.80910379115533,12.595916757867707,9,0.0,29.63140160920458,-8.154699132019337,-3.9269296776201497,0.18999999999999773,0.2510000000000048,0.8937912707433453,0.905328435406258,0.0,0.0,4,-4.042736763665532,0.22050000000000125,11.782248281439548,0.26,0.28,34.488502738408776,9.943756,5.245414402173912,1.1021810921275659,0.07090736886531626,1.1680292591158032,5.7805646929824555,1.2353172363065945,0.04717029744439525,1.2677045522931483,1.281193,0.6657547000008863,0.31465299999872476,0.14566776321452965,57.695999999999984,54.239195384501826,120.63396854657736,0.5088191999998166,0.08080246666730752,0.0,0.0,42.36730649789488,0.4721231949236569,-53.13550973849959,-13.790632893486105,-0.07251298817999441,0.18,0.4615304003735943,1.997461,-13.827187626661448,-0.07232128665642822,0.18,0.4834710528290539,3.0,1.0470499999999998,0.3737909999990379,0.2402143499998262,0.10905003872214761,63.166,0.2807287916668274,0.07227170224329994,0.0,0.0,12.680407580138153,29.190226258688302,-1.6969512666295996,-1.2788103451779214
F5,第五次飞行.csv,0.12,0.06,0.0,44278,100.884,2.777621,0.60715231499982,0.25385150000000006,0.12941489207426193,100.884,0.5001784000000009,0.07513242117999705,0.0,0.0,15.0,10.710337,11.57096208573162,6.432041643374998,13,0.0,40.66973077392724,7.460700274779279,2.7286372161524164,0.21099999999999852,0.3620000000000012,0.8949297681535283,0.9124772187990992,0.0,0.0,9,5.077198183941679,0.29000000000000625,7.010653179812762,0.3,0.34,33.57539056376878,9.176537,5.096065952639657,0.8640753042709663,0.0689468102476925,1.703114002048097,5.54939640305494,1.3796451400097816,0.04432884977146035,1.1441566125241849,1.4819910000000007,0.7258687499995355,0.3004908999990403,0.1420247297123009,37.514000000000024,50.87829707195848,116.64334388071411,0.5777646999995536,0.07212059687917302,0.0,0.0,49.98859943196471,0.5352440299329635,-45.279741133012735,-15.780588875630132,-0.06336899135267975,0.2,0.5892356161637237,1.733839,-14.51032349392528,-0.0689164511334739,0.18,0.5352876188127644,2.899074,2.777621,0.4128765000000002,0.24076234999621754,0.11540982388449068,59.86999999999998,0.35057950000052696,0.07306887666988979,0.0,0.0,13.177562625910268,29.225420546514947,-1.1844040125363178,-2.209457850801679
F6,第六次飞行.csv,0.16,0.0,0.0,66117,151.787,3.115542,0.8112131999987349,0.36530144999999997,0.16561068444513868,151.787,0.6089927600000368,0.08319519753274876,0.0,0.0,15.0,12.513702399999996,18.211180122848216,11.338228340574727,10,0.0,35.06026439157589,14.526266034450623,4.7418584150293785,0.1699999999999946,0.24199999999999877,0.9036766521208943,0.8551501414748817,0.0,0.0,5,12.066412798482567,0.22999999999999687,0.0,0.24,0.2,30.216820743331926,12.337706,4.57516339869281,1.120100481344703,0.08076067811577982,1.033524637284367,4.545454545454545,1.6757697583587727,0.06656523070002388,1.5379049809376186,1.9058569999938584,0.9153581999900054,0.41782599999665426,0.19356970670475493,65.16999999999997,40.65274486478229,96.70973999999998,0.7155597000032706,0.08638521595442886,0.0,0.0,44.14658523835298,0.5167440454652025,-38.73414851696508,-14.786439681292595,-0.06762953229810778,0.18,0.615298770621529,0.681007,-15.19267934454344,-0.06582117461454601,0.16,0.4903011435764518,0.039099,3.115542,0.5749219999999999,0.3572532999999996,0.14415049408618721,76.91900000000001,0.4319645999997214,0.07983572922539803,0.0,0.0,12.408065878737625,30.859837684880148,1.7511513020710898,-2.873893324443724
F7,第七次飞行.csv,0.16,0.03,0.0,63011,143.77700000000002,2.557483,0.8284571000007568,0.3557057999999995,0.1678667512302728,143.77700000000002,0.6244359749999988,0.09166715459950586,0.0,0.0,15.0,10.190109,14.616819725646733,9.258184910108024,16,0.0,29.002647871147808,12.865100055649792,3.7666346184736517,0.18999999999999773,0.25,0.8445348564484886,0.855879710875111,0.0,0.0,6,8.419581962777572,0.259999999999998,0.0,0.28,0.26,33.966797,9.380264,4.88254160887656,1.2444566946628144,0.08767454729942713,1.3278325816972527,4.3795879706369885,1.4238323478919164,0.05826007186244002,1.784779756521614,1.8055009999760827,0.9349804999913705,0.42718969995807476,0.1861628712033778,60.57500000000001,34.45470136501047,92.84595806919918,0.6934294999990674,0.0811079439156595,0.0,0.0,48.70379600000001,0.570440490312043,-30.88937669250505,-15.057154610889954,-0.0664136103960013,0.2,0.5768498414609453,1.646593,-14.793353569093282,-0.06759792465781593,0.16,0.48772431069750555,1.3118557999999951,2.557483,0.5839338499888156,0.3105239999938957,0.14760914667090186,74.52599999999998,0.42789079999988805,0.08607204913508769,0.0,0.0,14.674988985247289,33.991713544471466,1.0398381461034738,-1.6880639243679258
F8,第八次飞行.csv,0.18,0.0,0.0,56511,128.881,2.190682,0.9857241499999995,0.3998103999999999,0.1939047889746452,128.881,0.7031399749997316,0.08857234191912514,0.0,0.0,15.0,10.468833,13.160816511643544,11.99477052672808,18,0.0,34.502078999999995,3.326145468960659,1.3522354254012443,0.1905000000000001,0.31399999999999584,0.8651957645370635,0.9139564696054668,0.0,0.0,9,5.909264991950277,0.25,0.0,0.22,0.24,28.232541573969073,10.188638,4.330708661417322,1.3824259792864229,0.08596364951065162,1.4037056876708562,4.738154613466334,2.334739864170778,0.06425628755038326,2.052005834929971,2.0477000000000007,1.0435612499997142,0.4603235999983328,0.1979052956786198,48.42999999999999,38.69507455170011,91.19781939110183,0.8050607499998973,0.09246879381226715,0.0,0.0,57.25968028758607,0.5813523951686729,-35.11922037350717,-15.80077968071748,-0.06328801617431275,0.2,0.6495316906694638,0.326273,-14.294341252733673,-0.06995775337382255,0.16,0.6022434924939306,0.243723,1.865488999998684,0.8524512999999998,0.3949489999966742,0.1811134243890996,72.29100000000003,0.6065859100000922,0.08675312919616081,0.0,0.0,14.573277759220197,35.14176244371305,0.7814341370034968,-3.7979041611225672
F9,第九次飞行.csv,0.16,0.0,0.03,81886,186.862,17.0,1.4791020500005254,1.7725875499999957,0.584089614587171,186.862,0.7610589000000211,0.13540313291609354,7.5,1.08,20.0,9.933389,14.496279305048244,9.379245246664219,15,0.0,25.6661035,3.3350534491146373,6.117082516410826,0.11000000000001364,0.2748000000000005,0.8502435432236118,0.9002593977663867,7.5,5.806658,3,5.3737625749129805,0.13100000000000023,0.0,0.08,0.12,30.924182999999996,7.486815,4.972690818584071,1.3137548920164275,0.07711750306764394,1.2938583186747965,4.8363597972972965,1.935883753610631,0.05507988676716977,1.7334118335888573,8.121238000000002,1.8551810999999985,3.5155454999999978,0.775580845373583,74.45599999999999,32.476046983392706,66.80489046094725,0.916297199993275,0.17400056842019793,7.5,1.3476741999783715,30.942966,0.6399756595374905,-30.710341416550172,-16.923277561485712,-0.05909020852295287,0.18,0.6318075411887818,0.278634,-14.565557681250276,-0.06865511241545282,0.16,0.5908931212493044,0.235996,8.543186,0.7254662499999999,0.34975139999999993,0.2682291366217312,105.13,0.5569068999963789,0.09056230979105011,7.5,0.0,16.208933175640926,42.731803354409664,-0.07153598619092993,-2.772405461963775
F10,第十次飞行.csv,0.18,0.0,0.04,54900,125.182,11.237831,2.2411624999999984,2.8590201499999948,0.8290905302965073,125.182,1.1262417999999996,0.17943829926672383,10.0,1.44,15.0,14.999999,19.113791538079507,13.960598921929918,13,0.0,31.259582321524654,11.306750840481588,-2.8793134037217074,0.22999999999999865,0.34599999999999803,0.8852291734610082,0.8967843632985055,10.0,9.827742,5,-7.365454161911707,0.28999999999999204,0.0,0.1,0.1,36.36727413269215,10.863057,5.0512963598901095,1.601680636196639,0.07749599575720792,1.4262214737953236,4.5188210227272725,2.4560392978966887,0.06632020290116394,2.536367058518882,10.971315999701282,2.6973315999772867,4.543204949967081,1.0004640758748653,66.53600000000002,33.402182765631046,73.20143300256518,1.3059335000028498,0.21399522349344413,10.0,1.5479918997988475,30.356568027481018,0.6632463286490484,-30.8702678148501,-15.023266370680041,-0.06656342071865522,0.18,0.6271704274839434,1.490059,-15.01755480570357,-0.06658873651123327,0.14,0.6297882447765943,0.579772,11.117353999999999,1.1074529999836331,0.3940262499887861,0.35994489161867455,52.60600000000001,0.8109282499987526,0.10234298244087268,9.999898999952629,0.0,15.111678147002467,43.3616356971899,2.8778132056180574,-1.3209551746267598
