I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21
15292.000000,0.000000,2.420286,2.549705,0.021019,2.300000,3.000000,0.000000,0.236173,1.799432,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.029697,-1.029647
15294.000000,0.000000,2.420266,2.549637,0.021010,2.300000,3.000000,0.000000,0.236173,1.799432,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.029507,-1.029155
15296.000000,0.000000,2.420271,2.549582,0.021003,2.300000,3.000000,0.000000,0.236173,1.799432,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.029272,-1.028681
15298.000000,0.000000,2.420293,2.549553,0.020996,2.300000,3.000000,0.000000,0.236173,1.799432,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.028981,-1.028233
15302.000000,0.000000,2.420326,2.549554,0.020992,2.300000,3.000000,0.000000,0.239105,-0.216405,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.028639,-1.027822
15304.000000,0.000000,2.420385,2.549550,0.020982,2.300000,3.000000,0.000000,0.239105,-0.216405,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.027850,-1.027150
15306.000000,0.000000,2.420407,2.549517,0.020976,2.300000,3.000000,0.000000,0.239105,-0.216405,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.027420,-1.026896
15308.000000,0.000000,2.420447,2.549477,0.020970,2.300000,3.000000,0.000000,0.239105,-0.216405,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.026959,-1.026702
15311.000000,0.000000,2.420514,2.549443,0.020965,2.300000,3.000000,0.000000,0.239105,-0.216405,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.026461,-1.026576
15312.000000,0.000000,2.420608,2.549424,0.020960,2.300000,3.000000,0.000000,0.239105,-0.216405,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.025924,-1.026523
15314.000000,0.000000,2.420728,2.549427,0.020956,2.300000,3.000000,0.000000,0.239105,-0.216405,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.025352,-1.026536
15316.000000,0.000000,2.420856,2.549446,0.020953,2.300000,3.000000,0.000000,0.239105,-0.216405,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.024749,-1.026606
15318.000000,0.000000,2.420974,2.549441,0.020950,2.300000,3.000000,0.000000,0.239105,-0.216405,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.024113,-1.026722
15321.000000,0.000000,2.421068,2.549384,0.020943,2.300000,3.000000,0.000000,-0.434081,-0.024305,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.023443,-1.026877
15322.000000,0.000000,2.421141,2.549314,0.020937,2.300000,3.000000,0.000000,-0.434081,-0.024305,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.022737,-1.027065
15324.000000,0.000000,2.421229,2.549273,0.020932,2.300000,3.000000,0.000000,-0.434081,-0.024305,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.022001,-1.027288
15326.000000,0.000000,2.421357,2.549256,0.020927,2.300000,3.000000,0.000000,-0.434081,-0.024305,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.021241,-1.027542
15328.000000,0.000000,2.421493,2.549244,0.020923,2.300000,3.000000,0.000000,-0.434081,-0.024305,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.020467,-1.027821
15331.000000,0.000000,2.421577,2.549233,0.020919,2.300000,3.000000,0.000000,-0.434081,-0.024305,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.019689,-1.028116
15332.000000,0.000000,2.421595,2.549198,0.020913,2.300000,3.000000,0.000000,-0.434081,-0.024305,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.018913,-1.028427
