param_name,static_err_mean_deg,yaw_tail_slope_abs_dps,start_conv_s_mean,land_conv_s,dynamic_acc_weight_mean,dynamic_rp_std_sum,score,phase,kp,ki,gate_start,gate_slope,z_alpha,fast_gain_scale,fast_gain_window_s
fast=1.0@0.0s,0.04060744449687321,0.0004592719696316881,4.077,0.9110000000000014,0.5343612661810356,5.217331479415842,11.17909884361366,fast_gain,1.4,0.03,14.0,24.0,0.004,1.0,0.0
fast=1.5@3.0s,0.03645238634259765,0.0004838549074083059,5.2325,0.9090000000000202,0.5343612661810356,5.217208911930123,12.499759615741446,fast_gain,1.4,0.03,14.0,24.0,0.004,1.5,3.0
fast=1.5@5.0s,0.03647317986401212,0.0004887950633556599,3.6020000000000003,0.9090000000000202,0.5343612661810356,5.217209333789145,10.057076999072365,fast_gain,1.4,0.03,14.0,24.0,0.004,1.5,5.0
fast=2.0@3.0s,0.034829081842854374,0.0004966981787979185,10.688500000000001,0.9569999999999936,0.5343612661810356,5.217150042881498,20.571997820045016,fast_gain,1.4,0.03,14.0,24.0,0.004,2.0,3.0
fast=2.0@5.0s,0.034869386961133245,0.0005041758521960051,5.659000000000001,0.9569999999999936,0.5343612661810356,5.2171496828375545,13.03327386655252,fast_gain,1.4,0.03,14.0,24.0,0.004,2.0,5.0
