param_name,file,window,mean_abs_roll_err_deg,mean_abs_pitch_err_deg,mean_abs_rp_err_deg,yaw_tail_slope_abs_dps,conv_time_s,acc_weight_mean
"current_combo,zalpha=0.001",04150000.csv,first_static,0.02729934582847528,0.027649780886582775,0.027474563357529028,0.000215426455427662,11.544,0.9945709142802315
"current_combo,zalpha=0.001",04150000.csv,last_static,0.046412347338086454,0.03489418531631931,0.04065326632720288,0.00011908164533668976,,0.9950697292409005
"current_combo,zalpha=0.001",04150000.csv,dynamic,,,,,,0.9892580660143357
"current_combo,zalpha=0.001",04150008.csv,first_static,0.09501021331710073,0.11869390215909616,0.10685205773809844,0.002762800028276231,9.83,0.9929051779401374
"current_combo,zalpha=0.001",04150008.csv,last_static,0.020730452278699792,0.017894575791329893,0.01931251403501484,0.0010058349358247713,0.9579999999999984,0.994341379095503
"current_combo,zalpha=0.001",04150008.csv,dynamic,,,,,,0.5132168522619641
"current_combo,zalpha=0.002",04150000.csv,first_static,0.027299365727927873,0.02764972864114443,0.027474547184536152,0.00015784806826076503,11.544,0.9945709142802315
"current_combo,zalpha=0.002",04150000.csv,last_static,0.04641171305755142,0.034892907684983175,0.0406523103712673,8.644962636637699e-05,,0.9950697292409005
"current_combo,zalpha=0.002",04150000.csv,dynamic,,,,,,0.9892580660143357
"current_combo,zalpha=0.002",04150008.csv,first_static,0.09501055660451395,0.11869280993626868,0.10685168327039132,0.0027627292359423627,9.83,0.9929051779401374
"current_combo,zalpha=0.002",04150008.csv,last_static,0.02073937445016959,0.017899712441330828,0.01931954344575021,0.0010065959703745115,0.9579999999999984,0.994341379095503
"current_combo,zalpha=0.002",04150008.csv,dynamic,,,,,,0.5132168522619641
"current_combo,zalpha=0.003",04150000.csv,first_static,0.027299383859021045,0.02764968755992161,0.02747453570947133,0.00011422703211326311,11.544,0.9945709142802315
"current_combo,zalpha=0.003",04150000.csv,last_static,0.04641119717775591,0.03489185031870883,0.040651523748232374,7.495276820305375e-05,,0.9950697292409005
"current_combo,zalpha=0.003",04150000.csv,dynamic,,,,,,0.9892580660143357
"current_combo,zalpha=0.003",04150008.csv,first_static,0.0950106628876363,0.1186922026872618,0.10685143278744905,0.0027627305734311096,9.83,0.9929051779401374
"current_combo,zalpha=0.003",04150008.csv,last_static,0.02074317834315261,0.017902094382287174,0.019322636362719893,0.0010069561924706363,0.9579999999999984,0.994341379095503
"current_combo,zalpha=0.003",04150008.csv,dynamic,,,,,,0.5132168522619641
"current_combo,zalpha=0.004",04150000.csv,first_static,0.02729939948749166,0.027649653722463686,0.02747452660497767,7.988872800882898e-05,11.544,0.9945709142802315
"current_combo,zalpha=0.004",04150000.csv,last_static,0.04641083684233552,0.034891098624625,0.04065096773348026,7.490519643741343e-05,,0.9950697292409005
"current_combo,zalpha=0.004",04150000.csv,dynamic,,,,,,0.9892580660143357
"current_combo,zalpha=0.004",04150008.csv,first_static,0.09501072064906878,0.11869180680261332,0.10685126372584106,0.002762730678559748,9.83,0.9929051779401374
"current_combo,zalpha=0.004",04150008.csv,last_static,0.020745301269201703,0.017903492803571917,0.01932439703638681,0.001007184288206371,0.9579999999999984,0.994341379095503
"current_combo,zalpha=0.004",04150008.csv,dynamic,,,,,,0.5132168522619641
"best_combo,zalpha=0.001",04150000.csv,first_static,0.02339844899515721,0.024087159678154325,0.023742804336655765,0.00022066930503127302,3.212,0.9945709142802315
"best_combo,zalpha=0.001",04150000.csv,last_static,0.0463837661242929,0.034726396341198666,0.04055508123274579,0.0001407798148755942,,0.9950697292409005
"best_combo,zalpha=0.001",04150000.csv,dynamic,,,,,,0.9892580660143357
"best_combo,zalpha=0.001",04150008.csv,first_static,0.07050458092250748,0.09221020222805232,0.08135739157527991,0.0026219923442578697,4.942,0.9929051779401374
"best_combo,zalpha=0.001",04150008.csv,last_static,0.017157172216317518,0.01638730123172943,0.016772236724023476,0.0008216067519886922,0.9110000000000014,0.994341379095503
"best_combo,zalpha=0.001",04150008.csv,dynamic,,,,,,0.5343612661810356
"best_combo,zalpha=0.002",04150000.csv,first_static,0.023398472928512114,0.024087114859180574,0.023742793893846342,0.00016312304752936834,3.212,0.9945709142802315
"best_combo,zalpha=0.002",04150000.csv,last_static,0.04638335559810511,0.03472575372172244,0.04055455465991377,0.0001079581242308775,,0.9950697292409005
"best_combo,zalpha=0.002",04150000.csv,dynamic,,,,,,0.9892580660143357
"best_combo,zalpha=0.002",04150008.csv,first_static,0.0705047290962009,0.09220928481915636,0.08135700695767863,0.002621906217677919,4.942,0.9929051779401374
"best_combo,zalpha=0.002",04150008.csv,last_static,0.017160741684965838,0.016389111773168683,0.01677492672906726,0.0008220833466769108,0.9110000000000014,0.994341379095503
"best_combo,zalpha=0.002",04150008.csv,dynamic,,,,,,0.5343612661810356
"best_combo,zalpha=0.003",04150000.csv,first_static,0.02339849354436895,0.02408708029086524,0.023742786917617095,0.00011952358371774166,3.212,0.9945709142802315
"best_combo,zalpha=0.003",04150000.csv,last_static,0.04638303574843104,0.03472522254288134,0.04055412914565619,9.628668618088119e-05,,0.9950697292409005
"best_combo,zalpha=0.003",04150000.csv,dynamic,,,,,,0.9892580660143357
"best_combo,zalpha=0.003",04150008.csv,first_static,0.07050486301038851,0.09220875007268459,0.08135680654153654,0.002621898567438599,4.942,0.9929051779401374
"best_combo,zalpha=0.003",04150008.csv,last_static,0.017162058872621788,0.016389875956252457,0.016775967414437123,0.0008222966695416355,0.9110000000000014,0.994341379095503
"best_combo,zalpha=0.003",04150008.csv,dynamic,,,,,,0.5343612661810356
"best_combo,zalpha=0.004",04150000.csv,first_static,0.02339851041543462,0.024087052531820842,0.023742781473627732,8.519910837325993e-05,3.212,0.9945709142802315
"best_combo,zalpha=0.004",04150000.csv,last_static,0.04638281016349259,0.034724836811121686,0.04055382348730714,9.610912855181073e-05,,0.9950697292409005
"best_combo,zalpha=0.004",04150000.csv,dynamic,,,,,,0.9892580660143357
"best_combo,zalpha=0.004",04150008.csv,first_static,0.07050495932499892,0.09220839919941762,0.08135667926220827,0.002621892719631455,4.942,0.9929051779401374
"best_combo,zalpha=0.004",04150008.csv,last_static,0.0171626945319141,0.016390292996785315,0.016776493764349705,0.0008224348107115655,0.9110000000000014,0.994341379095503
"best_combo,zalpha=0.004",04150008.csv,dynamic,,,,,,0.5343612661810356
